time,mean_particle_number,variance,factorial_second_moment,g1_real,g1_imag,g1_magnitude,g2
0.000000000000000000e+00,1.000000000000000178e+01,0.000000000000000000e+00,9.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.999999999999995781e-01
1.000000000000000021e-03,9.991000000000001435e+00,8.918999999963261871e-03,8.983799999999999386e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.999992696860260599e-01
2.000000000000000042e-03,9.977000000000002089e+00,2.247099999996748920e-02,8.958599999999999852e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.999952170236101834e-01
3.000000000000000062e-03,9.970000000000002416e+00,2.909999999994283826e-02,8.945999999999999375e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.999918511804213539e-01
4.000000000000000083e-03,9.961000000000002075e+00,3.947899999995740927e-02,8.929999999999999716e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.000063605152753832e-01
5.000000000000000104e-03,9.952999999999999403e+00,4.679100000002733850e-02,8.915600000000000591e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.000001201265360740e-01
6.000000000000000125e-03,9.942999999999999616e+00,5.575100000000077216e-02,8.897599999999999909e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.999906527449851312e-01
7.000000000000000146e-03,9.935000000000000497e+00,6.477499999998315161e-02,8.883399999999998897e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.000020009275183641e-01
8.000000000000000167e-03,9.919999999999999929e+00,8.359999999997569375e-02,8.856999999999997897e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.000430866285117348e-01
9.000000000000001055e-03,9.910000000000000142e+00,9.389999999999076863e-02,8.839199999999999591e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.000479593842055648e-01
1.000000000000000021e-02,9.897999999999999687e+00,1.075960000000151240e-01,8.818000000000000682e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.000677388244721078e-01
1.099999999999999936e-02,9.888999999999999346e+00,1.166790000000048622e-01,8.801999999999999602e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.000706711930889226e-01
1.200000000000000025e-02,9.878999999999999559e+00,1.263590000000078817e-01,8.784199999999999875e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.000699126502242908e-01
1.300000000000000114e-02,9.868000000000000327e+00,1.365759999999909269e-01,8.764600000000000080e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.000648856761706007e-01
1.400000000000000029e-02,9.858999999999999986e+00,1.431189999999844531e-01,8.748399999999999466e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.000422541669571563e-01
1.499999999999999944e-02,9.852000000000000313e+00,1.480959999999953425e-01,8.735800000000000409e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.000235561008569363e-01
1.600000000000000033e-02,9.845000000000000639e+00,1.529749999999836518e-01,8.723199999999999932e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.000038948031717778e-01
1.700000000000000122e-02,9.842999999999999972e+00,1.543510000000054561e-01,8.719599999999999795e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.999980998021678280e-01
1.800000000000000211e-02,9.833999999999999631e+00,1.644440000000031432e-01,8.703799999999999670e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.000124044081933006e-01
1.899999999999999953e-02,9.820000000000000284e+00,1.795999999999935426e-01,8.679200000000000159e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.000294506825506913e-01
2.000000000000000042e-02,9.808999999999999275e+00,1.905190000000089867e-01,8.659799999999999898e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.000329163981792835e-01
2.100000000000000130e-02,9.795999999999999375e+00,2.043840000000045620e-01,8.637000000000000455e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.000473689396811805e-01
2.199999999999999872e-02,9.782000000000000028e+00,2.164760000000001128e-01,8.612199999999999989e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.000337389856591930e-01
2.299999999999999961e-02,9.773999999999999133e+00,2.229240000000203281e-01,8.598000000000000398e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.000212663782831690e-01
