time,mean_particle_number,variance
0.000000000000000000e+00,2.999999999999999556e+00,0.000000000000000000e+00
1.000000000000000021e-03,2.996999999999999442e+00,2.991000000001520220e-03
2.000000000000000042e-03,2.995999999999999552e+00,3.984000000000875730e-03
3.000000000000000062e-03,2.992999999999999439e+00,6.951000000000817636e-03
4.000000000000000083e-03,2.987999999999999545e+00,1.185599999999986665e-02
5.000000000000000104e-03,2.983999999999999542e+00,1.574400000000153454e-02
6.000000000000000125e-03,2.977999999999999758e+00,2.151600000000009061e-02
7.000000000000000146e-03,2.975999999999999535e+00,2.342400000000210980e-02
8.000000000000000167e-03,2.973999999999999755e+00,2.532399999999945805e-02
9.000000000000001055e-03,2.970999999999999641e+00,2.815900000000048919e-02
1.000000000000000021e-02,2.969999999999999751e+00,2.909999999999968168e-02
1.099999999999999936e-02,2.966999999999999638e+00,3.191099999999913450e-02
1.200000000000000025e-02,2.964999999999999414e+00,3.377500000000033253e-02
1.300000000000000114e-02,2.962999999999999634e+00,3.563100000000041234e-02
1.400000000000000029e-02,2.960999999999999410e+00,3.747900000000115028e-02
1.499999999999999944e-02,2.958999999999999631e+00,3.931900000000077000e-02
1.600000000000000033e-02,2.954999999999999627e+00,4.497499999999909903e-02
1.700000000000000122e-02,2.950999999999999623e+00,4.859899999999939268e-02
1.800000000000000211e-02,2.947999999999999510e+00,5.129600000000067439e-02
1.899999999999999953e-02,2.946999999999999620e+00,5.219100000000054251e-02
2.000000000000000042e-02,2.942999999999999616e+00,5.575100000000077216e-02
2.100000000000000130e-02,2.939999999999999947e+00,6.040000000000134150e-02
2.199999999999999872e-02,2.935999999999999499e+00,6.390400000000084901e-02
2.299999999999999961e-02,2.935000000000000053e+00,6.477499999999913882e-02
2.400000000000000050e-02,2.932999999999999385e+00,6.651100000000198520e-02
2.500000000000000139e-02,2.931999999999999940e+00,6.737599999999943634e-02
2.600000000000000228e-02,2.927999999999999492e+00,7.081600000000065620e-02
2.699999999999999969e-02,2.920999999999999375e+00,7.675900000000268619e-02
2.800000000000000058e-02,2.918999999999999595e+00,7.843900000000303407e-02
2.900000000000000147e-02,2.915999999999999925e+00,8.294400000000123896e-02
2.999999999999999889e-02,2.912999999999999812e+00,8.543100000000158900e-02
3.099999999999999978e-02,2.904999999999999805e+00,9.597500000000103171e-02
3.200000000000000067e-02,2.902000000000000135e+00,1.003959999999999297e-01
3.300000000000000155e-02,2.899999999999999467e+00,1.020000000000020890e-01
3.400000000000000244e-02,2.895999999999999464e+00,1.051840000000012765e-01
3.500000000000000333e-02,2.891999999999999904e+00,1.103360000000002117e-01
3.600000000000000422e-02,2.891999999999999904e+00,1.103360000000002117e-01
3.699999999999999817e-02,2.888999999999999790e+00,1.126789999999999736e-01
3.799999999999999906e-02,2.885999999999999677e+00,1.150040000000007723e-01
3.899999999999999994e-02,2.883999999999999897e+00,1.165439999999993148e-01
4.000000000000000083e-02,2.881999999999999673e+00,1.180760000000002918e-01
4.100000000000000172e-02,2.878999999999999559e+00,1.203590000000023252e-01
4.200000000000000261e-02,2.876999999999999336e+00,1.218710000000005067e-01
4.300000000000000350e-02,2.872999999999999332e+00,1.268710000000030647e-01
4.399999999999999745e-02,2.869999999999999662e+00,1.291000000000011028e-01
4.499999999999999833e-02,2.866000000000000103e+00,1.340439999999993859e-01
4.599999999999999922e-02,2.861999999999999655e+00,1.369560000000014099e-01
4.700000000000000011e-02,2.860999999999999766e+00,1.376790000000021053e-01
