time,mean_particle_number,variance
0.000000000000000000e+00,9.995803935522964423e+01,9.780674989855469903e+01
1.000000000000000021e-03,9.985813129978886593e+01,9.771114440996097983e+01
2.000000000000000042e-03,9.975832308091609946e+01,9.761562587409753178e+01
3.000000000000000062e-03,9.965861462037456420e+01,9.752019852542252920e+01
4.000000000000000083e-03,9.955900581845578756e+01,9.742486228172128904e+01
5.000000000000000104e-03,9.945949657555124190e+01,9.732961706043897721e+01
6.000000000000000125e-03,9.936008679215159134e+01,9.723446277914081293e+01
7.000000000000000146e-03,9.926077636884696176e+01,9.713939935544294713e+01
8.000000000000000167e-03,9.916156520632695504e+01,9.704442670702519536e+01
9.000000000000001055e-03,9.906245320538042165e+01,9.694954475162558083e+01
1.000000000000000021e-02,9.896344026689531859e+01,9.685475340705124836e+01
1.099999999999999936e-02,9.886452629185883723e+01,9.676005259116391244e+01
1.200000000000000025e-02,9.876571118135686334e+01,9.666544222191259905e+01
1.300000000000000114e-02,9.866699483657423286e+01,9.657092221731727477e+01
1.400000000000000029e-02,9.856837715879464668e+01,9.647649249543064798e+01
1.499999999999999944e-02,9.846985804940045739e+01,9.638215297438364360e+01
1.600000000000000033e-02,9.837143740987254148e+01,9.628790357237448916e+01
1.700000000000000122e-02,9.827311514179027085e+01,9.619374420767417178e+01
1.800000000000000211e-02,9.817489114683125706e+01,9.609967479861552420e+01
1.899999999999999953e-02,9.807676532677164971e+01,9.600569526358231087e+01
2.000000000000000042e-02,9.797873758348552542e+01,9.591180552104015078e+01
2.100000000000000130e-02,9.788080781894505833e+01,9.581800548952014651e+01
2.199999999999999872e-02,9.778297593522064801e+01,9.572429508760069439e+01
2.299999999999999961e-02,9.768524183448030840e+01,9.563067423393476929e+01
2.400000000000000050e-02,9.758760541898990937e+01,9.553714284724992467e+01
2.500000000000000139e-02,9.749006659111307727e+01,9.544370084633192164e+01
2.600000000000000228e-02,9.739262525331099596e+01,9.535034815001199604e+01
2.699999999999999969e-02,9.729528130814225051e+01,9.525708467721779016e+01
2.800000000000000058e-02,9.719803465826304034e+01,9.516391034690423112e+01
2.900000000000000147e-02,9.710088520642639764e+01,9.507082507817176520e+01
2.999999999999999889e-02,9.700383285548321055e+01,9.497782879005535506e+01
3.099999999999999978e-02,9.690687750838084469e+01,9.488492140178641421e+01
3.200000000000000067e-02,9.681001906816415215e+01,9.479210283255633840e+01
3.300000000000000155e-02,9.671325743797447672e+01,9.469937300170749950e+01
3.400000000000000244e-02,9.661659252105043549e+01,9.460673182856407948e+01
3.500000000000000333e-02,9.652002422072688148e+01,9.451417923258122755e+01
3.600000000000000422e-02,9.642355244043558571e+01,9.442171513325956766e+01
3.699999999999999817e-02,9.632717708370481091e+01,9.432933945012700860e+01
3.799999999999999906e-02,9.623089805415918363e+01,9.423705210283151246e+01
3.899999999999999994e-02,9.613471525551953789e+01,9.414485301106651605e+01
4.000000000000000083e-02,9.603862859160321364e+01,9.405274209456001699e+01
4.100000000000000172e-02,9.594263796632344565e+01,9.396071927315642824e+01
