time,mean_particle_number,variance
0.000000000000000000e+00,1.000000000000000000e+02,0.000000000000000000e+00
1.000000000000000021e-03,9.990004998333752440e+01,9.985011665230558719e-02
2.000000000000000042e-03,9.980019986673333676e+01,1.994009323825594038e-01
3.000000000000000062e-03,9.970044955033735334e+01,2.986531449878384592e-01
4.000000000000000083e-03,9.960079893439917953e+01,3.976074507409066427e-01
5.000000000000000104e-03,9.950124791926828038e+01,4.962645443974906811e-01
6.000000000000000125e-03,9.940179640539355432e+01,5.946251192472118419e-01
7.000000000000000146e-03,9.930244429332353207e+01,6.926898670863010921e-01
8.000000000000000167e-03,9.920319148370610662e+01,7.904594782230560668e-01
9.000000000000001055e-03,9.910403787728841962e+01,8.879346415014879312e-01
1.000000000000000021e-02,9.900498337491684708e+01,9.851160442867694655e-01
1.099999999999999936e-02,9.890602787753689995e+01,1.082004372463416075e+00
1.200000000000000025e-02,9.880717128619308198e+01,1.178600310449837707e+00
1.300000000000000114e-02,9.870841350202880449e+01,1.274904541196519858e+00
1.400000000000000029e-02,9.860975442628623000e+01,1.370917746206032461e+00
1.499999999999999944e-02,9.851119396030628650e+01,1.466640605502107064e+00
1.600000000000000033e-02,9.841273200552856792e+01,1.562073797649645712e+00
1.700000000000000122e-02,9.831436846349100733e+01,1.657217999785643769e+00
1.800000000000000211e-02,9.821610323583009006e+01,1.752073887564620236e+00
1.899999999999999953e-02,9.811793622428061212e+01,1.846642135207730462e+00
2.000000000000000042e-02,9.801986733067555235e+01,1.940923415491852211e+00
2.100000000000000130e-02,9.792189645694597289e+01,2.034918399745947681e+00
2.199999999999999872e-02,9.782402350512103339e+01,2.128627757861977443e+00
2.299999999999999961e-02,9.772624837732774949e+01,2.222052158300357405e+00
2.400000000000000050e-02,9.762857097579095011e+01,2.315192268088139826e+00
2.500000000000000139e-02,9.753099120283329171e+01,2.408048752808099380e+00
2.600000000000000228e-02,9.743350896087495983e+01,2.500622276631474961e+00
2.699999999999999969e-02,9.733612415243371174e+01,2.592913502299779793e+00
2.800000000000000058e-02,9.723883668012472015e+01,2.684923091128439410e+00
2.900000000000000147e-02,9.714164644666051629e+01,2.776651703024981543e+00
2.999999999999999889e-02,9.704455335485083367e+01,2.868099996470846236e+00
3.099999999999999978e-02,9.694755730760262225e+01,2.959268628537756740e+00
3.200000000000000067e-02,9.685065820791980684e+01,3.050158254889538512e+00
3.300000000000000155e-02,9.675385595890321611e+01,3.140769529785757186e+00
3.400000000000000244e-02,9.665715046375071040e+01,3.231103106072623632e+00
3.500000000000000333e-02,9.656054162575667021e+01,3.321159635206640814e+00
