time,mean_particle_number,variance,factorial_second_moment,g1_real,g1_imag,g1_magnitude,g2
0.000000000000000000e+00,1.000000000000000000e+03,1.000000000000000000e+03,1.000000000000000000e+06,3.162277660168379256e+01,0.000000000000000000e+00,3.162277660168379256e+01,1.000000000000000000e+00
1.000000000000000021e-03,9.990004998333749882e+02,9.990004998333749882e+02,9.980019986673330422e+05,3.160696916557130010e+01,0.000000000000000000e+00,3.160696916557130010e+01,1.000000000000000000e+00
2.000000000000000042e-03,9.980019986673330550e+02,9.980019986673330550e+02,9.960079893439915031e+05,3.159116963120126442e+01,0.000000000000000000e+00,3.159116963120126442e+01,1.000000000000000000e+00
3.000000000000000062e-03,9.970044955033730503e+02,9.970044955033730503e+02,9.940179640539353713e+05,3.157537799462379979e+01,0.000000000000000000e+00,3.157537799462379979e+01,1.000000000000000000e+00
4.000000000000000083e-03,9.960079893439915395e+02,9.960079893439915395e+02,9.920319148370607290e+05,3.155959425189099932e+01,0.000000000000000000e+00,3.155959425189099932e+01,1.000000000000000000e+00
5.000000000000000104e-03,9.950124791926823491e+02,9.950124791926823491e+02,9.900498337491680868e+05,3.154381839905692431e+01,0.000000000000000000e+00,3.154381839905692431e+01,1.000000000000000000e+00
6.000000000000000125e-03,9.940179640539353159e+02,9.940179640539353159e+02,9.880717128619306022e+05,3.152805043217761849e+01,0.000000000000000000e+00,3.152805043217761849e+01,1.000000000000000000e+00
7.000000000000000146e-03,9.930244429332351501e+02,9.930244429332351501e+02,9.860975442628619494e+05,3.151229034731107959e+01,0.000000000000000000e+00,3.151229034731107959e+01,1.000000000000000000e+00
8.000000000000000167e-03,9.920319148370606399e+02,9.920319148370606399e+02,9.841273200552851195e+05,3.149653814051729483e+01,0.000000000000000000e+00,3.149653814051729483e+01,1.000000000000000000e+00
9.000000000000001055e-03,9.910403787728836278e+02,9.910403787728836278e+02,9.821610323583006393e+05,3.148079380785820547e+01,0.000000000000000000e+00,3.148079380785820547e+01,1.000000000000000000e+00
1.000000000000000021e-02,9.900498337491681013e+02,9.900498337491681013e+02,9.801986733067553723e+05,3.146505734539773513e+01,0.000000000000000000e+00,3.146505734539773513e+01,1.000000000000000000e+00
1.099999999999999936e-02,9.890602787753687153e+02,9.890602787753687153e+02,9.782402350512100384e+05,3.144932874920176502e+01,0.000000000000000000e+00,3.144932874920176502e+01,1.000000000000000000e+00
1.200000000000000025e-02,9.880717128619305640e+02,9.880717128619305640e+02,9.762857097579094116e+05,3.143360801533814453e+01,0.000000000000000000e+00,3.143360801533814453e+01,1.000000000000000000e+00
1.300000000000000114e-02,9.870841350202875901e+02,9.870841350202875901e+02,9.743350896087493747e+05,3.141789513987669480e+01,0.000000000000000000e+00,3.141789513987669480e+01,1.000000000000000000e+00
1.400000000000000029e-02,9.860975442628619021e+02,9.860975442628619021e+02,9.723883668012468843e+05,3.140219011888919098e+01,0.000000000000000000e+00,3.140219011888919098e+01,1.000000000000000000e+00
1.499999999999999944e-02,9.851119396030626376e+02,9.851119396030626376e+02,9.704455335485080723e+05,3.138649294844937998e+01,0.000000000000000000e+00,3.138649294844937998e+01,1.000000000000000000e+00
1.600000000000000033e-02,9.841273200552851677e+02,9.841273200552851677e+02,9.685065820791977458e+05,3.137080362463296979e+01,0.000000000000000000e+00,3.137080362463296979e+01,1.000000000000000000e+00
1.700000000000000122e-02,9.831436846349096186e+02,9.831436846349096186e+02,9.665715046375066740e+05,3.135512214351762950e+01,0.000000000000000000e+00,3.135512214351762950e+01,1.000000000000000000e+00
1.800000000000000211e-02,9.821610323583007585e+02,9.821610323583007585e+02,9.646402934831230668e+05,3.133944850118298930e+01,0.000000000000000000e+00,3.133944850118298930e+01,1.000000000000000000e+00
1.899999999999999953e-02,9.811793622428059507e+02,9.811793622428059507e+02,9.627129408911993960e+05,3.132378269371063695e+01,0.000000000000000000e+00,3.132378269371063695e+01,1.000000000000000000e+00
2.000000000000000042e-02,9.801986733067552677e+02,9.801986733067552677e+02,9.607894391523231752e+05,3.130812471718412127e+01,0.000000000000000000e+00,3.130812471718412127e+01,1.000000000000000000e+00
2.100000000000000130e-02,9.792189645694595583e+02,9.792189645694595583e+02,9.588697805724844802e+05,3.129247456768894864e+01,0.000000000000000000e+00,3.129247456768894864e+01,1.000000000000000000e+00
2.199999999999999872e-02,9.782402350512099929e+02,9.782402350512099929e+02,9.569539574730466120e+05,3.127683224131257944e+01,0.000000000000000000e+00,3.127683224131257944e+01,1.000000000000000000e+00
2.299999999999999961e-02,9.772624837732770402e+02,9.772624837732770402e+02,9.550419621907145483e+05,3.126119773414443515e+01,0.000000000000000000e+00,3.126119773414443515e+01,1.000000000000000000e+00
2.400000000000000050e-02,9.762857097579093306e+02,9.762857097579093306e+02,9.531337870775047923e+05,3.124557104227588411e+01,0.000000000000000000e+00,3.124557104227588411e+01,1.000000000000000000e+00
2.500000000000000139e-02,9.753099120283326329e+02,9.753099120283326329e+02,9.512294245007139398e+05,3.122995216180025935e+01,0.000000000000000000e+00,3.122995216180025935e+01,1.000000000000000000e+00
2.600000000000000228e-02,9.743350896087493993e+02,9.743350896087493993e+02,9.493288668428896926e+05,3.121434108881283720e+01,0.000000000000000000e+00,3.121434108881283720e+01,1.000000000000000000e+00
2.699999999999999969e-02,9.733612415243368332e+02,9.733612415243368332e+02,9.474321065017983783e+05,3.119873781941084800e+01,0.000000000000000000e+00,3.119873781941084800e+01,1.000000000000000000e+00
2.800000000000000058e-02,9.723883668012468888e+02,9.723883668012468888e+02,9.455391358903963119e+05,3.118314234969347609e+01,0.000000000000000000e+00,3.118314234969347609e+01,1.000000000000000000e+00
2.900000000000000147e-02,9.714164644666047934e+02,9.714164644666047934e+02,9.436499474367984803e+05,3.116755467576185623e+01,0.000000000000000000e+00,3.116755467576185623e+01,1.000000000000000000e+00
2.999999999999999889e-02,9.704455335485081378e+02,9.704455335485081378e+02,9.417645335842486238e+05,3.115197479371906653e+01,0.000000000000000000e+00,3.115197479371906653e+01,1.000000000000000000e+00
3.099999999999999978e-02,9.694755730760259667e+02,9.694755730760259667e+02,9.398828867910889676e+05,3.113640269967013552e+01,0.000000000000000000e+00,3.113640269967013552e+01,1.000000000000000000e+00
3.200000000000000067e-02,9.685065820791976421e+02,9.685065820791976421e+02,9.380049995307296049e+05,3.112083838972204930e+01,0.000000000000000000e+00,3.112083838972204930e+01,1.000000000000000000e+00
3.300000000000000155e-02,9.675385595890320474e+02,9.675385595890320474e+02,9.361308642916189274e+05,3.110528185998371242e+01,0.000000000000000000e+00,3.110528185998371242e+01,1.000000000000000000e+00
3.400000000000000244e-02,9.665715046375066777e+02,9.665715046375066777e+02,9.342604735772135900e+05,3.108973310656601186e+01,0.000000000000000000e+00,3.108973310656601186e+01,1.000000000000000000e+00
3.500000000000000333e-02,9.656054162575665032e+02,9.656054162575665032e+02,9.323938199059482431e+05,3.107419212558174593e+01,0.000000000000000000e+00,3.107419212558174593e+01,1.000000000000000000e+00
3.600000000000000422e-02,9.646402934831230596e+02,9.646402934831230596e+02,9.305308958112058463e+05,3.105865891314567051e+01,0.000000000000000000e+00,3.105865891314567051e+01,1.000000000000000000e+00
3.699999999999999817e-02,9.636761353490535384e+02,9.636761353490535384e+02,9.286716938412874006e+05,3.104313346537448481e+01,0.000000000000000000e+00,3.104313346537448481e+01,1.000000000000000000e+00
3.799999999999999906e-02,9.627129408911995370e+02,9.627129408911995370e+02,9.268162065593822626e+05,3.102761577838683138e+01,0.000000000000000000e+00,3.102761577838683138e+01,1.000000000000000000e+00
3.899999999999999994e-02,9.617507091463667166e+02,9.617507091463667166e+02,9.249644265435392736e+05,3.101210584830328187e+01,0.000000000000000000e+00,3.101210584830328187e+01,1.000000000000000000e+00
4.000000000000000083e-02,9.607894391523232116e+02,9.607894391523232116e+02,9.231163463866357924e+05,3.099660367124635485e+01,0.000000000000000000e+00,3.099660367124635485e+01,1.000000000000000000e+00
4.100000000000000172e-02,9.598291299477989469e+02,9.598291299477989469e+02,9.212719586963487091e+05,3.098110924334051219e+01,0.000000000000000000e+00,3.098110924334051219e+01,1.000000000000000000e+00
4.200000000000000261e-02,9.588697805724845011e+02,9.588697805724845011e+02,9.194312560951245250e+05,3.096562256071213781e+01,0.000000000000000000e+00,3.096562256071213781e+01,1.000000000000000000e+00
4.300000000000000350e-02,9.579113900670306521e+02,9.579113900670306521e+02,9.175942312201509485e+05,3.095014361948956605e+01,0.000000000000000000e+00,3.095014361948956605e+01,1.000000000000000000e+00
4.399999999999999745e-02,9.569539574730466711e+02,9.569539574730466711e+02,9.157608767233255785e+05,3.093467241580305682e+01,0.000000000000000000e+00,3.093467241580305682e+01,1.000000000000000000e+00
4.499999999999999833e-02,9.559974818330999824e+02,9.559974818330999824e+02,9.139311852712283144e+05,3.091920894578481693e+01,0.000000000000000000e+00,3.091920894578481693e+01,1.000000000000000000e+00
4.599999999999999922e-02,9.550419621907146848e+02,9.550419621907146848e+02,9.121051495450905059e+05,3.090375320556897165e+01,0.000000000000000000e+00,3.090375320556897165e+01,1.000000000000000000e+00
4.700000000000000011e-02,9.540873975903710971e+02,9.540873975903710971e+02,9.102827622407668969e+05,3.088830519129159313e+01,0.000000000000000000e+00,3.088830519129159313e+01,1.000000000000000000e+00
4.800000000000000100e-02,9.531337870775047350e+02,9.531337870775047350e+02,9.084640160687061725e+05,3.087286489909066844e+01,0.000000000000000000e+00,3.087286489909066844e+01,1.000000000000000000e+00
4.900000000000000189e-02,9.521811296985048330e+02,9.521811296985048330e+02,9.066489037539209239e+05,3.085743232510613154e+01,0.000000000000000000e+00,3.085743232510613154e+01,1.000000000000000000e+00
5.000000000000000278e-02,9.512294245007140034e+02,9.512294245007140034e+02,9.048374180359595921e+05,3.084200746547983485e+01,0.000000000000000000e+00,3.084200746547983485e+01,1.000000000000000000e+00
5.100000000000000366e-02,9.502786705324269860e+02,9.502786705324269860e+02,9.030295516688768985e+05,3.082659031635556701e+01,0.000000000000000000e+00,3.082659031635556701e+01,1.000000000000000000e+00
5.200000000000000455e-02,9.493288668428895107e+02,9.493288668428895107e+02,9.012252974212046247e+05,3.081118087387904225e+01,0.000000000000000000e+00,3.081118087387904225e+01,1.000000000000000000e+00
5.299999999999999850e-02,9.483800124822981843e+02,9.483800124822981843e+02,8.994246480759240221e+05,3.079577913419788970e+01,0.000000000000000000e+00,3.079577913419788970e+01,1.000000000000000000e+00
5.399999999999999939e-02,9.474321065017983301e+02,9.474321065017983301e+02,8.976275964304349618e+05,3.078038509346168539e+01,0.000000000000000000e+00,3.078038509346168539e+01,1.000000000000000000e+00
5.500000000000000028e-02,9.464851479534838745e+02,9.464851479534838745e+02,8.958341352965282276e+05,3.076499874782191313e+01,0.000000000000000000e+00,3.076499874782191313e+01,1.000000000000000000e+00
5.600000000000000117e-02,9.455391358903963237e+02,9.455391358903963237e+02,8.940442575003573438e+05,3.074962009343198588e+01,0.000000000000000000e+00,3.074962009343198588e+01,1.000000000000000000e+00
5.700000000000000205e-02,9.445940693665233994e+02,9.445940693665233994e+02,8.922579558824084233e+05,3.073424912644724571e+01,0.000000000000000000e+00,3.073424912644724571e+01,1.000000000000000000e+00
5.800000000000000294e-02,9.436499474367985840e+02,9.436499474367985840e+02,8.904752232974726940e+05,3.071888584302494607e+01,0.000000000000000000e+00,3.071888584302494607e+01,1.000000000000000000e+00
5.900000000000000383e-02,9.427067691570997567e+02,9.427067691570997567e+02,8.886960526146173943e+05,3.070353023932426595e+01,0.000000000000000000e+00,3.070353023932426595e+01,1.000000000000000000e+00
5.999999999999999778e-02,9.417645335842487384e+02,9.417645335842487384e+02,8.869204367171576014e+05,3.068818231150630638e+01,0.000000000000000000e+00,3.068818231150630638e+01,1.000000000000000000e+00
6.099999999999999867e-02,9.408232397760097001e+02,9.408232397760097001e+02,8.851483685026270105e+05,3.067284205573408684e+01,0.000000000000000000e+00,3.067284205573408684e+01,1.000000000000000000e+00
6.199999999999999956e-02,9.398828867910889358e+02,9.398828867910889358e+02,8.833798408827509265e+05,3.065750946817253819e+01,0.000000000000000000e+00,3.065750946817253819e+01,1.000000000000000000e+00
6.300000000000000044e-02,9.389434736891332705e+02,9.389434736891332705e+02,8.816148467834161129e+05,3.064218454498851685e+01,0.000000000000000000e+00,3.064218454498851685e+01,1.000000000000000000e+00
6.400000000000000133e-02,9.380049995307294921e+02,9.380049995307294921e+02,8.798533791446437826e+05,3.062686728235079414e+01,0.000000000000000000e+00,3.062686728235079414e+01,1.000000000000000000e+00
6.500000000000000222e-02,9.370674633774034419e+02,9.370674633774034419e+02,8.780954309205613099e+05,3.061155767643004566e+01,0.000000000000000000e+00,3.061155767643004566e+01,1.000000000000000000e+00
6.600000000000000311e-02,9.361308642916188774e+02,9.361308642916188774e+02,8.763409950793733587e+05,3.059625572339887967e+01,0.000000000000000000e+00,3.059625572339887967e+01,1.000000000000000000e+00
6.700000000000000400e-02,9.351952013367765630e+02,9.351952013367765630e+02,8.745900646033340599e+05,3.058096141943180513e+01,0.000000000000000000e+00,3.058096141943180513e+01,1.000000000000000000e+00
6.800000000000000488e-02,9.342604735772135882e+02,9.342604735772135882e+02,8.728426324887194205e+05,3.056567476070524236e+01,0.000000000000000000e+00,3.056567476070524236e+01,1.000000000000000000e+00
6.900000000000000577e-02,9.333266800782020027e+02,9.333266800782020027e+02,8.710986917457984528e+05,3.055039574339753017e+01,0.000000000000000000e+00,3.055039574339753017e+01,1.000000000000000000e+00
7.000000000000000666e-02,9.323938199059482486e+02,9.323938199059482486e+02,8.693582353988058167e+05,3.053512436368891159e+01,0.000000000000000000e+00,3.053512436368891159e+01,1.000000000000000000e+00
7.100000000000000755e-02,9.314618921275921366e+02,9.314618921275921366e+02,8.676212564859141130e+05,3.051986061776154457e+01,0.000000000000000000e+00,3.051986061776154457e+01,1.000000000000000000e+00
7.200000000000000844e-02,9.305308958112057098e+02,9.305308958112057098e+02,8.658877480592050124e+05,3.050460450179949135e+01,0.000000000000000000e+00,3.050460450179949135e+01,1.000000000000000000e+00
7.299999999999999545e-02,9.296008300257927885e+02,9.296008300257927885e+02,8.641577031846429454e+05,3.048935601198871836e+01,0.000000000000000000e+00,3.048935601198871836e+01,1.000000000000000000e+00
7.399999999999999634e-02,9.286716938412872651e+02,9.286716938412872651e+02,8.624311149420455331e+05,3.047411514451711412e+01,0.000000000000000000e+00,3.047411514451711412e+01,1.000000000000000000e+00
7.499999999999999722e-02,9.277434863285528763e+02,9.277434863285528763e+02,8.607079764250577427e+05,3.045888189557445003e+01,0.000000000000000000e+00,3.045888189557445003e+01,1.000000000000000000e+00
7.599999999999999811e-02,9.268162065593822945e+02,9.268162065593822945e+02,8.589882807411235990e+05,3.044365626135241598e+01,0.000000000000000000e+00,3.044365626135241598e+01,1.000000000000000000e+00
