time,mean_particle_number,variance
0.000000000000000000e+00,5.000000000000000000e+01,5.000000000000000000e+01
1.000000000000000021e-03,4.995002499166874799e+01,4.995002499166874799e+01
2.000000000000000042e-03,4.990009993336665417e+01,4.990009993336665417e+01
3.000000000000000062e-03,4.985022477516864825e+01,4.985022477516864825e+01
4.000000000000000083e-03,4.980039946719957555e+01,4.980039946719957555e+01
5.000000000000000104e-03,4.975062395963411888e+01,4.975062395963411888e+01
6.000000000000000125e-03,4.970089820269676295e+01,4.970089820269676295e+01
7.000000000000000146e-03,4.965122214666175182e+01,4.965122214666175182e+01
8.000000000000000167e-03,4.960159574185303200e+01,4.960159574185303200e+01
9.000000000000001055e-03,4.955201893864418139e+01,4.955201893864418139e+01
1.000000000000000021e-02,4.950249168745840223e+01,4.950249168745840223e+01
1.099999999999999936e-02,4.945301393876843576e+01,4.945301393876843576e+01
1.200000000000000025e-02,4.940358564309652678e+01,4.940358564309652678e+01
1.300000000000000114e-02,4.935420675101438093e+01,4.935420675101438093e+01
1.400000000000000029e-02,4.930487721314309368e+01,4.930487721314309368e+01
1.499999999999999944e-02,4.925559698015312904e+01,4.925559698015312904e+01
1.600000000000000033e-02,4.920636600276425554e+01,4.920636600276425554e+01
1.700000000000000122e-02,4.915718423174548235e+01,4.915718423174548235e+01
1.800000000000000211e-02,4.910805161791503792e+01,4.910805161791503792e+01
1.899999999999999953e-02,4.905896811214029896e+01,4.905896811214029896e+01
2.000000000000000042e-02,4.900993366533776197e+01,4.900993366533776197e+01
2.100000000000000130e-02,4.896094822847297934e+01,4.896094822847297934e+01
2.199999999999999872e-02,4.891201175256050249e+01,4.891201175256050249e+01
2.299999999999999961e-02,4.886312418866385343e+01,4.886312418866385343e+01
2.400000000000000050e-02,4.881428548789546795e+01,4.881428548789546795e+01
2.500000000000000139e-02,4.876549560141663164e+01,4.876549560141663164e+01
2.600000000000000228e-02,4.871675448043746570e+01,4.871675448043746570e+01
2.699999999999999969e-02,4.866806207621684166e+01,4.866806207621684166e+01
2.800000000000000058e-02,4.861941834006234586e+01,4.861941834006234586e+01
2.900000000000000147e-02,4.857082322333023683e+01,4.857082322333023683e+01
2.999999999999999889e-02,4.852227667742540973e+01,4.852227667742540973e+01
3.099999999999999978e-02,4.847377865380129691e+01,4.847377865380129691e+01
3.200000000000000067e-02,4.842532910395988210e+01,4.842532910395988210e+01
3.300000000000000155e-02,4.837692797945160095e+01,4.837692797945160095e+01
3.400000000000000244e-02,4.832857523187533388e+01,4.832857523187533388e+01
3.500000000000000333e-02,4.828027081287832090e+01,4.828027081287832090e+01
3.600000000000000422e-02,4.823201467415615440e+01,4.823201467415615440e+01
3.699999999999999817e-02,4.818380676745267266e+01,4.818380676745267266e+01
3.799999999999999906e-02,4.813564704455997401e+01,4.813564704455997401e+01
3.899999999999999994e-02,4.808753545731833867e+01,4.808753545731833867e+01
4.000000000000000083e-02,4.803947195761615774e+01,4.803947195761615774e+01
4.100000000000000172e-02,4.799145649738994734e+01,4.799145649738994734e+01
4.200000000000000261e-02,4.794348902862422790e+01,4.794348902862422790e+01
4.300000000000000350e-02,4.789556950335153118e+01,4.789556950335153118e+01
4.399999999999999745e-02,4.784769787365233640e+01,4.784769787365233640e+01
4.499999999999999833e-02,4.779987409165499912e+01,4.779987409165499912e+01
4.599999999999999922e-02,4.775209810953573708e+01,4.775209810953573708e+01
4.700000000000000011e-02,4.770436987951855201e+01,4.770436987951855201e+01
4.800000000000000100e-02,4.765668935387523675e+01,4.765668935387523675e+01
4.900000000000000189e-02,4.760905648492524733e+01,4.760905648492524733e+01
5.000000000000000278e-02,4.756147122503570301e+01,4.756147122503570301e+01
5.100000000000000366e-02,4.751393352662135072e+01,4.751393352662135072e+01
5.200000000000000455e-02,4.746644334214447980e+01,4.746644334214447980e+01
5.299999999999999850e-02,4.741900062411490779e+01,4.741900062411490779e+01
5.399999999999999939e-02,4.737160532508991651e+01,4.737160532508991651e+01
5.500000000000000028e-02,4.732425739767418804e+01,4.732425739767418804e+01
5.600000000000000117e-02,4.727695679451981192e+01,4.727695679451981192e+01
5.700000000000000205e-02,4.722970346832616428e+01,4.722970346832616428e+01
5.800000000000000294e-02,4.718249737183992920e+01,4.718249737183992920e+01
5.900000000000000383e-02,4.713533845785498499e+01,4.713533845785498499e+01
5.999999999999999778e-02,4.708822667921243266e+01,4.708822667921243266e+01
6.099999999999999867e-02,4.704116198880048216e+01,4.704116198880048216e+01
6.199999999999999956e-02,4.699414433955444537e+01,4.699414433955444537e+01
6.300000000000000044e-02,4.694717368445665784e+01,4.694717368445665784e+01
