time,mean_particle_number,variance
0.000000000000000000e+00,5.000000000000000000e+01,0.000000000000000000e+00
1.000000000000000021e-03,4.995002499166874799e+01,4.992505830209714723e-02
2.000000000000000042e-03,4.990009993336665417e+01,9.970046616707972653e-02
3.000000000000000062e-03,4.985022477516864825e+01,1.493265724718861875e-01
4.000000000000000083e-03,4.980039946719957555e+01,1.988037253465413379e-01
5.000000000000000104e-03,4.975062395963411888e+01,2.481322721757106553e-01
6.000000000000000125e-03,4.970089820269676295e+01,2.973125596002379467e-01
7.000000000000000146e-03,4.965122214666175182e+01,3.463449335186608025e-01
8.000000000000000167e-03,4.960159574185303200e+01,3.952297390887760109e-01
9.000000000000001055e-03,4.955201893864418139e+01,4.439673207291439105e-01
1.000000000000000021e-02,4.950249168745840223e+01,4.925580221206427023e-01
1.099999999999999936e-02,4.945301393876843576e+01,5.410021862079339439e-01
1.200000000000000025e-02,4.940358564309652678e+01,5.893001552010612709e-01
1.300000000000000114e-02,4.935420675101438093e+01,6.374522705769103403e-01
1.400000000000000029e-02,4.930487721314309368e+01,6.854588730807520403e-01
1.499999999999999944e-02,4.925559698015312904e+01,7.333203027277246377e-01
1.600000000000000033e-02,4.920636600276425554e+01,7.810368988043769889e-01
1.700000000000000122e-02,4.915718423174548235e+01,8.286089998701506865e-01
1.800000000000000211e-02,4.910805161791503792e+01,8.760369437588844121e-01
1.899999999999999953e-02,4.905896811214029896e+01,9.233210675803238399e-01
2.000000000000000042e-02,4.900993366533776197e+01,9.704617077216037835e-01
2.100000000000000130e-02,4.896094822847297934e+01,1.017459199848752549e+00
2.199999999999999872e-02,4.891201175256050249e+01,1.064313878908168531e+00
2.299999999999999961e-02,4.886312418866385343e+01,1.111026079128119015e+00
2.400000000000000050e-02,4.881428548789546795e+01,1.157596134020227874e+00
2.500000000000000139e-02,4.876549560141663164e+01,1.204024376380929962e+00
2.600000000000000228e-02,4.871675448043746570e+01,1.250311138292992119e+00
2.699999999999999969e-02,4.866806207621684166e+01,1.296456751126923157e+00
2.800000000000000058e-02,4.861941834006234586e+01,1.342461545542528167e+00
2.900000000000000147e-02,4.857082322333023683e+01,1.388325851490312957e+00
2.999999999999999889e-02,4.852227667742540973e+01,1.434049998212971744e+00
3.099999999999999978e-02,4.847377865380129691e+01,1.479634314246852655e+00
3.200000000000000067e-02,4.842532910395988210e+01,1.525079127423406566e+00
3.300000000000000155e-02,4.837692797945160095e+01,1.570384764870658145e+00
3.400000000000000244e-02,4.832857523187533388e+01,1.615551553014654695e+00
3.500000000000000333e-02,4.828027081287832090e+01,1.660579817580909445e+00
3.600000000000000422e-02,4.823201467415615440e+01,1.705469883595867042e+00
3.699999999999999817e-02,4.818380676745267266e+01,1.750222075388313536e+00
3.799999999999999906e-02,4.813564704455997401e+01,1.794836716590864079e+00
3.899999999999999994e-02,4.808753545731833867e+01,1.839314130141372905e+00
4.000000000000000083e-02,4.803947195761615774e+01,1.883654638284371075e+00
4.100000000000000172e-02,4.799145649738994734e+01,1.927858562572509760e+00
4.200000000000000261e-02,4.794348902862422790e+01,1.971926223867992434e+00
4.300000000000000350e-02,4.789556950335153118e+01,2.015857942343984632e+00
4.399999999999999745e-02,4.784769787365233640e+01,2.059654037486052580e+00
4.499999999999999833e-02,4.779987409165499912e+01,2.103314828093588496e+00
4.599999999999999922e-02,4.775209810953573708e+01,2.146840632281215910e+00
4.700000000000000011e-02,4.770436987951855201e+01,2.190231767480205427e+00
4.800000000000000100e-02,4.765668935387523675e+01,2.233488550439926890e+00
4.900000000000000189e-02,4.760905648492524733e+01,2.276611297229197639e+00
5.000000000000000278e-02,4.756147122503570301e+01,2.319600323237724915e+00
5.100000000000000366e-02,4.751393352662135072e+01,2.362455943177510509e+00
5.200000000000000455e-02,4.746644334214447980e+01,2.405178471084240321e+00
5.299999999999999850e-02,4.741900062411490779e+01,2.447768220318708110e+00
5.399999999999999939e-02,4.737160532508991651e+01,2.490225503568171739e+00
5.500000000000000028e-02,4.732425739767418804e+01,2.532550632847780037e+00
5.600000000000000117e-02,4.727695679451981192e+01,2.574743919501953915e+00
5.700000000000000205e-02,4.722970346832616428e+01,2.616805674205751941e+00
5.800000000000000294e-02,4.718249737183992920e+01,2.658736206966294535e+00
5.900000000000000383e-02,4.713533845785498499e+01,2.700535827124117549e+00
5.999999999999999778e-02,4.708822667921243266e+01,2.742204843354562271e+00
6.099999999999999867e-02,4.704116198880048216e+01,2.783743563669127674e+00
6.199999999999999956e-02,4.699414433955444537e+01,2.825152295416899495e+00
6.300000000000000044e-02,4.694717368445665784e+01,2.866431345285858079e+00
6.400000000000000133e-02,4.690024997653647176e+01,2.907581019304283920e+00
6.500000000000000222e-02,4.685337316887017067e+01,2.948601622842106362e+00
6.600000000000000311e-02,4.680654321458094103e+01,2.989493460612280273e+00
6.700000000000000400e-02,4.675976006683882957e+01,3.030256836672129417e+00
6.800000000000000488e-02,4.671302367886067941e+01,3.070892054424712025e+00
6.900000000000000577e-02,4.666633400391010156e+01,3.111399416620180602e+00
7.000000000000000666e-02,4.661969099529741101e+01,3.151779225357120851e+00
7.100000000000000755e-02,4.657309460637960541e+01,3.192031782083903924e+00
7.200000000000000844e-02,4.652654479056028691e+01,3.232157387600037346e+00
7.299999999999999545e-02,4.648004150128963374e+01,3.272156342057497280e+00
7.399999999999999634e-02,4.643358469206436467e+01,3.312028944962086552e+00
7.499999999999999722e-02,4.638717431642763955e+01,3.351775495174752706e+00
7.599999999999999811e-02,4.634081032796910904e+01,3.391396290912940259e+00
7.699999999999999900e-02,4.629449268032476539e+01,3.430891629751892324e+00
7.799999999999999989e-02,4.624822132717696377e+01,3.470261808626040612e+00
7.900000000000000078e-02,4.620199622225433700e+01,3.509507123830251984e+00
8.000000000000000167e-02,4.615581731933178844e+01,3.548627871021220237e+00
8.100000000000000255e-02,4.610968457223039962e+01,3.587624345218753952e+00
8.200000000000000344e-02,4.606359793481743736e+01,3.626496840807097222e+00
8.300000000000000433e-02,4.601755736100623295e+01,3.665245651536253035e+00
8.400000000000000522e-02,4.597156280475623191e+01,3.703871070523296005e+00
8.500000000000000611e-02,4.592561422007286609e+01,3.742373390253683763e+00
8.600000000000000699e-02,4.587971156100754655e+01,3.780752902582551478e+00
8.700000000000000788e-02,4.583385478165761384e+01,3.819009898736042352e+00
8.799999999999999489e-02,4.578804383616628115e+01,3.857144669312578600e+00
8.899999999999999578e-02,4.574227867872259878e+01,3.895157504284191496e+00
8.999999999999999667e-02,4.569655926356141151e+01,3.933048692997809237e+00
9.099999999999999756e-02,4.565088554496328754e+01,3.970818524176522590e+00
9.199999999999999845e-02,4.560525747725451851e+01,4.008467285920930046e+00
9.299999999999999933e-02,4.555967501480702708e+01,4.045995265710394584e+00
9.400000000000000022e-02,4.551413811203835280e+01,4.083402750404319548e+00
9.500000000000000111e-02,4.546864672341157387e+01,4.120690026243456927e+00
9.600000000000000200e-02,4.542320080343530719e+01,4.157857378851192998e+00
9.700000000000000289e-02,4.537780030666363729e+01,4.194905093234790883e+00
9.800000000000000377e-02,4.533244518769604525e+01,4.231833453786721044e+00
9.900000000000000466e-02,4.528713540117742298e+01,4.268642744285871871e+00
1.000000000000000056e-01,4.524187090179797366e+01,4.305333247898884608e+00
1.010000000000000064e-01,4.519665164429320470e+01,4.341905247181376382e+00
1.020000000000000073e-01,4.515147758344383533e+01,4.378359024079204076e+00
1.030000000000000082e-01,4.510634867407582504e+01,4.414694859929790383e+00
1.040000000000000091e-01,4.506126487106023859e+01,4.450913035463289091e+00
1.049999999999999961e-01,4.501622612931328149e+01,4.487013830803926240e+00
1.059999999999999970e-01,4.497123240379620057e+01,4.522997525471211588e+00
1.069999999999999979e-01,4.492628364951527686e+01,4.558864398381201610e+00
1.079999999999999988e-01,4.488137982152174743e+01,4.594614727847762481e+00
1.089999999999999997e-01,4.483652087491176985e+01,4.630248791583790435e+00
1.100000000000000006e-01,4.479170676482640800e+01,4.665766866702486304e+00
1.110000000000000014e-01,4.474693744645155391e+01,4.701169229718593634e+00
1.120000000000000023e-01,4.470221287501786378e+01,4.736456156549606611e+00
1.130000000000000032e-01,4.465753300580077223e+01,4.771627922517063247e+00
1.140000000000000041e-01,4.461289779412041412e+01,4.806684802347726659e+00
1.150000000000000050e-01,4.456830719534156771e+01,4.841627070174864045e+00
1.160000000000000059e-01,4.452376116487363333e+01,4.876454999539447499e+00
1.170000000000000068e-01,4.447925965817056948e+01,4.911168863391374373e+00
1.180000000000000077e-01,4.443480263073087144e+01,4.945768934090732927e+00
1.190000000000000085e-01,4.439039003809750739e+01,4.980255483408985384e+00
1.199999999999999956e-01,4.434602183585787571e+01,5.014628782530200723e+00
1.209999999999999964e-01,4.430169797964377665e+01,5.048889102052300792e+00
1.219999999999999973e-01,4.425741842513135538e+01,5.083036711988231815e+00
1.229999999999999982e-01,4.421318312804104522e+01,5.117071881767182084e+00
1.239999999999999991e-01,4.416899204413754632e+01,5.150994880235831630e+00
1.250000000000000000e-01,4.412484512922977586e+01,5.184805975659529054e+00
1.260000000000000009e-01,4.408074233917080420e+01,5.218505435723496788e+00
1.270000000000000018e-01,4.403668362985784768e+01,5.252093527534046125e+00
1.280000000000000027e-01,4.399266895723219051e+01,5.285570517619770037e+00
1.290000000000000036e-01,4.394869827727915634e+01,5.318936671932755544e+00
1.300000000000000044e-01,4.390477154602806564e+01,5.352192255849752556e+00
1.310000000000000053e-01,4.386088871955217883e+01,5.385337534173384455e+00
1.320000000000000062e-01,4.381704975396866075e+01,5.418372771133356025e+00
1.330000000000000071e-01,4.377325460543855229e+01,5.451298230387596533e+00
1.340000000000000080e-01,4.372950323016669927e+01,5.484114175023502291e+00
1.350000000000000089e-01,4.368579558440172406e+01,5.516820867559063757e+00
1.360000000000000098e-01,4.364213162443596161e+01,5.549418569944086777e+00
1.370000000000000107e-01,4.359851130660546659e+01,5.581907543561364982e+00
1.380000000000000115e-01,4.355493458728992096e+01,5.614288049227850408e+00
1.390000000000000124e-01,4.351140142291257717e+01,5.646560347195800134e+00
1.400000000000000133e-01,4.346791176994029371e+01,5.678724697154019729e+00
1.410000000000000142e-01,4.342446558488339292e+01,5.710781358228944171e+00
1.420000000000000151e-01,4.338106282429570371e+01,5.742730588985889284e+00
1.430000000000000160e-01,4.333770344477444780e+01,5.774572647430142425e+00
1.440000000000000169e-01,4.329438740296024690e+01,5.806307791008186392e+00
1.449999999999999900e-01,4.325111465553706580e+01,5.837936276608801656e+00
1.459999999999999909e-01,4.320788515923214135e+01,5.869458360564284050e+00
1.469999999999999918e-01,4.316469887081596823e+01,5.900874298651537231e+00
1.479999999999999927e-01,4.312155574710227768e+01,5.932184346093293925e+00
1.489999999999999936e-01,4.307845574494791663e+01,5.963388757559195952e+00
1.499999999999999944e-01,4.303539882125289040e+01,5.994487787166996817e+00
1.509999999999999953e-01,4.299238493296027741e+01,6.025481688483679932e+00
1.519999999999999962e-01,4.294941403705617233e+01,6.056370714526615018e+00
1.529999999999999971e-01,4.290648609056969320e+01,6.087155117764686096e+00
1.539999999999999980e-01,4.286360105057287484e+01,6.117835150119438126e+00
1.549999999999999989e-01,4.282075887418067595e+01,6.148411062966213869e+00
1.559999999999999998e-01,4.277795951855092227e+01,6.178883107135291652e+00
1.570000000000000007e-01,4.273520294088425686e+01,6.209251532913007132e+00
1.580000000000000016e-01,4.269248909842408324e+01,6.239516590042898159e+00
1.590000000000000024e-01,4.264981794845657248e+01,6.269678527726801676e+00
1.600000000000000033e-01,4.260718944831056376e+01,6.299737594626019899e+00
1.610000000000000042e-01,4.256460355535755724e+01,6.329694038862410110e+00
1.620000000000000051e-01,4.252206022701165011e+01,6.359548108019530410e+00
1.630000000000000060e-01,4.247955942072951530e+01,6.389300049143720628e+00
1.640000000000000069e-01,4.243710109401033748e+01,6.418950108745269389e+00
1.650000000000000078e-01,4.239468520439579180e+01,6.448498532799485261e+00
1.660000000000000087e-01,4.235231170946997992e+01,6.477945566747816741e+00
1.670000000000000095e-01,4.230998056685940867e+01,6.507291455498986465e+00
1.680000000000000104e-01,4.226769173423294035e+01,6.536536443430074783e+00
1.690000000000000113e-01,4.222544516930171454e+01,6.565680774387605112e+00
1.700000000000000122e-01,4.218324082981918366e+01,6.594724691688702123e+00
1.710000000000000131e-01,4.214107867358099213e+01,6.623668438122132684e+00
1.720000000000000140e-01,4.209895865842499774e+01,6.652512255949460496e+00
1.730000000000000149e-01,4.205688074223116502e+01,6.681256386906076372e+00
1.740000000000000158e-01,4.201484488292157238e+01,6.709901072202351102e+00
1.750000000000000167e-01,4.197285103846036947e+01,6.738446552524695932e+00
1.759999999999999898e-01,4.193089916685369900e+01,6.766893068036655912e+00
1.769999999999999907e-01,4.188898922614968967e+01,6.795240858379991700e+00
1.779999999999999916e-01,4.184712117443840640e+01,6.823490162675788007e+00
1.789999999999999925e-01,4.180529496985177218e+01,6.851641219525489213e+00
1.799999999999999933e-01,4.176351057056359650e+01,6.879694267012048670e+00
1.809999999999999942e-01,4.172176793478947587e+01,6.907649542700927903e+00
1.819999999999999951e-01,4.168006702078676540e+01,6.935507283641234366e+00
1.829999999999999960e-01,4.163840778685455035e+01,6.963267726366756172e+00
