time,mean_particle_number,variance
0.000000000000000000e+00,4.997326845061078870e+01,4.897776094339224073e+01
1.000000000000000021e-03,4.992337979392491576e+01,4.893123676665118182e+01
2.000000000000000042e-03,4.987332638794243422e+01,4.887982845924534558e+01
3.000000000000000062e-03,4.982362652959899663e+01,4.883529584998495920e+01
4.000000000000000083e-03,4.977390992069751974e+01,4.878955797155640539e+01
5.000000000000000104e-03,4.972401625076835785e+01,4.873888185757914471e+01
6.000000000000000125e-03,4.967424494666315127e+01,4.868933023824456541e+01
7.000000000000000146e-03,4.962479421382364819e+01,4.864663945532447542e+01
8.000000000000000167e-03,4.957520083768142882e+01,4.859927830944343441e+01
9.000000000000001055e-03,4.952552081868057599e+01,4.854814668870676542e+01
1.000000000000000021e-02,4.947596940320182313e+01,4.850025178447140206e+01
1.099999999999999936e-02,4.942661871025959641e+01,4.845630346892221496e+01
1.200000000000000025e-02,4.937732539568322210e+01,4.841145861658878857e+01
1.300000000000000114e-02,4.932809826718902002e+01,4.836655567365414754e+01
1.400000000000000029e-02,4.927912909948859976e+01,4.832715431245060245e+01
1.499999999999999944e-02,4.922998078714252301e+01,4.828205702373088570e+01
1.600000000000000033e-02,4.918094153449674621e+01,4.823844481495143555e+01
1.700000000000000122e-02,4.913183152424416988e+01,4.819256422129456041e+01
1.800000000000000211e-02,4.908270510240125617e+01,4.814459272150588731e+01
1.899999999999999953e-02,4.903373507127859199e+01,4.809917984989033357e+01
2.000000000000000042e-02,4.898464665233576909e+01,4.805068332604832904e+01
2.100000000000000130e-02,4.893583897798255578e+01,4.800667265852507626e+01
2.199999999999999872e-02,4.888718531876678952e+01,4.796537059084585053e+01
2.299999999999999961e-02,4.883817657651287192e+01,4.791496600983464305e+01
2.400000000000000050e-02,4.878962021738854560e+01,4.787367380337536815e+01
2.500000000000000139e-02,4.874087476160664778e+01,4.782635992811128745e+01
2.600000000000000228e-02,4.869230423348630410e+01,4.778288119334683870e+01
2.699999999999999969e-02,4.864342084481909012e+01,4.773206284498701280e+01
2.800000000000000058e-02,4.859482299282714024e+01,4.768559415898380394e+01
2.900000000000000147e-02,4.854635178106407523e+01,4.764075776583922561e+01
2.999999999999999889e-02,4.849762100161824918e+01,4.758996840041754695e+01
3.099999999999999978e-02,4.844924140742813279e+01,4.754477815431391718e+01
3.200000000000000067e-02,4.840084941237759608e+01,4.749832637502868238e+01
3.300000000000000155e-02,4.835258549611590695e+01,4.745369403890117610e+01
3.400000000000000244e-02,4.830435209630616811e+01,4.740898948136782565e+01
3.500000000000000333e-02,4.825624655854313261e+01,4.736557021040562176e+01
3.600000000000000422e-02,4.820810412611783846e+01,4.732074075283844650e+01
3.699999999999999817e-02,4.815999786334565158e+01,4.727620644584749243e+01
3.799999999999999906e-02,4.811174193895690365e+01,4.722724170396031695e+01
3.899999999999999994e-02,4.806348394534131074e+01,4.717659759956313792e+01
4.000000000000000083e-02,4.801557920331489271e+01,4.713347909663434621e+01
4.100000000000000172e-02,4.796761410899953404e+01,4.708794177752633914e+01
4.200000000000000261e-02,4.791955403855197915e+01,4.703935819347543656e+01
4.300000000000000350e-02,4.787150614128984216e+01,4.698920347697458055e+01
4.399999999999999745e-02,4.782365632721064941e+01,4.694297333256054117e+01
4.499999999999999833e-02,4.777569202886630961e+01,4.689445431342710435e+01
4.599999999999999922e-02,4.772809338812085400e+01,4.685060680391461574e+01
4.700000000000000011e-02,4.768038701121226097e+01,4.680466185352179309e+01
4.800000000000000100e-02,4.763287603983304308e+01,4.676106653809483760e+01
4.900000000000000189e-02,4.758499737337777447e+01,4.670968198725404363e+01
5.000000000000000278e-02,4.753742426286218148e+01,4.666298097067328854e+01
5.100000000000000366e-02,4.749001567334766349e+01,4.661931544873414168e+01
5.200000000000000455e-02,4.744243608533420797e+01,4.657140817413846889e+01
5.299999999999999850e-02,4.739514322656813761e+01,4.652738140512292375e+01
5.399999999999999939e-02,4.734789715695919909e+01,4.648455677376523454e+01
5.500000000000000028e-02,4.730038562071776909e+01,4.643444848917806667e+01
5.600000000000000117e-02,4.725310593404611836e+01,4.638903090812391383e+01
5.700000000000000205e-02,4.720609183473946047e+01,4.634809994868464855e+01
5.800000000000000294e-02,4.715869827564349492e+01,4.629847397301136880e+01
5.900000000000000383e-02,4.711162969683578439e+01,4.625538078015415522e+01
5.999999999999999778e-02,4.706455295829396590e+01,4.621105113196745151e+01
6.099999999999999867e-02,4.701767438627824447e+01,4.616922573065221513e+01
6.199999999999999956e-02,4.697057456956422783e+01,4.612268611209810842e+01
6.300000000000000044e-02,4.692340835203464167e+01,4.607220624162664535e+01
6.400000000000000133e-02,4.687639529663706384e+01,4.602401501958956942e+01
6.500000000000000222e-02,4.682970564508239875e+01,4.598099593255574291e+01
6.600000000000000311e-02,4.678241200116180210e+01,4.592703664206510439e+01
6.700000000000000400e-02,4.673572945581846483e+01,4.588303433252303876e+01
6.800000000000000488e-02,4.668902288510128784e+01,4.583756585782703041e+01
