time,mean_particle_number,variance
0.000000000000000000e+00,1.000189481515619036e+03,-1.368256057146936655e+00
1.000000000000000021e-03,9.991897919621876554e+02,-3.668319163843989372e-01
2.000000000000000042e-03,9.981911015986313487e+02,6.315931869903579354e-01
3.000000000000000062e-03,9.971934094262600183e+02,1.627026241621933877e+00
4.000000000000000083e-03,9.961967144473810549e+02,2.619474223116412759e+00
5.000000000000000104e-03,9.952010156652994510e+02,3.608944091247394681e+00
6.000000000000000125e-03,9.942063120843167781e+02,4.595442790654487908e+00
7.000000000000000146e-03,9.932126027097287988e+02,5.578977251891046762e+00
8.000000000000000167e-03,9.922198865478264906e+02,6.559554389445111156e+00
9.000000000000001055e-03,9.912281626058932034e+02,7.537181104999035597e+00
1.000000000000000021e-02,9.902374298922052276e+02,8.511864283354952931e+00
1.099999999999999936e-02,9.892476874160296347e+02,9.483610795461572707e+00
1.200000000000000025e-02,9.882589341876239359e+02,1.045242749771568924e+01
1.300000000000000114e-02,9.872711692182347178e+02,1.141832123196218163e+01
1.400000000000000029e-02,9.862843915200970741e+02,1.238129882444627583e+01
1.499999999999999944e-02,9.852986001064330139e+02,1.334136708802543581e+01
1.600000000000000033e-02,9.843137939914513481e+02,1.429853281984105706e+01
1.700000000000000122e-02,9.833299721903455293e+02,1.525280280329752713e+01
1.800000000000000211e-02,9.823471337192938790e+02,1.620418380666524172e+01
1.899999999999999953e-02,9.813652775954578829e+02,1.715268258447758853e+01
2.000000000000000042e-02,9.803844028369812804e+02,1.809830587578471750e+01
2.100000000000000130e-02,9.794045084629891562e+02,1.904106040601618588e+01
2.199999999999999872e-02,9.784255934935870300e+02,1.998095288558397442e+01
2.299999999999999961e-02,9.774476569498600611e+02,2.091799001104664057e+01
2.400000000000000050e-02,9.764706978538714566e+02,2.185217846429441124e+01
2.500000000000000139e-02,9.754947152286621304e+02,2.278352491313125938e+01
2.600000000000000228e-02,9.745197080982492253e+02,2.371203601057641208e+01
2.699999999999999969e-02,9.735456754876256582e+02,2.463771839591208845e+01
2.800000000000000058e-02,9.725726164227586423e+02,2.556057869398500770e+01
2.900000000000000147e-02,9.716005299305892322e+02,2.648062351508997381e+01
2.999999999999999889e-02,9.706294150390306186e+02,2.739785945613402873e+01
3.099999999999999978e-02,9.696592707769679009e+02,2.831229309912305325e+01
3.200000000000000067e-02,9.686900961742569507e+02,2.922393101232592016e+01
3.300000000000000155e-02,9.677218902617227059e+02,3.013277974980883300e+01
3.400000000000000244e-02,9.667546520711595122e+02,3.103884585155174136e+01
3.500000000000000333e-02,9.657883806353289629e+02,3.194213584356475621e+01
3.600000000000000422e-02,9.648230749879594441e+02,3.284265623777173460e+01
