time,mean_particle_number,variance,factorial_second_moment,g1_real,g1_imag,g1_magnitude,g2
0.000000000000000000e+00,9.995479440520730341e-01,9.954453899482663681e-01,9.949935383549194379e-01,9.975201459422183836e-01,0.000000000000000000e+00,9.975201459422183836e-01,9.958937342115806723e-01
1.000000000000000021e-03,9.985489020244293634e-01,9.944545519333590766e-01,9.930055596431230924e-01,9.970205567290039150e-01,-9.851649534909964062e-04,9.970210434540478506e-01,9.958937413883010015e-01
2.000000000000000042e-03,9.975468192391364619e-01,9.934404418131212999e-01,9.909932791481030900e-01,9.965085718060205933e-01,-1.970065489473011178e-03,9.965105191822651864e-01,9.958734008208257604e-01
3.000000000000000062e-03,9.965538611507755995e-01,9.924759674759677797e-01,9.890417044997115159e-01,9.960164575509967699e-01,-2.949019260069083229e-03,9.960208232898711822e-01,9.958938543934653387e-01
4.000000000000000083e-03,9.955618671392070240e-01,9.915122873677401083e-01,9.870938515302372096e-01,9.955226468745200785e-01,-3.925115998560781659e-03,9.955303847576186804e-01,9.959142343644971085e-01
5.000000000000000104e-03,9.945708364100283028e-01,9.905494015836496802e-01,9.851497138109646112e-01,9.950271506282157841e-01,-4.898356995292567524e-03,9.950392074629819117e-01,9.959345409215397682e-01
6.000000000000000125e-03,9.935768089749982268e-01,9.895634735764632373e-01,9.831815399344050466e-01,9.945193402495919877e-01,-5.874246602450647163e-03,9.945366885659021605e-01,9.959346067338714636e-01
7.000000000000000146e-03,9.925759200232316948e-01,9.885311284337991999e-01,9.811621654205323617e-01,9.939887012068931993e-01,-6.859842930768158403e-03,9.940123719411149139e-01,9.958944752057901084e-01
8.000000000000000167e-03,9.915878690900783443e-01,9.875710861382009931e-01,9.792297191747251217e-01,9.934883483414331806e-01,-7.824329815414018952e-03,9.935191585607441311e-01,9.959147752438584078e-01
9.000000000000001055e-03,9.906007778013521392e-01,9.866118366712249843e-01,9.773009598505167927e-01,9.929863533690278521e-01,-8.785967830493105271e-03,9.930252218387194407e-01,9.959350023615439751e-01
1.000000000000000021e-02,9.896069159502998147e-01,9.856066247017175597e-01,9.753215568480815278e-01,9.924615919196057012e-01,-9.762945683412634079e-03,9.925096103031019190e-01,9.959152435367831790e-01
1.099999999999999936e-02,9.886179468713685026e-01,9.846259242520976063e-01,9.733734222568890537e-01,9.919458629268789185e-01,-1.072819402210778775e-02,9.920038755593277857e-01,9.959155271549663402e-01
1.200000000000000025e-02,9.876261631251720408e-01,9.836230912464619669e-01,9.714023662106389123e-01,9.914180153280741647e-01,-1.170243674796464170e-02,9.914870791608418887e-01,9.958959918384795440e-01
1.300000000000000114e-02,9.866354279474235378e-01,9.826215007586470707e-01,9.694355404922191388e-01,9.908886336512975346e-01,-1.267584874887656664e-02,9.909697076302784735e-01,9.958765941920553200e-01
1.400000000000000029e-02,9.856495119151362783e-01,9.816440762964799838e-01,9.674995247198899806e-01,9.903682608812587329e-01,-1.363561865115766117e-02,9.904621256044920941e-01,9.958770816597162234e-01
1.499999999999999944e-02,9.846645957515614000e-01,9.806676655334400916e-01,9.655674359084644998e-01,9.898463456372232905e-01,-1.459317933212040362e-02,9.899539124900638143e-01,9.958776019852203509e-01
1.600000000000000033e-02,9.836769519426600272e-01,9.796695641659453058e-01,9.636129580064876077e-01,9.893123602708902009e-01,-1.556296639611348155e-02,9.894347639474804224e-01,9.958585122830678760e-01
1.700000000000000122e-02,9.826940548029997613e-01,9.786952878512280574e-01,9.616888383933893669e-01,9.887873909956240714e-01,-1.651669184405289009e-02,9.889253286782599961e-01,9.958591505890329598e-01
1.800000000000000211e-02,9.817047916945765840e-01,9.776770574959259275e-01,9.597165638374413055e-01,9.882397975973246096e-01,-1.750102643888869214e-02,9.883947508367372237e-01,9.958207439391772997e-01
1.899999999999999953e-02,9.807275898264896652e-01,9.767273904796598405e-01,9.578264061000455465e-01,9.877223875628977634e-01,-1.843353224789716360e-02,9.878943820085654970e-01,9.958410389937474294e-01
2.000000000000000042e-02,9.797477008197933435e-01,9.757562481463080140e-01,9.559141045881859311e-01,9.871928730711470035e-01,-1.938157282505811874e-02,9.873831140988987842e-01,9.958418277263945129e-01
