time,mean_particle_number,variance,factorial_second_moment,g1_real,g1_imag,g1_magnitude,g2
0.000000000000000000e+00,1.000000000000000178e+01,0.000000000000000000e+00,9.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.999999999999995781e-01
1.000000000000000021e-03,9.990004998333628095e+00,9.985011656453934847e-03,8.982017988005370057e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.999999999999590550e-01
2.000000000000000042e-03,9.980019986673861254e+00,1.994009331099277915e-02,8.964071904104686439e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.000000000007841727e-01
3.000000000000000062e-03,9.970044955035556100e+00,2.986531473486309096e-02,8.946161676512924998e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.000000000024375169e-01
4.000000000000000083e-03,9.960079893443966270e+00,3.976074558784148394e-02,8.928287233593064798e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.000000000052675864e-01
5.000000000000000104e-03,9.950124791932031698e+00,4.962645509746721473e-02,8.910448503818589927e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.000000000067419625e-01
6.000000000000000125e-03,9.940179640544544171e+00,5.946251257780943433e-02,8.892645415832953404e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.000000000067089889e-01
7.000000000000000146e-03,9.930244429337527379e+00,6.926898735748920899e-02,8.874877898440894342e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.000000000066814554e-01
8.000000000000000167e-03,9.920319148375771334e+00,7.904594846897339266e-02,8.857145880572419117e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.000000000066689099e-01
9.000000000000001055e-03,9.910403787733990555e+00,8.879346479335481490e-02,8.839449291299159484e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.000000000066444850e-01
1.000000000000000021e-02,9.900498337496822288e+00,9.851160506862299826e-02,8.821788059834914009e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.000000000066264993e-01
1.099999999999999936e-02,9.890602787758796310e+00,1.082004378774996667e-01,8.804162115534077770e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.000000000065516703e-01
1.200000000000000025e-02,9.880717128624365131e+00,1.178600316632554268e-01,8.786571387892981022e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.000000000064323213e-01
1.300000000000000114e-02,9.870841350207903986e+00,1.274904547295534485e-01,8.769015806549583658e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.000000000063537176e-01
1.400000000000000029e-02,9.860975442633622023e+00,1.370917752236522347e-01,8.751495301281339323e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.000000000062976513e-01
1.499999999999999944e-02,9.851119396035571185e+00,1.466640611369314229e-01,8.734009802004959511e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.000000000061434413e-01
1.600000000000000033e-02,9.841273200557722589e+00,1.562073803328871691e-01,8.716559238779080943e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.000000000059548144e-01
1.700000000000000122e-02,9.831436846353938108e+00,1.657218005372271818e-01,8.699143541802915536e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.000000000058751004e-01
1.800000000000000211e-02,9.821610323587806946e+00,1.752073893037220387e-01,8.681762641412250048e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.000000000057697402e-01
1.899999999999999953e-02,9.811793622432782414e+00,1.846642140470180493e-01,8.664416468082684730e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.000000000055623506e-01
2.000000000000000042e-02,9.801986733072197922e+00,1.940923420544748979e-01,8.647104952430565561e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.000000000053561822e-01
2.100000000000000130e-02,9.792189645699220790e+00,2.034918404744132658e-01,8.629828025211422471e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.000000000053093308e-01
2.199999999999999872e-02,9.782402350516719025e+00,2.128627762841261983e-01,8.612585617316243258e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.000000000052971183e-01
2.299999999999999961e-02,9.772624837737382109e+00,2.222052163262020485e-01,8.595377659775041934e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.000000000052875704e-01
2.400000000000000050e-02,9.762857097583699684e+00,2.315192273030532988e-01,8.578204083755976228e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.000000000052814642e-01
2.500000000000000139e-02,9.753099120287927803e+00,2.408048757739607026e-01,8.561064820564718048e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.000000000052789106e-01
2.600000000000000228e-02,9.743350896092088931e+00,2.500622281553859239e-01,8.543959801644182050e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.000000000052790217e-01
2.699999999999999969e-02,9.733612415247961280e+00,2.592913507212415425e-01,8.526888958574252797e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.000000000052795768e-01
2.800000000000000058e-02,9.723883668017057502e+00,2.684923096037721280e-01,8.509852223071558797e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.000000000052837956e-01
2.900000000000000147e-02,9.714164644670633564e+00,2.776651707933410762e-01,8.492849526989164133e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.000000000052943427e-01
2.999999999999999889e-02,9.704455335489665657e+00,2.868100001383595554e-01,8.475880802316252982e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.000000000053099969e-01
3.099999999999999978e-02,9.694755730764841317e+00,2.959268633459402054e-01,8.458945981177883766e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.000000000053290927e-01
3.200000000000000067e-02,9.685065820796555869e+00,3.050158259819824025e-01,8.442044995834709198e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.000000000053475224e-01
3.300000000000000155e-02,9.675385595894898216e+00,3.140769534714848987e-01,8.425177778682706276e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.000000000053586247e-01
3.400000000000000244e-02,9.665715046379641961e+00,3.231103110995121597e-01,8.408344262252967383e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.000000000053608451e-01
3.500000000000000333e-02,9.656054162580236522e+00,3.321159640123028112e-01,8.391544379211518390e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.000000000053666183e-01
3.600000000000000422e-02,9.646402934835798249e+00,3.410939772151948546e-01,8.374778062358808484e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.000000000053760552e-01
3.699999999999999817e-02,9.636761353495097993e+00,3.500444155739188545e-01,8.358045244629548165e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.000000000053892668e-01
3.799999999999999906e-02,9.627129408916555775e+00,3.589673438147684692e-01,8.341345859092423609e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.000000000054035887e-01
3.899999999999999994e-02,9.617507091468226577e+00,3.678628265249415108e-01,8.324679838949833766e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.000000000054151350e-01
4.000000000000000083e-02,9.607894391527786127e+00,3.767309281530231146e-01,8.308047117537631721e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.000000000054201310e-01
4.100000000000000172e-02,9.598291299482539785e+00,3.855717130103641921e-01,8.291447628325005326e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.000000000054277915e-01
4.200000000000000261e-02,9.588697805729394119e+00,3.943852452697029776e-01,8.274881304914001134e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.000000000054411142e-01
4.300000000000000350e-02,9.579113900674855131e+00,4.031715889656055651e-01,8.258348081039298449e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.000000000054596550e-01
4.399999999999999745e-02,9.569539574735014043e+00,4.119308079949774992e-01,8.241847890567954948e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.000000000054808602e-01
4.499999999999999833e-02,9.559974818335543745e+00,4.206629661172485157e-01,8.225380667499140941e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.000000000055000671e-01
4.599999999999999922e-02,9.550419621911689916e+00,4.293681269545857049e-01,8.208946345963872204e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.000000000055090599e-01
4.700000000000000011e-02,9.540873975908251481e+00,4.380463539938403983e-01,8.192544860224890613e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.000000000055138338e-01
4.800000000000000100e-02,9.531337870779580612e+00,4.466977105857665720e-01,8.176176144676321655e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.000000000055246030e-01
4.900000000000000189e-02,9.521811296989579176e+00,4.553222599440118756e-01,8.159840133843280796e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.000000000055398131e-01
5.000000000000000278e-02,9.512294245011672089e+00,4.639200651464250313e-01,8.143536762381692995e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.000000000055586868e-01
5.100000000000000366e-02,9.502786705328800210e+00,4.724911891351268878e-01,8.127265965078011334e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.000000000055778937e-01
5.200000000000000455e-02,9.493288668433423894e+00,4.810356947166809505e-01,8.111027676848971169e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.000000000055913274e-01
5.299999999999999850e-02,9.483800124827507005e+00,4.895536445630170874e-01,8.094821832741374124e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.000000000055961014e-01
5.399999999999999939e-02,9.474321065022504484e+00,4.980451012127389276e-01,8.078648367931938878e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.000000000056053162e-01
5.500000000000000028e-02,9.464851479539357015e+00,5.065101270690206547e-01,8.062507217726800945e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.000000000056204152e-01
5.600000000000000117e-02,9.455391358908480370e+00,5.149487844005733450e-01,8.046398317561325086e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.000000000056396221e-01
5.700000000000000205e-02,9.445940693669751198e+00,5.233611353421849799e-01,8.030321602999860886e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.000000000056603833e-01
5.800000000000000294e-02,9.436499474372498142e+00,5.317472418948625545e-01,8.014277009735479851e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.000000000056779248e-01
5.900000000000000383e-02,9.427067691575507169e+00,5.401071659260168190e-01,7.998264473589728141e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.000000000056845861e-01
5.999999999999999778e-02,9.417645335846991372e+00,5.484409691717502255e-01,7.982283930512534198e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.000000000056916916e-01
6.099999999999999867e-02,9.408232397764601629e+00,5.567487132347110901e-01,7.966335316581756842e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.000000000057035709e-01
6.199999999999999956e-02,9.398828867915391072e+00,5.650304595847899236e-01,7.950418568002911002e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.000000000057207794e-01
6.300000000000000044e-02,9.389434736895832856e+00,5.732862695593468061e-01,7.934533621108963075e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.000000000057408744e-01
6.400000000000000133e-02,9.380049995311793509e+00,5.815162043637087663e-01,7.918680412360069454e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.000000000057599703e-01
6.500000000000000222e-02,9.370674633778531160e+00,5.897203250711839928e-01,7.902858878343306515e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.000000000057702954e-01
6.600000000000000311e-02,9.361308642920679546e+00,5.978986926246818712e-01,7.887068955772542722e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.000000000057757354e-01
6.700000000000000400e-02,9.351952013372255124e+00,6.060513678365708756e-01,7.871310581488168623e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.000000000057861715e-01
6.800000000000000488e-02,9.342604735776623315e+00,6.141784113874422246e-01,7.855583692456661993e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.000000000058018257e-01
6.900000000000000577e-02,9.333266800786507389e+00,6.222798838272467492e-01,7.839888225770434360e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.000000000058213656e-01
7.000000000000000666e-02,9.323938199063967147e+00,6.303558455754227907e-01,7.824224118647566684e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.000000000058419047e-01
7.100000000000000755e-02,9.314618921280402475e+00,6.384063569210809419e-01,7.808591308431556399e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.000000000058570038e-01
7.200000000000000844e-02,9.305308958116537354e+00,6.464314780237288005e-01,7.792989732591107099e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.000000000058618888e-01
7.299999999999999545e-02,9.296008300262403878e+00,6.544312689152746998e-01,7.777419328720037583e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.000000000058742122e-01
7.399999999999999634e-02,9.286716938417347578e+00,6.624057894971429050e-01,7.761880034536747530e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.000000000058968608e-01
7.499999999999999722e-02,9.277434863290006106e+00,6.703550995416804881e-01,7.746371787884052651e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.000000000059318328e-01
