time,mean_particle_number,variance,factorial_second_moment,g1_real,g1_imag,g1_magnitude,g2,mean_particle_number_imag,variance_imag,factorial_second_moment_imag
0.000000000000000000e+00,1.000000000000000178e+01,9.999999999999971578e+00,1.000000000000000142e+02,3.162277660168378635e+00,0.000000000000000000e+00,3.162277660168378635e+00,9.999999999999996669e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000021e-03,9.978941295096733555e+00,9.994613270519479897e+00,9.959486299651064201e+01,3.157300409319514056e+00,-2.822666458290256503e-02,3.157426581772352581e+00,1.000156595098781853e+00,8.851547829389566982e-03,1.807290274806225283e-02,1.858795072391114800e-01
2.000000000000000042e-03,9.968934201693773645e+00,9.988348761821583821e+00,9.939823437774204251e+01,3.152228984080156060e+00,-5.629653015276379208e-02,3.152731651660549250e+00,1.000187012735576975e+00,2.879757082882009392e-02,5.611969563052798815e-02,6.014843023239550002e-01
3.000000000000000062e-03,9.971589264830720722e+00,9.994080160962070636e+00,9.945455143926049857e+01,3.152735846402201059e+00,-9.041632293852629176e-02,3.154032090617203465e+00,1.000220842806453181e+00,2.306346370618382949e-02,4.121021608436026273e-02,4.781055265829676770e-01
4.000000000000000083e-03,9.967088149106849926e+00,1.002112835030889926e+01,9.939643397184173068e+01,3.150965019255291821e+00,-1.226584691024746460e-01,3.153351495252799452e+00,1.000539422835567738e+00,2.126973028840824925e-02,4.328575573805332199e-02,4.460105788342308419e-01
5.000000000000000104e-03,9.972302613451910602e+00,1.005178572075966770e+01,9.952617415164750980e+01,3.151507898847585309e+00,-1.578910742286942226e-01,3.155460604700970340e+00,1.000797961542210235e+00,1.133004501544352706e-02,2.020738020544177171e-02,2.348506102260688178e-01
6.000000000000000125e-03,9.964530951623542521e+00,1.007684010081740666e+01,9.940366319918823024e+01,3.146554622392548684e+00,-1.872318863326813410e-01,3.152120202492222134e+00,1.001125833417652045e+00,2.286997746434193610e-02,4.348741403086614499e-02,4.763946331792604516e-01
7.000000000000000146e-03,9.952666657620353519e+00,1.005653357768905209e+01,9.915898646539312722e+01,3.142993046676073376e+00,-2.183326804164472112e-01,3.150567322053597241e+00,1.001043988378737870e+00,2.130850495617871501e-02,5.146337448873244957e-02,4.543077631347496315e-01
8.000000000000000167e-03,9.949416361970373046e+00,1.006275144912493147e+01,9.910422094170449725e+01,3.142901398599603269e+00,-2.538690789295144357e-01,3.153137914927899299e+00,1.001144903359335592e+00,2.988207396529922715e-04,3.794815616491545307e-03,9.442178789637694497e-03
9.000000000000001055e-03,9.945957220204727278e+00,1.005262666322512644e+01,9.902872721699264957e+01,3.139217454397473794e+00,-2.859444335991946917e-01,3.152213578598398236e+00,1.001078244685065011e+00,2.692985385493784634e-03,3.337824516631977823e-02,8.425389465834143277e-02
1.000000000000000021e-02,9.933844889058676131e+00,1.003789766174369902e+01,9.878470942011216493e+01,3.138082719281483079e+00,-3.209972246412173269e-01,3.154457539939384159e+00,1.001048173941710751e+00,-2.485221217589168169e-02,-8.529847680020297140e-03,-4.774336773146953816e-01
1.099999999999999936e-02,9.919915781450908909e+00,1.001228995863087334e+01,9.849647724023158446e+01,3.132158783139831204e+00,-3.513414702916245469e-01,3.151802574963519010e+00,1.000932354877469566e+00,-2.502095176411126692e-02,-1.190430655995755593e-02,-4.832948233393049575e-01
1.200000000000000025e-02,9.910299873087092593e+00,9.947633730850199640e+00,9.825071721228779609e+01,3.126959781411514872e+00,-3.829123371765453254e-01,3.150317338384682753e+00,1.000373405232520829e+00,-2.569474625977375901e-02,-3.481329400802313234e-02,-5.184038289427312929e-01
1.300000000000000114e-02,9.908815067519222808e+00,9.977374458076170072e+00,9.825156978344813297e+01,3.123789048057428630e+00,-4.172490181047233126e-01,3.151532128960910839e+00,1.000681916820078010e+00,-4.007055533421838983e-02,-8.627718604550871362e-02,-8.403100756304221486e-01
1.400000000000000029e-02,9.907901176591234815e+00,1.004113350454890963e+01,9.829954401498660843e+01,3.114183469867939369e+00,-4.440451425429609023e-01,3.145681924895572745e+00,1.001355230981340938e+00,-1.392975480881458554e-02,-1.125008364630170066e-01,-3.746003497739652799e-01
1.499999999999999944e-02,9.899138162721211387e+00,1.009892369593755745e+01,9.819220385839608412e+01,3.108717603072574054e+00,-4.755616870729835743e-01,3.144882200316093002e+00,1.002033488342579215e+00,-2.276048030557790633e-02,-1.032908671383532817e-01,-5.311486652223970095e-01
1.600000000000000033e-02,9.882471713369362476e+00,1.007401771521607259e+01,9.785419663161397352e+01,3.101636257548275211e+00,-5.053598852570940769e-01,3.142536569041820105e+00,1.001955182441811587e+00,-2.442408193377105033e-02,-3.778132578254111973e-02,-4.960978415197862534e-01
1.700000000000000122e-02,9.883658333133848117e+00,1.002603741790406389e+01,9.782789103835941091e+01,3.097446637243459033e+00,-5.393736929775868605e-01,3.144057832045570322e+00,1.001445324586416996e+00,-3.449771785140665070e-02,-7.796438838790387127e-02,-7.253939835688085758e-01
1.800000000000000211e-02,9.874911701885189075e+00,1.005634344561696025e+01,9.769267400518852185e+01,3.092469523785668528e+00,-5.726087130958253946e-01,3.145035531413980401e+00,1.001833512143152305e+00,-5.136982161052107421e-02,-5.239463362956287007e-02,-1.015569717110020198e+00
1.899999999999999953e-02,9.863439137674060220e+00,1.005314708619195585e+01,9.747600330687977532e+01,3.081871871611744140e+00,-5.984868581388443909e-01,3.139445930796799011e+00,1.001938294403853513e+00,-3.370851878270861995e-02,-6.102899917577853106e-02,-6.922843272618486310e-01
2.000000000000000042e-02,9.843775240855604736e+00,9.978657142171059036e+00,9.703272726946929083e+01,3.073389483562364521e+00,-6.287581242552701122e-01,3.137046333175323998e+00,1.001370654272301319e+00,-4.544914001366663625e-02,-2.017220850978020952e-01,-1.051055183453558195e+00
2.100000000000000130e-02,9.834383347684216403e+00,9.959071982811835255e+00,9.683732964147608868e+01,3.065122869897034530e+00,-6.590513369138557564e-01,3.135175732276227034e+00,1.001263854532939979e+00,-4.954616897543501902e-02,-2.278830604266866011e-01,-1.152848929678384593e+00
2.199999999999999872e-02,9.823155184703351139e+00,9.950469764895984781e+00,9.661822964744104070e+01,3.056885918649949296e+00,-6.902988220251745632e-01,3.133857683962321783e+00,1.001283513791399571e+00,-5.884484272998760646e-02,-2.776812558655683549e-01,-1.374920457047842826e+00
2.299999999999999961e-02,9.787821980588697457e+00,9.858557765941924345e+00,9.586822455797572218e+01,3.045091678532218182e+00,-7.158905482312559743e-01,3.128111668037605764e+00,1.000696914586595820e+00,-6.301072188727216417e-02,-3.257692512405243601e-01,-1.496233986755259870e+00
2.400000000000000050e-02,9.785264076505175268e+00,9.866854191670810792e+00,9.582795412904214061e+01,3.037064067783021404e+00,-7.482309001185057928e-01,3.127875897747687706e+00,1.000799581913778713e+00,-7.091567574361899717e-02,-3.499911274466966926e-01,-1.666932680333326644e+00
2.500000000000000139e-02,9.785725683669454611e+00,9.869416019374867233e+00,9.583941717222923273e+01,3.027740569344229637e+00,-7.787100765767420718e-01,3.126276113623855046e+00,1.000824871176404729e+00,-6.855887618827130603e-02,-3.914996660818970131e-01,-1.664737501011787080e+00
2.600000000000000228e-02,9.759012029133309341e+00,9.833568877243848760e+00,9.530918834557384400e+01,3.014952406640725613e+00,-8.029643801414773074e-01,3.120046443578154083e+00,1.000744160165173202e+00,-6.069833033399712335e-02,-3.595914297960058903e-01,-1.483604571217578938e+00
2.699999999999999969e-02,9.755094914160277852e+00,9.853149913312051922e+00,9.525339461909848637e+01,3.007615072729135974e+00,-8.368942006492801067e-01,3.121880895996495653e+00,1.000961706913686022e+00,-8.085273235334269892e-02,-3.307915395987495177e-01,-1.827390963597517848e+00
2.800000000000000058e-02,9.740199912163506113e+00,9.725244281688290471e+00,9.485005973754979891e+01,2.997512347073140404e+00,-8.648629281202979691e-01,3.119786556047183357e+00,9.997740671050688865e-01,-8.049199267599869978e-02,-2.617686074084846215e-01,-1.749292814717742228e+00
2.900000000000000147e-02,9.745598650773986904e+00,9.731588230658402949e+00,9.495536691569391508e+01,2.989284851835029677e+00,-8.969414316602511983e-01,3.120949832541227487e+00,9.997754591617553643e-01,-8.553201832209970934e-02,-1.985506691978753402e-01,-1.780140095591437266e+00
2.999999999999999889e-02,9.733128220807236275e+00,9.736879229931062696e+00,9.473015940713327154e+01,2.977494720863621769e+00,-9.249071476196258912e-01,3.117840285275788048e+00,9.999617290120690338e-01,-8.588692953413311348e-02,-2.031808877349088327e-01,-1.789190953495082725e+00
3.099999999999999978e-02,9.727136526895916901e+00,9.702672727501919780e+00,9.458531970373647368e+01,2.966474566852540296e+00,-9.549180284374008121e-01,3.116382485642245737e+00,9.996632185883361776e-01,-8.603202742168918060e-02,-1.348468392425234974e-01,-1.722505364653682314e+00
3.200000000000000067e-02,9.730734370669823718e+00,9.625121969360108665e+00,9.457770446014735910e+01,2.953802683638864668e+00,-9.807747824314287932e-01,3.112373606706877016e+00,9.988436985955808645e-01,-6.224573140370776719e-02,-1.316547567651740192e-01,-1.280802381356548780e+00
3.300000000000000155e-02,9.728445354467165629e+00,9.703693929724025224e+00,9.461395631489838820e+01,2.942045802980044034e+00,-1.009466967450626695e+00,3.110411076563105670e+00,9.996968311828330345e-01,-6.277957639430248316e-02,-1.204406033397831255e-01,-1.279156383602617852e+00
3.400000000000000244e-02,9.712979938493930376e+00,9.674784170104402392e+00,9.429827325300023233e+01,2.929633762153192045e+00,-1.038482676736511179e+00,3.108247134677307955e+00,9.995367276273373625e-01,-7.423115380886197157e-02,-1.513911002317991361e-01,-1.519171361936404452e+00
3.500000000000000333e-02,9.684977046617017749e+00,9.640555779288931149e+00,9.374888621669006739e+01,2.914837696995755678e+00,-1.061911846582182850e+00,3.102246858284991582e+00,9.994680722222708535e-01,-7.397911516320246350e-02,-1.802360334044748047e-01,-1.539228982810577850e+00
3.600000000000000422e-02,9.658294062470538677e+00,9.551648515257781469e+00,9.316956453609084576e+01,2.901101387397332143e+00,-1.087871278634631844e+00,3.098362983712023677e+00,9.987877738454346010e-01,-8.021292819773971627e-02,-1.718615470935089817e-01,-1.641088715186979519e+00
3.699999999999999817e-02,9.661488444243632401e+00,9.510089799207747774e+00,9.318608415808452605e+01,2.889085001560359967e+00,-1.119001458866752063e+00,3.098221491628212032e+00,9.983043988738570240e-01,-8.292258517940676033e-02,-1.892026852538555293e-01,-1.708591297029742107e+00
