time,mean_particle_number,variance,factorial_second_moment,g1_real,g1_imag,g1_magnitude,g2,mean_particle_number_imag,variance_imag,factorial_second_moment_imag
0.000000000000000000e+00,1.002781573211351152e+01,-6.084205904058990200e-01,8.992084944037068794e+01,1.124137865259214053e-01,-7.216249959415045601e-02,1.335825053993643097e-01,8.942268606757195482e-01,-1.610693374622577815e-03,-6.789457749129976238e-02,-9.858735683997975341e-02
1.000000000000000021e-03,1.003444882071643995e+01,-2.862220082318032155e-01,9.036948807737775269e+01,1.128254985751872552e-01,-6.937826848426698056e-02,1.324497537431255922e-01,8.975006620626566622e-01,-2.056514419352186828e-03,-1.880894466484816507e-01,-2.273049096092392973e-01
2.000000000000000042e-03,1.003765367897464955e+01,-1.679687106273064501e-01,9.054876810408747190e+01,1.121667200046859436e-01,-6.988987626121932750e-02,1.321588736347966975e-01,8.987070140967470255e-01,1.004416964629482878e-02,-2.603744026624266739e-01,-6.877877950396793505e-02
3.000000000000000062e-03,1.002117921656987498e+01,-2.704062866622223282e-01,9.013244134297373478e+01,1.126263260817050860e-01,-6.961334293100998605e-02,1.324035756340929126e-01,8.975186392001552882e-01,-2.458537406278857567e-03,-4.269119891341073281e-01,-4.737283396457510065e-01
4.000000000000000083e-03,1.002352203362977967e+01,-4.387166583357071659e-01,9.000860457858114216e+01,1.117303721544233991e-01,-7.188189251333076957e-02,1.328558712781034157e-01,8.958665683711137806e-01,-1.227550874909391632e-02,-6.161375698276201351e-01,-8.499497259196422405e-01
5.000000000000000104e-03,1.003332799855072643e+01,-3.976084041428151750e-01,9.023670777602163184e+01,1.091456031455386444e-01,-7.314265064669317473e-02,1.313872521579914354e-01,8.963821962383577979e-01,5.152454439065224170e-03,-4.350104252055109200e-01,-3.367703488751159213e-01
6.000000000000000125e-03,1.001808261434664082e+01,-4.276348786875701080e-01,8.991622414465379620e+01,1.038027310177738888e-01,-7.198509487580823096e-02,1.263204688521517016e-01,8.959191996867653662e-01,6.134344823890202497e-03,-5.086209109496763192e-01,-3.918465093123230658e-01
7.000000000000000146e-03,1.002362167992220421e+01,-4.545123786297011748e-01,8.999454467717008299e+01,1.050645887212308810e-01,-7.296134428130150729e-02,1.279137426647191933e-01,8.957088194545999027e-01,1.768746687483564381e-02,-3.504574662434470911e-01,-1.355998025926589967e-02
8.000000000000000167e-03,9.998011048235278864e+00,-4.057973650305228830e-01,8.955609848040666066e+01,1.064884054618936426e-01,-7.062936550709153494e-02,1.277821887813438417e-01,8.959173366357610080e-01,1.783331046759607103e-02,-5.134212359122963809e-01,-1.746592762166217228e-01
9.000000000000001055e-03,9.986179133584174750e+00,-5.788570791084310940e-01,8.915794305621446370e+01,1.067323560570305058e-01,-6.784992681812877791e-02,1.264729552066771734e-01,8.940490292227525337e-01,2.818544171932828996e-02,-1.801896346539291760e-01,3.545546635635605792e-01
1.000000000000000021e-02,9.991782013134608675e+00,-3.615854346732874092e-01,8.948064289468071308e+01,1.086704987753948637e-01,-7.111775696102469457e-02,1.298730636400807770e-01,8.962789453622024283e-01,4.120018824813986152e-02,5.298614325363393274e-02,8.351125547565415586e-01
1.099999999999999936e-02,9.966842172193242533e+00,-4.939565934406573433e-01,8.887584617076123550e+01,1.118592705706644153e-01,-7.143866782126209736e-02,1.327252036075957098e-01,8.946817659923064214e-01,3.602705947728348373e-02,7.564458894778169906e-02,7.577695609471047922e-01
