time,mean_particle_number,variance,factorial_second_moment,g1_real,g1_imag,g1_magnitude,g2
0.000000000000000000e+00,9.995803935522964423e+01,9.780674989855833701e+01,9.989458342284966420e+03,9.863888749494343244e+00,0.000000000000000000e+00,9.863888749494343244e+00,9.997846904016508551e-01
1.000000000000000021e-03,9.985813127827852043e+01,9.771114010877499823e+01,9.969499391220402686e+03,9.809650197272999250e+00,-9.802502881075043639e-01,9.858505344127628689e+00,9.997846904024498826e-01
2.000000000000000042e-03,9.975832305942701339e+01,9.761562158113883925e+01,9.949580318150719904e+03,9.657603106347014688e+00,-1.948580751655714094e+00,9.852221308184599735e+00,9.997846904024497716e-01
3.000000000000000062e-03,9.965861459890686547e+01,9.752019424102945777e+01,9.929701043415574532e+03,9.409704909232857517e+00,-2.895214437022782583e+00,9.845040026083493601e+00,9.997846904024497716e-01
4.000000000000000083e-03,9.955900579700964670e+01,9.742485800585382094e+01,9.909861487497844792e+03,9.068889606147424232e+00,-3.810659320392635774e+00,9.836965138933045694e+00,9.997846904024495496e-01
5.000000000000000104e-03,9.945949655412650259e+01,9.732961279310438840e+01,9.890061571039279443e+03,8.639028941088277236e+00,-4.685805463339807631e+00,9.828000502911363512e+00,9.997846904024497716e-01
6.000000000000000125e-03,9.936008677074819673e+01,9.723445852032818948e+01,9.870301214840190369e+03,8.124884025337149041e+00,-5.512017114480645574e+00,9.818150187051854161e+00,9.997846904024507708e-01
7.000000000000000146e-03,9.926077634746499712e+01,9.713939510511409026e+01,9.850580339859116066e+03,7.532048007587583527e+00,-6.281218820885675846e+00,9.807418470956184464e+00,9.997846904024499937e-01
8.000000000000000167e-03,9.916156518496634931e+01,9.704442246516555315e+01,9.830898867212530604e+03,6.866880518793824884e+00,-6.985974692895390525e+00,9.795809842435946990e+00,9.997846904024501047e-01
9.000000000000001055e-03,9.906245318404118905e+01,9.694954051821332541e+01,9.811256718174525304e+03,6.136434699735658249e+00,-7.619560053043893610e+00,9.783328995084552560e+00,9.997846904024498826e-01
1.000000000000000021e-02,9.896344024557741648e+01,9.685474918208274175e+01,9.791653814176477681e+03,5.348377688938171559e+00,-8.176024794029904896e+00,9.769980825780741895e+00,9.997846904024508818e-01
1.099999999999999936e-02,9.886452627056227982e+01,9.676004837460459385e+01,9.772090076806740399e+03,4.510905507371818501e+00,-8.650247870893490898e+00,9.755770432125531855e+00,9.997846904024489945e-01
1.200000000000000025e-02,9.876571116008146589e+01,9.666543801378065837e+01,9.752565427810339315e+03,3.632653323817901736e+00,-9.037982457522986124e+00,9.740703109813916072e+00,9.997846904024506598e-01
1.300000000000000114e-02,9.866699481532015170e+01,9.657091801755996130e+01,9.733079789088653342e+03,2.722602120587600538e+00,-9.335891406066863851e+00,9.724784349943252693e+00,9.997846904024503267e-01
1.400000000000000029e-02,9.856837713756189601e+01,9.647648830403340980e+01,9.713633082699105216e+03,1.789982803237908371e+00,-9.541572758477682825e+00,9.708019836259651925e+00,9.997846904024497716e-01
1.499999999999999944e-02,9.846985802818892353e+01,9.638214879133556678e+01,9.694225230854828624e+03,8.441788099837033155e-01,-9.653575170992318988e+00,9.690415442344299635e+00,9.997846904024496606e-01
1.600000000000000033e-02,9.837143738868223863e+01,9.628789939766102179e+01,9.674856155924409904e+03,-1.053717232552241201e-01,-9.671403223587942577e+00,9.671977228741237553e+00,9.997846904024492165e-01
1.700000000000000122e-02,9.827311512062102850e+01,9.619374004129895184e+01,9.655525780431511521e+03,-1.049273197592760942e+00,-9.595512696113102535e+00,9.652711440028355128e+00,9.997846904024508818e-01
1.800000000000000211e-02,9.817489112568323151e+01,9.609967064053853392e+01,9.636234027054610124e+03,-1.978268163737346264e+00,-9.427295999684275785e+00,9.632624501833332076e+00,9.997846904024505488e-01
1.899999999999999953e-02,9.807676530564472728e+01,9.600569111379081733e+01,9.616980818626663677e+03,-2.883330323820477492e+00,-9.169058054924192902e+00,9.611723017796180102e+00,9.997846904024502157e-01
2.000000000000000042e-02,9.797873756237970611e+01,9.591180137951778306e+01,9.597766078134813142e+03,-3.755753977564078916e+00,-8.823983006629909198e+00,9.590013766480307567e+00,9.997846904024497716e-01
2.100000000000000130e-02,9.788080779786042740e+01,9.581800135624325776e+01,9.578589728720076891e+03,-4.587239021022432084e+00,-8.396092256503839835e+00,9.567503698233650766e+00,9.997846904024494386e-01
2.199999999999999872e-02,9.778297591415703494e+01,9.572429096256564662e+01,9.559451693677023286e+03,-5.369970668065391806e+00,-7.890194380757666437e+00,9.544199932001767195e+00,9.997846904024501047e-01
2.299999999999999961e-02,9.768524181343771318e+01,9.563067011712519161e+01,9.540351896453486916e+03,-6.096693134612916509e+00,-7.311827576898529024e+00,9.520109752094777278e+00,9.997846904024502157e-01
2.400000000000000050e-02,9.758760539796837463e+01,9.553713873864398920e+01,9.521290260650261189e+03,-6.760776602462000184e+00,-6.667195353124764523e+00,9.495240604909707116e+00,9.997846904024504378e-01
2.500000000000000139e-02,9.749006657011265986e+01,9.544369674589142960e+01,9.502266710020776372e+03,-7.356276862382808091e+00,-5.963096233900039955e+00,9.469600095610241297e+00,9.997846904024487724e-01
2.600000000000000228e-02,9.739262523233144009e+01,9.535034405776423228e+01,9.483281168470795819e+03,-7.877987123971465167e+00,-5.206848305955700695e+00,9.443195984765642592e+00,9.997846904024508818e-01
2.699999999999999969e-02,9.729528128718372670e+01,9.525708059311546094e+01,9.464333560058134026e+03,-8.321481571470346950e+00,-4.406209469825504321e+00,9.416036184950680621e+00,9.997846904024496606e-01
2.800000000000000058e-02,9.719803463732532123e+01,9.516390627096916432e+01,9.445423808992336490e+03,-8.683150339319389843e+00,-3.569294292794634060e+00,9.388128757308283667e+00,9.997846904024506598e-01
2.900000000000000147e-02,9.710088518550965375e+01,9.507082101034211519e+01,9.426551839634361386e+03,-8.960225677493459884e+00,-2.704488379713841262e+00,9.359481908076981327e+00,9.997846904024509929e-01
2.999999999999999889e-02,9.700383283458737083e+01,9.497782473033657880e+01,9.407717576496319452e+03,-9.150799173623806126e+00,-1.820361188473098357e+00,9.330103985084695850e+00,9.997846904024498826e-01
3.099999999999999978e-02,9.690687748750589492e+01,9.488491735015486483e+01,9.388920944241124744e+03,-9.253829995427942379e+00,-9.255782171452626717e-01,9.300003474210948085e+00,9.997846904024505488e-01
3.200000000000000067e-02,9.681001904731002128e+01,9.479209878900655895e+01,9.370161867682225420e+03,-9.269144212039270414e+00,-2.881348010566553777e-02,9.269188995819263255e+00,9.997846904024504378e-01
3.300000000000000155e-02,9.671325741714120738e+01,9.469936896620674815e+01,9.351440271783285425e+03,-9.197425345434274035e+00,8.613368288796821037e-01,9.237669301161483659e+00,9.997846904024508818e-01
3.400000000000000244e-02,9.661659250023802770e+01,9.460672780110144231e+01,9.332756081657913455e+03,-9.040196392349148624e+00,1.736438617115266370e+00,9.205453268756066620e+00,9.997846904024495496e-01
3.500000000000000333e-02,9.652002419993519311e+01,9.451417521315852355e+01,9.314109222569299163e+03,-8.799793641964965829e+00,2.588301284710568861e+00,9.172549900741964635e+00,9.997846904024509929e-01
3.600000000000000422e-02,9.642355241966475887e+01,9.442171112183132209e+01,9.295499619930003973e+03,-8.479332694396848780e+00,3.409055440625751388e+00,9.138968319210180269e+00,9.997846904024504378e-01
3.699999999999999817e-02,9.632717706295478877e+01,9.432933544669504045e+01,9.276927199301584551e+03,-8.082667158895951331e+00,4.191226208826350330e+00,9.104717762514553669e+00,9.997846904024496606e-01
3.799999999999999906e-02,9.623089803342978144e+01,9.423704810738672677e+01,9.258391886394318135e+03,-7.614340577996396853e+00,4.927801449822299951e+00,9.069807581563859245e+00,9.997846904024502157e-01
3.899999999999999994e-02,9.613471523481088354e+01,9.414484902358344698e+01,9.239893607066951517e+03,-7.079532184029130981e+00,5.612294288276407528e+00,9.034247236096888400e+00,9.997846904024507708e-01
4.000000000000000083e-02,9.603862857091522187e+01,9.405273811503502657e+01,9.221432287326333608e+03,-6.483997146991915983e+00,6.238799407878302894e+00,8.998046290942381731e+00,9.997846904024514370e-01
4.100000000000000172e-02,9.594263794565621595e+01,9.396071530153676576e+01,9.203007853327151679e+03,-5.834002017312813315e+00,6.802042649424305587e+00,8.961214412265627871e+00,9.997846904024496606e-01
4.200000000000000261e-02,9.584674326304303804e+01,9.386878050302038901e+01,9.184620231371663976e+03,-5.136256103274502216e+00,7.297423526128088866e+00,8.923761363803510704e+00,9.997846904024511039e-01
4.300000000000000350e-02,9.575094442718115317e+01,9.377693363938669791e+01,9.166269347909337739e+03,-4.397839550576378542e+00,7.721050350703952070e+00,8.885697003089823909e+00,9.997846904024506598e-01
4.399999999999999745e-02,9.565524134227172226e+01,9.368517463065654738e+01,9.147955129536632739e+03,-3.626128910596190913e+00,8.069767750800258099e+00,8.847031277672606109e+00,9.997846904024501047e-01
4.499999999999999833e-02,9.555963391261151685e+01,9.359350339691627596e+01,9.129677502996637486e+03,-2.828720994363715491e+00,8.341176432008113650e+00,8.807774221325251673e+00,9.997846904024506598e-01
4.599999999999999922e-02,9.546412204259327439e+01,9.350191985828496399e+01,9.111436395178834573e+03,-2.013355811160730813e+00,8.533645130037253779e+00,8.767935950253242794e+00,9.997846904024503267e-01
4.700000000000000011e-02,9.536870563670500189e+01,9.341042393497809826e+01,9.093231733118760530e+03,-1.187839384188046798e+00,8.646314774869777509e+00,8.727526659298135314e+00,9.997846904024505488e-01
4.800000000000000100e-02,9.527338459953031702e+01,9.331901554724390735e+01,9.075063443997734794e+03,-3.599672211538338940e-01,8.679094968938654731e+00,8.686556618140555130e+00,9.997846904024495496e-01
4.900000000000000189e-02,9.517815883574817803e+01,9.322769461542702629e+01,9.056931455142588675e+03,4.625508047221207342e-01,8.632652957840020846e+00,8.645036167504050795e+00,9.997846904024488834e-01
5.000000000000000278e-02,9.508302825013275594e+01,9.313646105993029778e+01,9.038835694025341581e+03,1.272163437508522454e+00,8.508395345031980028e+00,8.602975715361246500e+00,9.997846904024497716e-01
5.100000000000000366e-02,9.498799274755351973e+01,9.304531480119476328e+01,9.020776088262920894e+03,2.061548195973147646e+00,8.308442870712841710e+00,8.560385733144224574e+00,9.997846904024499937e-01
5.200000000000000455e-02,9.489305223297492375e+01,9.295425575974149979e+01,9.002752565616872744e+03,2.823678059319802092e+00,8.035598638981797492e+00,8.517276751960697112e+00,9.997846904024499937e-01
5.299999999999999850e-02,9.479820661145652139e+01,9.286328385616616288e+01,8.984765053993109177e+03,3.551884083601134279e+00,7.693310235908688455e+00,8.473659358817563714e+00,9.997846904024506598e-01
