time,mean_particle_number,variance,factorial_second_moment,g1_real,g1_imag,g1_magnitude,g2
0.000000000000000000e+00,1.000000000000000000e+02,1.000000000000000000e+02,1.000000000000000000e+04,1.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+01,1.000000000000000000e+00
1.000000000000000021e-03,9.990004998333749597e+01,9.990004998333749597e+01,9.980019986673329186e+03,9.944670827139542979e+00,-9.967911529041382224e-01,9.994502011739667680e+00,1.000000000000000000e+00
2.000000000000000042e-03,9.980019986673330834e+01,9.980019986673330834e+01,9.960079893439915395e+03,9.789708358799282806e+00,-1.980398384460762662e+00,9.988011188996502199e+00,1.000000000000000000e+00
3.000000000000000062e-03,9.970044955033729650e+01,9.970044955033729650e+01,9.940179640539352476e+03,9.537414832491833749e+00,-2.940875114435550941e+00,9.980532457025605098e+00,1.000000000000000000e+00
4.000000000000000083e-03,9.960079893439915111e+01,9.960079893439915111e+01,9.920319148370606854e+03,9.191078926202003174e+00,-3.868626192548244358e+00,9.972071020873492841e+00,1.000000000000000000e+00
5.000000000000000104e-03,9.950124791926823775e+01,9.950124791926823775e+01,9.900498337491681013e+03,8.754926137107014839e+00,-4.754504380204152447e+00,9.962632361358116029e+00,1.000000000000000000e+00
6.000000000000000125e-03,9.940179640539352590e+01,9.940179640539352590e+01,9.880717128619306095e+03,8.234059948455190181e+00,-5.589900186871131993e+00,9.952222230935953817e+00,1.000000000000000000e+00
7.000000000000000146e-03,9.930244429332350364e+01,9.930244429332350364e+01,9.860975442628618111e+03,7.634394639376824721e+00,-6.366824216070002151e+00,9.940846649460045370e+00,1.000000000000000000e+00
8.000000000000000167e-03,9.920319148370606399e+01,9.920319148370606399e+01,9.841273200552850540e+03,6.962580664793072138e+00,-7.077981282214615533e+00,9.928511899833267762e+00,1.000000000000000000e+00
9.000000000000001055e-03,9.910403787728836278e+01,9.910403787728836278e+01,9.821610323583006902e+03,6.225923592179105626e+00,-7.716835671242266770e+00,9.915224523560192793e+00,1.000000000000000000e+00
1.000000000000000021e-02,9.900498337491680445e+01,9.900498337491680445e+01,9.801986733067553359e+03,5.432297628439713755e+00,-8.277667033624199533e+00,9.900991316201654513e+00,1.000000000000000000e+00
1.099999999999999936e-02,9.890602787753687153e+01,9.890602787753687153e+01,9.782402350512100384e+03,4.590054803445113407e+00,-8.755616516449878262e+00,9.885819322734937131e+00,1.000000000000000000e+00
1.200000000000000025e-02,9.880717128619305356e+01,9.880717128619305356e+01,9.762857097579093534e+03,3.707930896897663420e+00,-9.146722860377337838e+00,9.869715832825061597e+00,1.000000000000000000e+00
1.300000000000000114e-02,9.870841350202876185e+01,9.870841350202876185e+01,9.743350896087493311e+03,2.794949202348782080e+00,-9.447948305905093491e+00,9.852688376010124927e+00,1.000000000000000000e+00
1.400000000000000029e-02,9.860975442628618737e+01,9.860975442628618737e+01,9.723883668012467751e+03,1.860323216711784244e+00,-9.657194270287192239e+00,9.834744716804024733e+00,1.000000000000000000e+00
1.499999999999999944e-02,9.851119396030625808e+01,9.851119396030625808e+01,9.704455335485079559e+03,9.133593260016251714e-01,-9.773306870185855644e+00,9.815892849721628011e+00,1.000000000000000000e+00
1.600000000000000033e-02,9.841273200552851108e+01,9.841273200552851108e+01,9.685065820791975057e+03,-3.663947111447858618e-02,-9.796072474619409221e+00,9.796140994230308152e+00,1.000000000000000000e+00
1.700000000000000122e-02,9.831436846349096470e+01,9.831436846349096470e+01,9.665715046375065867e+03,-9.804678003242964790e-01,-9.726203576802179285e+00,9.775497589630528950e+00,1.000000000000000000e+00
1.800000000000000211e-02,9.821610323583007585e+01,9.821610323583007585e+01,9.646402934831230596e+03,-1.909109157538327217e+00,-9.565315371080274076e+00,9.753971289870667860e+00,1.000000000000000000e+00
1.899999999999999953e-02,9.811793622428059791e+01,9.811793622428059791e+01,9.627129408911994688e+03,-2.813823270925400966e+00,-9.315893511436648566e+00,9.731570958300041596e+00,1.000000000000000000e+00
2.000000000000000042e-02,9.801986733067552393e+01,9.801986733067552393e+01,9.607894391523230297e+03,-3.686228753513067780e+00,-8.981253610195008008e+00,9.708305662362890942e+00,1.000000000000000000e+00
2.100000000000000130e-02,9.792189645694595868e+01,9.792189645694595868e+01,9.588697805724845239e+03,-4.518380294884015491e+00,-8.565493108943392997e+00,9.684184668238875915e+00,1.000000000000000000e+00
2.199999999999999872e-02,9.782402350512100497e+01,9.782402350512100497e+01,9.569539574730466484e+03,-5.302839720592500861e+00,-8.073436217786790436e+00,9.659217435432596588e+00,1.000000000000000000e+00
2.299999999999999961e-02,9.772624837732770686e+01,9.772624837732770686e+01,9.550419621907145483e+03,-6.032740332865481392e+00,-7.510572673433731694e+00,9.633413611317196867e+00,1.000000000000000000e+00
2.400000000000000050e-02,9.762857097579093590e+01,9.762857097579093590e+01,9.531337870775048941e+03,-6.701844034812203255e+00,-6.882991111042029431e+00,9.606783025635142081e+00,1.000000000000000000e+00
2.500000000000000139e-02,9.753099120283326329e+01,9.753099120283326329e+01,9.512294245007138670e+03,-7.304590831620696889e+00,-6.197307879052736723e+00,9.579335684960950559e+00,1.000000000000000000e+00
2.600000000000000228e-02,9.743350896087493140e+01,9.743350896087493140e+01,9.493288668428895107e+03,-7.836140394951454091e+00,-5.460592150396802680e+00,9.551081767128009048e+00,1.000000000000000000e+00
2.699999999999999969e-02,9.733612415243368332e+01,9.733612415243368332e+01,9.474321065017984438e+03,-8.292405469868951329e+00,-4.680288197565433350e+00,9.522031615626088907e+00,1.000000000000000000e+00
2.800000000000000058e-02,9.723883668012469172e+01,9.723883668012469172e+01,9.455391358903963919e+03,-8.670076996118732282e+00,-3.864135703283115841e+00,9.492195733970856253e+00,1.000000000000000000e+00
2.900000000000000147e-02,9.714164644666047366e+01,9.714164644666047366e+01,9.436499474367983566e+03,-8.966640906372614239e+00,-3.020088973232514906e+00,9.461584780050079857e+00,1.000000000000000000e+00
2.999999999999999889e-02,9.704455335485081946e+01,9.704455335485081946e+01,9.417645335842487839e+03,-9.180386652276585124e+00,-2.156235902845587304e+00,9.430209560450839135e+00,1.000000000000000000e+00
3.099999999999999978e-02,9.694755730760259382e+01,9.694755730760259382e+01,9.398828867910888221e+03,-9.310407593868282206e+00,-1.280717527090456276e+00,9.398081024770794656e+00,1.000000000000000000e+00
3.200000000000000067e-02,9.685065820791976421e+01,9.685065820791976421e+01,9.380049995307295831e+03,-9.356593468384097889e+00,-4.016489510178051225e-01,9.365210259917374103e+00,1.000000000000000000e+00
3.300000000000000155e-02,9.675385595890320189e+01,9.675385595890320189e+01,9.361308642916188546e+03,-9.319615229923414290e+00,4.729575797795744774e-01,9.331608484398143943e+00,1.000000000000000000e+00
3.400000000000000244e-02,9.665715046375066777e+01,9.665715046375066777e+01,9.342604735772136337e+03,-9.200902621244649637e+00,1.335266754999969718e+00,9.297287042607365493e+00,1.000000000000000000e+00
3.500000000000000333e-02,9.656054162575664179e+01,9.656054162575664179e+01,9.323938199059481121e+03,-9.002614902576951295e+00,2.177690759329555803e+00,9.262257399110108480e+00,1.000000000000000000e+00
3.600000000000000422e-02,9.646402934831230880e+01,9.646402934831230880e+01,9.305308958112058463e+03,-8.727605219297409178e+00,2.992955710165021710e+00,9.226531132929469692e+00,1.000000000000000000e+00
3.699999999999999817e-02,9.636761353490534532e+01,9.636761353490534532e+01,9.286716938412871968e+03,-8.379379140264246573e+00,3.774163428534675457e+00,9.190119931838985678e+00,1.000000000000000000e+00
3.799999999999999906e-02,9.627129408911994801e+01,9.627129408911994801e+01,9.268162065593822263e+03,-7.962047941251650940e+00,4.514848062998772171e+00,9.153035586664863388e+00,1.000000000000000000e+00
3.899999999999999994e-02,9.617507091463667734e+01,9.617507091463667734e+01,9.249644265435394118e+03,-7.480277243107801510e+00,5.209027153683858380e+00,9.115289985599591915e+00,1.000000000000000000e+00
4.000000000000000083e-02,9.607894391523231548e+01,9.607894391523231548e+01,9.231163463866356324e+03,-6.939231641873536027e+00,5.851246792925092421e+00,9.076895108532161416e+00,1.000000000000000000e+00
4.100000000000000172e-02,9.598291299477989469e+01,9.598291299477989469e+01,9.212719586963487018e+03,-6.344515988136087081e+00,6.436620609437066598e+00,9.037863021397503971e+00,1.000000000000000000e+00
4.200000000000000261e-02,9.588697805724845580e+01,9.588697805724845580e+01,9.194312560951246269e+03,-5.702113985436543686e+00,6.960862373717426443e+00,8.998205870546973628e+00,1.000000000000000000e+00
4.300000000000000350e-02,9.579113900670306236e+01,9.579113900670306236e+01,9.175942312201508685e+03,-5.018324782756548252e+00,7.420312092750664945e+00,8.957935877145489556e+00,1.000000000000000000e+00
4.399999999999999745e-02,9.569539574730467280e+01,9.569539574730467280e+01,9.157608767233257822e+03,-4.299698234199131441e+00,7.811955531285422971e+00,8.917065331596267796e+00,1.000000000000000000e+00
4.499999999999999833e-02,9.559974818330999824e+01,9.559974818330999824e+01,9.139311852712282416e+03,-3.552969490258026219e+00,8.133437164335070690e+00,8.875606587996747621e+00,1.000000000000000000e+00
4.599999999999999922e-02,9.550419621907147416e+01,9.550419621907147416e+01,9.121051495450905350e+03,-2.784993569889301579e+00,8.383066630456671220e+00,8.833572058629561852e+00,1.000000000000000000e+00
4.700000000000000011e-02,9.540873975903710402e+01,9.540873975903710402e+01,9.102827622407667150e+03,-2.002680541370351008e+00,8.559818817215457898e+00,8.790974208490165864e+00,1.000000000000000000e+00
4.800000000000000100e-02,9.531337870775047350e+01,9.531337870775047350e+01,9.084640160687060416e+03,-1.212931913117788030e+00,8.663327768520753480e+00,8.747825549854223226e+00,1.000000000000000000e+00
4.900000000000000189e-02,9.521811296985049466e+01,9.521811296985049466e+01,9.066489037539211495e+03,-4.225788037326913549e-01,8.693874657757971747e+00,8.704138636888227865e+00,1.000000000000000000e+00
5.000000000000000278e-02,9.512294245007140603e+01,9.512294245007140603e+01,9.048374180359596721e+03,3.616775759183138983e-01,8.652370120436543743e+00,8.659926060304744766e+00,1.000000000000000000e+00
5.100000000000000366e-02,9.502786705324270145e+01,9.502786705324270145e+01,9.030295516688769567e+03,1.133322636234352920e+00,8.540331285095165370e+00,8.615200442066129227e+00,1.000000000000000000e+00
5.200000000000000455e-02,9.493288668428895960e+01,9.493288668428895960e+01,9.012252974212047775e+03,1.886081869552339363e+00,8.359853881173627599e+00,8.569974430138506349e+00,1.000000000000000000e+00
5.299999999999999850e-02,9.483800124822981559e+01,9.483800124822981559e+01,8.994246480759240512e+03,2.613970656202312171e+00,8.113579837273814377e+00,8.524260693297859959e+00,1.000000000000000000e+00
5.399999999999999939e-02,9.474321065017983301e+01,9.474321065017983301e+01,8.976275964304350055e+03,3.311340063146751778e+00,7.804660812549396809e+00,8.478071915992748231e+00,1.000000000000000000e+00
5.500000000000000028e-02,9.464851479534837608e+01,9.464851479534837608e+01,8.958341352965280748e+03,3.972918333014261449e+00,7.436718127794371469e+00,8.431420793262914160e+00,1.000000000000000000e+00
5.600000000000000117e-02,9.455391358903962384e+01,9.455391358903962384e+01,8.940442575003571619e+03,4.593847813022629012e+00,7.013799581143598694e+00,8.384320025718418279e+00,1.000000000000000000e+00
5.700000000000000205e-02,9.445940693665232857e+01,9.445940693665232857e+01,8.922579558824081687e+03,5.169717125473844099e+00,6.540333646174818050e+00,8.336782314580604591e+00,1.000000000000000000e+00
5.800000000000000294e-02,9.436499474367985840e+01,9.436499474367985840e+01,8.904752232974728031e+03,5.696588433650965122e+00,6.021081557716601473e+00,8.288820356786660071e+00,1.000000000000000000e+00
5.900000000000000383e-02,9.427067691570996999e+01,9.427067691570996999e+01,8.886960526146172924e+03,6.171019708528530323e+00,5.461087792963430942e+00,8.240446840159927788e+00,1.000000000000000000e+00
5.999999999999999778e-02,9.417645335842486531e+01,9.417645335842486531e+01,8.869204367171574631e+03,6.590081952233390439e+00,4.865629452768188479e+00,8.191674438647908119e+00,1.000000000000000000e+00
6.099999999999999867e-02,9.408232397760096433e+01,9.408232397760096433e+01,8.851483685026269086e+03,6.951371383198347687e+00,4.240165040462611223e+00,8.142515807630354985e+00,1.000000000000000000e+00
6.199999999999999956e-02,9.398828867910889073e+01,9.398828867910889073e+01,8.833798408827507956e+03,7.253016635011865887e+00,3.590283123519269814e+00,8.092983579297941432e+00,1.000000000000000000e+00
6.300000000000000044e-02,9.389434736891331568e+01,9.389434736891331568e+01,8.816148467834158510e+03,7.493681065701703226e+00,2.921651347127718790e+00,8.043090358104240778e+00,1.000000000000000000e+00
6.400000000000000133e-02,9.380049995307294353e+01,9.380049995307294353e+01,8.798533791446438045e+03,7.672560316248455692e+00,2.239966248644541302e+00,7.992848716292416000e+00,1.000000000000000000e+00
6.500000000000000222e-02,9.370674633774034135e+01,9.370674633774034135e+01,8.780954309205613754e+03,7.789375296207284194e+00,1.550904298257680836e+00,7.942271189497276396e+00,1.000000000000000000e+00
6.600000000000000311e-02,9.361308642916188205e+01,9.361308642916188205e+01,8.763409950793731696e+03,7.844360810167703590e+00,8.600745644594661732e-01,7.891370272425762167e+00,1.000000000000000000e+00
6.700000000000000400e-02,9.351952013367765915e+01,9.351952013367765915e+01,8.745900646033340308e+03,7.838250071179707845e+00,1.729733734435771886e-01,7.840158414615686411e+00,1.000000000000000000e+00
6.800000000000000488e-02,9.342604735772135882e+01,9.342604735772135882e+01,8.728426324887193914e+03,7.772255376060647869e+00,-5.050587002636689471e-01,7.788648016274433594e+00,1.000000000000000000e+00
6.900000000000000577e-02,9.333266800782020312e+01,9.333266800782020312e+01,8.710986917457985328e+03,7.648045242539772914e+00,-1.168877208351510655e+00,7.736851424199566729e+00,1.000000000000000000e+00
7.000000000000000666e-02,9.323938199059482201e+01,9.323938199059482201e+01,8.693582353988058458e+03,7.467718329413499667e+00,-1.813571300097767347e+00,7.684780927781655002e+00,1.000000000000000000e+00
7.100000000000000755e-02,9.314618921275921082e+01,9.314618921275921082e+01,8.676212564859140912e+03,7.233774478238295558e+00,-2.434498058546385124e+00,7.632448755090193160e+00,1.000000000000000000e+00
7.200000000000000844e-02,9.305308958112057383e+01,9.305308958112057383e+01,8.658877480592051143e+03,6.949083228578318838e+00,-3.027313506507382623e+00,7.579867069044846417e+00,1.000000000000000000e+00
7.299999999999999545e-02,9.296008300257926749e+01,9.296008300257926749e+01,8.641577031846427417e+03,6.616850168484881500e+00,-3.588000124753040865e+00,7.527047963671164688e+00,1.000000000000000000e+00
7.399999999999999634e-02,9.286716938412872935e+01,9.286716938412872935e+01,8.624311149420456786e+03,6.240581487799439664e+00,-4.112890762086237828e+00,7.474003460443364055e+00,1.000000000000000000e+00
7.499999999999999722e-02,9.277434863285527911e+01,9.277434863285527911e+01,8.607079764250576773e+03,5.824047104136382380e+00,-4.598688853849955294e+00,7.420745504713336160e+00,1.000000000000000000e+00
7.599999999999999811e-02,9.268162065593821808e+01,9.268162065593821808e+01,8.589882807411233443e+03,5.371242730167042900e+00,-5.042484901600500002e+00,7.367285962227970941e+00,1.000000000000000000e+00
7.699999999999999900e-02,9.258898536064953078e+01,9.258898536064953078e+01,8.572720210114574002e+03,4.886351246248173297e+00,-5.441769201766850195e+00,7.313636615734289137e+00,1.000000000000000000e+00
7.799999999999999989e-02,9.249644265435392754e+01,9.249644265435392754e+01,8.555591903710184852e+03,4.373703734715933322e+00,-5.794440844883607333e+00,7.259809161673849154e+00,1.000000000000000000e+00
7.900000000000000078e-02,9.240399244450867400e+01,9.240399244450867400e+01,8.538497819684816932e+03,3.837740521506426639e+00,-6.098813039151508519e+00,7.205815206965612063e+00,1.000000000000000000e+00
8.000000000000000167e-02,9.231163463866357688e+01,9.231163463866357688e+01,8.521437889662112866e+03,3.282972557403251557e+00,-6.353614842423015219e+00,7.151666265879644158e+00,1.000000000000000000e+00
8.100000000000000255e-02,9.221936914446079925e+01,9.221936914446079925e+01,8.504412045402328658e+03,2.713943455389939974e+00,-6.557989415018632862e+00,7.097373756999861172e+00,1.000000000000000000e+00
8.200000000000000344e-02,9.212719586963487473e+01,9.212719586963487473e+01,8.487420218802069940e+03,2.135192482567271899e+00,-6.711488931891621768e+00,7.042949000277904936e+00,1.000000000000000000e+00
8.300000000000000433e-02,9.203511472201246590e+01,9.203511472201246590e+01,8.470462341893995472e+03,1.551218785141279533e+00,-6.814066316417696001e+00,6.988403214176569733e+00,1.000000000000000000e+00
8.400000000000000522e-02,9.194312560951246383e+01,9.194312560951246383e+01,8.453538346846586137e+03,9.664471033757502383e-01,-6.866063979390842675e+00,6.933747512904677279e+00,1.000000000000000000e+00
8.500000000000000611e-02,9.185122844014573218e+01,9.185122844014573218e+01,8.436648165963835709e+03,3.851952104039905178e-01,-6.868199765558849812e+00,6.878992903742584097e+00,1.000000000000000000e+00
8.600000000000000699e-02,9.175942312201509310e+01,9.175942312201509310e+01,8.419791731684998012e+03,-1.883567153138790418e-01,-6.821550326184181223e+00,6.824150284457937587e+00,1.000000000000000000e+00
8.700000000000000788e-02,9.166770956331522768e+01,9.166770956331522768e+01,8.402968976584314078e+03,-7.501945990473321002e-01,-6.727532149635675474e+00,6.769230440812412652e+00,1.000000000000000000e+00
8.799999999999999489e-02,9.157608767233256231e+01,9.157608767233256231e+01,8.386179833370739289e+03,-1.296496701043116095e+00,-6.587880492898508855e+00,6.714244044159282332e+00,1.000000000000000000e+00
