time,mean_particle_number,variance,factorial_second_moment,g1_real,g1_imag,g1_magnitude,g2
0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000021e-03,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.999990000006250268e-01,-9.999991666670999396e-04,9.999995000001667966e-01,1.000000000000000000e+00
2.000000000000000042e-03,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.999960000099998858e-01,-1.999993333347199493e-03,9.999980000026665872e-01,1.000000000000000000e+00
3.000000000000000062e-03,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.999910000506249119e-01,-2.999977500105299646e-03,9.999955000134999050e-01,1.000000000000000000e+00
4.000000000000000083e-03,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.999840001599988870e-01,-3.999946667110397189e-03,9.999920000426665290e-01,1.000000000000000000e+00
5.000000000000000104e-03,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.999750003906205942e-01,-4.999895834687486523e-03,9.999875001041659273e-01,1.000000000000000000e+00
6.000000000000000125e-03,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.999640008099869304e-01,-5.999820003369550625e-03,9.999820002159980348e-01,1.000000000000000000e+00
7.000000000000000146e-03,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.999510015005920183e-01,-6.999714173949556778e-03,9.999755004001616987e-01,1.000000000000000000e+00
8.000000000000000167e-03,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.999360025599260959e-01,-7.999573347532436263e-03,9.999680006826552336e-01,1.000000000000000000e+00
9.000000000000001055e-03,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.999190041004750729e-01,-8.999392525587068814e-03,9.999595010934768657e-01,1.000000000000000000e+00
1.000000000000000021e-02,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.999000062497180874e-01,-9.999166709998260141e-03,9.999500016666237334e-01,1.000000000000000000e+00
1.099999999999999936e-02,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.998790091501255084e-01,-1.099889090311871077e-02,9.999395024400904441e-01,1.000000000000000000e+00
1.200000000000000025e-02,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.998560129591580470e-01,-1.199856010782096583e-02,9.999280034558712948e-01,1.000000000000000000e+00
1.300000000000000114e-02,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.998310178492640921e-01,-1.299816932754938384e-02,9.999155047599588286e-01,1.000000000000000000e+00
1.400000000000000029e-02,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.998040240078771568e-01,-1.399771356637205880e-02,9.999020064023425025e-01,1.000000000000000000e+00
1.499999999999999944e-02,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.997750316374136581e-01,-1.499718782903276988e-02,9.998875084370095756e-01,1.000000000000000000e+00
1.600000000000000033e-02,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.997440409552702523e-01,-1.599658712100289482e-02,9.998720109219444430e-01,1.000000000000000000e+00
1.700000000000000122e-02,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.997110521938203931e-01,-1.699590644853330931e-02,9.998555139191277474e-01,1.000000000000000000e+00
1.800000000000000211e-02,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.996760656004116674e-01,-1.799514081870628307e-02,9.998380174945357135e-01,1.000000000000000000e+00
1.899999999999999953e-02,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.996390814373624645e-01,-1.899428523948737749e-02,9.998195217181412575e-01,1.000000000000000000e+00
2.000000000000000042e-02,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.996000999819582011e-01,-1.999333471977730176e-02,9.998000266639113232e-01,1.000000000000000000e+00
2.100000000000000130e-02,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.995591215264475471e-01,-2.099228426946374293e-02,9.997795324098075476e-01,1.000000000000000000e+00
2.199999999999999872e-02,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.995161463780388722e-01,-2.199112889947323068e-02,9.997580390377857062e-01,1.000000000000000000e+00
2.299999999999999961e-02,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.994711748588952505e-01,-2.298986362182293963e-02,9.997355466337937147e-01,1.000000000000000000e+00
2.400000000000000050e-02,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.994242073061307963e-01,-2.398848344967247082e-02,9.997120552877729605e-01,1.000000000000000000e+00
2.500000000000000139e-02,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.993752440718066676e-01,-2.498698339737566443e-02,9.996875650936565272e-01,1.000000000000000000e+00
2.600000000000000228e-02,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.993242855229242938e-01,-2.598535848053232233e-02,9.996620761493680840e-01,1.000000000000000000e+00
2.699999999999999969e-02,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.992713320414228217e-01,-2.698360371603995833e-02,9.996355885568219968e-01,1.000000000000000000e+00
2.800000000000000058e-02,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.992163840241725659e-01,-2.798171412214554149e-02,9.996081024219221067e-01,1.000000000000000000e+00
2.900000000000000147e-02,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.991594418829692348e-01,-2.897968471849713193e-02,9.995796178545610644e-01,1.000000000000000000e+00
2.999999999999999889e-02,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.991005060445299346e-01,-2.997751052619559292e-02,9.995501349686186643e-01,1.000000000000000000e+00
3.099999999999999978e-02,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.990395769504858414e-01,-3.097518656784622668e-02,9.995196538819628440e-01,1.000000000000000000e+00
3.200000000000000067e-02,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.989766550573773163e-01,-3.197270786761038930e-02,9.994881747164464647e-01,1.000000000000000000e+00
3.300000000000000155e-02,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.989117408366471329e-01,-3.297006945125705718e-02,9.994556975979083102e-01,1.000000000000000000e+00
3.400000000000000244e-02,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.988448347746343714e-01,-3.396726634621446278e-02,9.994222226561711997e-01,1.000000000000000000e+00
3.500000000000000333e-02,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.987759373725674239e-01,-3.496429358162154999e-02,9.993877500250403223e-01,1.000000000000000000e+00
3.600000000000000422e-02,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.987050491465579993e-01,-3.596114618837953358e-02,9.993522798423041253e-01,1.000000000000000000e+00
3.699999999999999817e-02,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.986321706275931298e-01,-3.695781919920336500e-02,9.993158122497308726e-01,1.000000000000000000e+00
3.799999999999999906e-02,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.985573023615293975e-01,-3.795430764867319812e-02,9.992783473930699767e-01,1.000000000000000000e+00
3.899999999999999994e-02,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.984804449090840528e-01,-3.895060657328577869e-02,9.992398854220488902e-01,1.000000000000000000e+00
4.000000000000000083e-02,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.984015988458281310e-01,-3.994671101150580605e-02,9.992004264903726618e-01,1.000000000000000000e+00
4.100000000000000172e-02,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.983207647621790137e-01,-4.094261600381738503e-02,9.991599707557233812e-01,1.000000000000000000e+00
4.200000000000000261e-02,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.982379432633916583e-01,-4.193831659277521412e-02,9.991185183797577363e-01,1.000000000000000000e+00
4.300000000000000350e-02,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.981531349695511590e-01,-4.293380782305598192e-02,9.990760695281065695e-01,1.000000000000000000e+00
4.399999999999999745e-02,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.980663405155643098e-01,-4.392908474150952758e-02,9.990326243703741005e-01,1.000000000000000000e+00
4.499999999999999833e-02,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.979775605511499448e-01,-4.492414239721011920e-02,9.989881830801349283e-01,1.000000000000000000e+00
4.599999999999999922e-02,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.978867957408317224e-01,-4.591897584150757272e-02,9.989427458349339206e-01,1.000000000000000000e+00
4.700000000000000011e-02,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.977940467639283550e-01,-4.691358012807843314e-02,9.988963128162852145e-01,1.000000000000000000e+00
4.800000000000000100e-02,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.976993143145442833e-01,-4.790795031297702400e-02,9.988488842096698850e-01,1.000000000000000000e+00
4.900000000000000189e-02,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.976025991015607941e-01,-4.890208145468653150e-02,9.988004602045346125e-01,1.000000000000000000e+00
5.000000000000000278e-02,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.975039018486259179e-01,-4.989596861417004703e-02,9.987510409942906842e-01,1.000000000000000000e+00
5.100000000000000366e-02,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.974032232941448806e-01,-5.088960685492144309e-02,9.987006267763119949e-01,1.000000000000000000e+00
5.200000000000000455e-02,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.973005641912709995e-01,-5.188299124301644361e-02,9.986492177519342706e-01,1.000000000000000000e+00
5.299999999999999850e-02,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.971959253078935825e-01,-5.287611684716336802e-02,9.985968141264527365e-01,1.000000000000000000e+00
5.399999999999999939e-02,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.970893074266296008e-01,-5.386897873875411830e-02,9.985434161091205629e-01,1.000000000000000000e+00
5.500000000000000028e-02,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.969807113448118097e-01,-5.486157199191483286e-02,9.984890239131479772e-01,1.000000000000000000e+00
5.600000000000000117e-02,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.968701378744784236e-01,-5.585389168355674172e-02,9.984336377556999320e-01,1.000000000000000000e+00
5.700000000000000205e-02,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.967575878423620139e-01,-5.684593289342679961e-02,9.983772578578939960e-01,1.000000000000000000e+00
5.800000000000000294e-02,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.966430620898791837e-01,-5.783769070415845787e-02,9.983198844448009091e-01,1.000000000000000000e+00
5.900000000000000383e-02,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.965265614731180221e-01,-5.882916020132212404e-02,9.982615177454396971e-01,1.000000000000000000e+00
5.999999999999999778e-02,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.964080868628267806e-01,-5.982033647347581584e-02,9.982021579927777832e-01,1.000000000000000000e+00
6.099999999999999867e-02,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.962876391444031032e-01,-6.081121461221564856e-02,9.981418054237291004e-01,1.000000000000000000e+00
6.199999999999999956e-02,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.961652192178812593e-01,-6.180178971222630852e-02,9.980804602791518709e-01,1.000000000000000000e+00
6.300000000000000044e-02,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.960408279979197088e-01,-6.279205687133142255e-02,9.980181228038467189e-01,1.000000000000000000e+00
6.400000000000000133e-02,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.959144664137901115e-01,-6.378201119054394130e-02,9.979547932465553384e-01,1.000000000000000000e+00
6.500000000000000222e-02,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.957861354093628936e-01,-6.477164777411645313e-02,9.978904718599571622e-01,1.000000000000000000e+00
6.600000000000000311e-02,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.956558359430962568e-01,-6.576096172959136621e-02,9.978251589006696953e-01,1.000000000000000000e+00
6.700000000000000400e-02,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.955235689880228556e-01,-6.674994816785118079e-02,9.977588546292444072e-01,1.000000000000000000e+00
6.800000000000000488e-02,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.953893355317359193e-01,-6.773860220316857417e-02,9.976915593101657320e-01,1.000000000000000000e+00
6.900000000000000577e-02,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.952531365763764848e-01,-6.872691895325645783e-02,9.976232732118487379e-01,1.000000000000000000e+00
7.000000000000000666e-02,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.951149731386201847e-01,-6.971489353931809019e-02,9.975539966066374609e-01,1.000000000000000000e+00
7.100000000000000755e-02,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.949748462496627033e-01,-7.070252108609692554e-02,9.974837297708017969e-01,1.000000000000000000e+00
7.200000000000000844e-02,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.948327569552074534e-01,-7.168979672192660191e-02,9.974124729845370574e-01,1.000000000000000000e+00
7.299999999999999545e-02,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.946887063154497000e-01,-7.267671557878073452e-02,9.973402265319601945e-01,1.000000000000000000e+00
7.399999999999999634e-02,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.945426954050632373e-01,-7.366327279232266767e-02,9.972669907011084689e-01,1.000000000000000000e+00
7.499999999999999722e-02,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.943947253131861785e-01,-7.464946350195536540e-02,9.971927657839364523e-01,1.000000000000000000e+00
7.599999999999999811e-02,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.942447971434054121e-01,-7.563528285087077474e-02,9.971175520763150280e-01,1.000000000000000000e+00
7.699999999999999900e-02,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.940929120137426134e-01,-7.662072598609970253e-02,9.970413498780276162e-01,1.000000000000000000e+00
7.799999999999999989e-02,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.939390710566391451e-01,-7.760578805856120643e-02,9.969641594927699524e-01,1.000000000000000000e+00
7.900000000000000078e-02,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.937832754189398488e-01,-7.859046422311204150e-02,9.968859812281446464e-01,1.000000000000000000e+00
8.000000000000000167e-02,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.936255262618791662e-01,-7.957474963859610673e-02,9.968068153956621824e-01,1.000000000000000000e+00
8.100000000000000255e-02,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.934658247610638204e-01,-8.055863946789378061e-02,9.967266623107353674e-01,1.000000000000000000e+00
8.200000000000000344e-02,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.933041721064589380e-01,-8.154212887797114562e-02,9.966455222926801083e-01,1.000000000000000000e+00
8.300000000000000433e-02,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.931405695023702851e-01,-8.252521303992925439e-02,9.965633956647105274e-01,1.000000000000000000e+00
8.400000000000000522e-02,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.929750181674291687e-01,-8.350788712905311828e-02,9.964802827539364083e-01,1.000000000000000000e+00
8.500000000000000611e-02,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.928075193345756722e-01,-8.449014632486091803e-02,9.963961838913626412e-01,1.000000000000000000e+00
8.600000000000000699e-02,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.926380742510424460e-01,-8.547198581115296456e-02,9.963110994118854480e-01,1.000000000000000000e+00
8.700000000000000788e-02,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.924666841783374993e-01,-8.645340077606042395e-02,9.962250296542894956e-01,1.000000000000000000e+00
8.799999999999999489e-02,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.922933503922271026e-01,-8.743438641209441697e-02,9.961379749612454537e-01,1.000000000000000000e+00
8.899999999999999578e-02,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.921180741827199112e-01,-8.841493791619468856e-02,9.960499356793079961e-01,1.000000000000000000e+00
8.999999999999999667e-02,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.919408568540482030e-01,-8.939505048977820778e-02,9.959609121589126923e-01,1.000000000000000000e+00
9.099999999999999756e-02,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.917616997246510024e-01,-9.037471933878792052e-02,9.958709047543731208e-01,1.000000000000000000e+00
9.199999999999999845e-02,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.915806041271567617e-01,-9.135393967374123847e-02,9.957799138238785375e-01,1.000000000000000000e+00
9.299999999999999933e-02,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.913975714083645974e-01,-9.233270670977845873e-02,9.956879397294904344e-01,1.000000000000000000e+00
9.400000000000000022e-02,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.912126029292273044e-01,-9.331101566671126668e-02,9.955949828371410959e-01,1.000000000000000000e+00
9.500000000000000111e-02,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.910257000648321490e-01,-9.428886176907093353e-02,9.955010435166291582e-01,1.000000000000000000e+00
9.600000000000000200e-02,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.908368642043829944e-01,-9.526624024615658326e-02,9.954061221416177219e-01,1.000000000000000000e+00
9.700000000000000289e-02,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.906460967511816484e-01,-9.624314633208347347e-02,9.953102190896315760e-01,1.000000000000000000e+00
9.800000000000000377e-02,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.904533991226087686e-01,-9.721957526583079046e-02,9.952133347420533127e-01,1.000000000000000000e+00
9.900000000000000466e-02,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.902587727501057646e-01,-9.819552229128995779e-02,9.951154694841219950e-01,1.000000000000000000e+00
1.000000000000000056e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.900622190791541488e-01,-9.917098265731226492e-02,9.950166237049288265e-01,1.000000000000000000e+00
1.010000000000000064e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.898637395692571062e-01,-1.001459516177569259e-01,9.949167977974139321e-01,1.000000000000000000e+00
1.020000000000000073e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.896633356939206205e-01,-1.011204244315386941e-01,9.948159921583650256e-01,1.000000000000000000e+00
1.030000000000000082e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.894610089406324915e-01,-1.020943963626755602e-01,9.947142071884131909e-01,1.000000000000000000e+00
1.040000000000000091e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.892567608108426835e-01,-1.030678626803362696e-01,9.946114432920292181e-01,1.000000000000000000e+00
1.049999999999999961e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.890505928199440078e-01,-1.040408186588878403e-01,9.945077008775217164e-01,1.000000000000000000e+00
1.059999999999999970e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.888425064972515832e-01,-1.050132595779431494e-01,9.944029803570340054e-01,1.000000000000000000e+00
1.069999999999999979e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.886325033859815203e-01,-1.059851807224078818e-01,9.942972821465391187e-01,1.000000000000000000e+00
