time,mean_particle_number,variance,factorial_second_moment,g1_real,g1_imag,g1_magnitude,g2,mean_particle_number_imag,variance_imag,factorial_second_moment_imag
0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000021e-03,9.988055329192372378e-01,9.989263925388944809e-01,9.977325535940819723e-01,9.989260550831579044e-01,7.394491684212284755e-05,9.989260578200225282e-01,1.000120348336545728e+00,8.936529844931959381e-04,9.859715140730599282e-04,1.877489620423050806e-03
2.000000000000000042e-03,9.987057439018727223e-01,9.988305160005852557e-01,9.975294713764766286e-01,9.979015846611892782e-01,1.504936069341602622e-04,9.979015960091648374e-01,1.000116610125281635e+00,2.909230968646083545e-03,3.182991172150965824e-03,6.084691560952986897e-03
3.000000000000000062e-03,9.998634151930759772e-01,9.999857066275602557e-01,9.998437080786598541e-01,9.987442651961184747e-01,-1.691891197525762728e-03,9.987456982425301222e-01,1.000116890965977889e+00,2.330750391158325271e-03,2.512979268098252186e-03,4.843092969072248892e-03
4.000000000000000083e-03,1.000309752034975297e+00,1.000711327992789501e+00,1.001016552345415533e+00,9.989780798359690905e-01,-2.951747920627230490e-03,9.989824406907994447e-01,1.000396706529769419e+00,2.150262465965270715e-03,2.370663267085212737e-03,4.522257829399610636e-03
5.000000000000000104e-03,1.001721645818882900e+00,1.002342216306854272e+00,1.004065516116077417e+00,1.000092224875153146e+00,-5.142113776609409832e-03,1.000105444235669383e+00,1.000617133613750598e+00,1.144584634477969869e-03,1.232815151776892222e-03,2.381340924955475512e-03
6.000000000000000125e-03,1.001844496906642457e+00,1.002762003132627422e+00,1.004604535584857183e+00,9.995213134201265115e-01,-5.529904217106540627e-03,9.995366105459794204e-01,1.000908784012298103e+00,2.316597343363622791e-03,2.523330133446945178e-03,4.848473390078109416e-03
7.000000000000000146e-03,1.001558105873256554e+00,1.002358782382573477e+00,1.003914652774352767e+00,9.995040909622134873e-01,-6.478928462689239470e-03,9.995250894120794038e-01,1.000793538573235386e+00,2.159438674640560066e-03,2.463243400291597988e-03,4.629411343095947429e-03
8.000000000000000167e-03,1.002131377158538061e+00,1.002995757652775266e+00,1.005131676852215161e+00,1.000783387117076817e+00,-8.782084110192676929e-03,1.000821918690256940e+00,1.000860706874609374e+00,2.697573163032784970e-05,6.148045713283626485e-05,8.857117967962758413e-05
9.000000000000001055e-03,1.002675944791964646e+00,1.003432202375637461e+00,1.006115235015698550e+00,1.000997301357529734e+00,-1.006905763792377388e-02,1.001047942531611890e+00,1.000752153920572596e+00,2.698748469064436001e-04,5.798856825983408425e-04,8.512048698869074514e-04
1.000000000000000021e-02,1.002366817405820898e+00,1.003071512096735729e+00,1.005437515330152687e+00,1.002205563206613359e+00,-1.224314452261564094e-02,1.002280342773461008e+00,1.000694984995525783e+00,-2.532981846834589552e-03,-2.367886231883204080e-03,-4.912858289765226552e-03
1.099999999999999936e-02,1.001866306328226708e+00,1.002412150318049422e+00,1.004275438291014177e+00,1.001920184460727725e+00,-1.306683957044209483e-02,1.002005388371828287e+00,1.000537335000236228e+00,-2.549795006036889838e-03,-2.412793647070810878e-03,-4.972106050218595349e-03
1.200000000000000025e-02,1.001793928818800916e+00,1.001740845308863426e+00,1.003531131904603635e+00,1.002007585227082664e+00,-1.429738820168986561e-02,1.002109582910970520e+00,9.999402705792733714e-01,-2.619237230126145524e-03,-2.705102656291548911e-03,-5.333737336718492351e-03
1.300000000000000114e-02,1.002541334191856759e+00,1.002769116873498900e+00,1.005300207329902218e+00,1.002934067258523410e+00,-1.634171535979069001e-02,1.003067193625942988e+00,1.000210011790092279e+00,-4.086822106259378404e-03,-4.550500000508751752e-03,-8.658094068277475547e-03
1.400000000000000029e-02,1.003348933957027400e+00,1.004202653695926095e+00,1.007560793965627033e+00,1.001693793567295820e+00,-1.623475136622118398e-02,1.001825345668177381e+00,1.000846034576498456e+00,-1.417408189286032153e-03,-2.416332611708241988e-03,-3.843234413826412000e-03
1.499999999999999944e-02,1.003372745591009974e+00,1.004878167140700107e+00,1.008256899153293862e+00,1.002013965566096676e+00,-1.748685708177571269e-02,1.002166541728515714e+00,1.001489965063288690e+00,-2.321420090787506673e-03,-3.136349917731530608e-03,-5.473429127271208471e-03
1.600000000000000033e-02,1.002589064187350942e+00,1.003968668444612078e+00,1.006558216360768920e+00,1.001860177888601378e+00,-1.829252225524145847e-02,1.002027161512819564e+00,1.001366300693651068e+00,-2.493897463865633532e-03,-2.618664159839430468e-03,-5.125475344926303661e-03
1.700000000000000122e-02,1.003612304487693452e+00,1.004462592418344125e+00,1.008075519469574077e+00,1.002899723749035132e+00,-2.034095185396241068e-02,1.003105981548418457e+00,1.000831841168818848e+00,-3.525078747377313748e-03,-3.955586423987041307e-03,-7.506132486921601558e-03
1.800000000000000211e-02,1.003631079313449970e+00,1.004844299530524010e+00,1.008460931083887901e+00,1.003790362765760946e+00,-2.216307220830124325e-02,1.004035006437090427e+00,1.001177024462892140e+00,-5.256662160185819957e-03,-5.246894435772295195e-03,-1.054173131041340715e-02
1.899999999999999953e-02,1.003382527776892630e+00,1.004663572320997789e+00,1.008045635381853877e+00,1.002664667460067438e+00,-2.194183631519183719e-02,1.002904721074584504e+00,1.001260595909448048e+00,-3.450537667945875308e-03,-3.719752317400256032e-03,-7.193633064360212964e-03
2.000000000000000042e-02,1.002298078454598951e+00,1.002982901964072138e+00,1.005264615457684529e+00,1.002538449483352023e+00,-2.306911838700194048e-02,1.002803832718860866e+00,1.000660139791532455e+00,-4.652539690343775874e-03,-6.249903951431488511e-03,-1.092382744421835535e-02
2.100000000000000130e-02,1.002252412860529462e+00,1.002809880718315894e+00,1.005041604515329201e+00,1.002598162325090581e+00,-2.421290122484164378e-02,1.002890492368619713e+00,1.000529318258645883e+00,-5.075670124257051705e-03,-6.904091648870092426e-03,-1.200262678245450805e-02
2.199999999999999872e-02,1.002011397292551065e+00,1.002557532304079624e+00,1.004536623451253607e+00,1.002834285076755094e+00,-2.570409521487640112e-02,1.003163647585089580e+00,1.000507738564965665e+00,-6.029250736680542844e-03,-8.275657575873446650e-03,-1.432916274976973360e-02
2.299999999999999961e-02,9.993359012717560885e-01,9.992698089225683367e-01,9.985644290952987445e-01,1.001701480801386213e+00,-2.564603768627637947e-02,1.002029728046376800e+00,9.998920421829801120e-01,-6.459266687987330266e-03,-9.162508458772231773e-03,-1.561319596517380184e-02
2.400000000000000050e-02,9.999656050322602852e-01,9.999675655921457240e-01,9.998801918889710372e-01,1.002307098727567958e+00,-2.752351245115395445e-02,1.002684927530739012e+00,9.999489771316372178e-01,-7.278730552010230677e-03,-1.015308258897827665e-02,-1.743131243758346341e-02
2.500000000000000139e-02,1.000906965432507345e+00,1.000883886376124465e+00,1.001742164149790337e+00,1.002496487729166441e+00,-2.892748722937274475e-02,1.002913758718425585e+00,9.999275421915378992e-01,-7.036351692261252379e-03,-1.036377889459668550e-02,-1.741289404236963032e-02
2.600000000000000228e-02,9.990934594730902507e-01,9.989381571749634814e-01,9.979935411223362918e-01,1.001262973181066718e+00,-2.861579672022833767e-02,1.001671805176387542e+00,9.998054477813733687e-01,-6.236773319949754334e-03,-9.319572745207513678e-03,-1.554503828961390118e-02
2.699999999999999969e-02,9.995891078316533340e-01,9.996424368943379601e-01,9.991623869293427829e-01,1.002503299788406022e+00,-3.101300395129669152e-02,1.002982887441618232e+00,9.999839892790055584e-01,-8.326261407290634978e-03,-1.090089270727425189e-02,-1.922031172335716270e-02
2.800000000000000058e-02,9.989797569179894587e-01,9.978338645882233182e-01,9.967458393082356816e-01,1.002536899895290379e+00,-3.180085607871994263e-02,1.003041140780874807e+00,9.987828021679514556e-01,-8.295968534388423188e-03,-1.014907066886739165e-02,-1.842811139424424191e-02
2.900000000000000147e-02,1.000433497542154271e+00,9.992732244804372055e-01,9.996290461401509120e-01,1.003576487955188501e+00,-3.375286340474038110e-02,1.004143925423287786e+00,9.987629358966890747e-01,-8.824046835756977833e-03,-9.962449405841185268e-03,-1.879414664682847041e-02
2.999999999999999889e-02,1.000057085006044622e+00,9.990443125663222013e-01,9.990227693147524235e-01,1.003336806015437288e+00,-3.468858961908929256e-02,1.003936275146495971e+00,9.989087206388992390e-01,-8.867441362217225176e-03,-1.004540763592897193e-02,-1.891386139403372288e-02
3.099999999999999978e-02,1.000330910169091814e+00,9.989746557025804830e-01,9.992265953337337026e-01,1.003632953308521314e+00,-3.620910016290018740e-02,1.004285917406687156e+00,9.985656149562721628e-01,-8.892695849881362274e-03,-9.342106565013431202e-03,-1.824068778186952594e-02
3.200000000000000067e-02,1.001599094095529274e+00,9.993499451948362200e-01,1.000910261052245120e+00,1.003133260128772353e+00,-3.668202469944064487e-02,1.003803720112965925e+00,9.977168236252945688e-01,-6.429256570308508265e-03,-7.099770638581373583e-03,-1.354958918133033000e-02
3.300000000000000155e-02,1.002267919014407704e+00,1.000832778887652097e+00,1.003063781237540031e+00,1.003243151249352927e+00,-3.789324468418563130e-02,1.003958524303383504e+00,9.985294773681140379e-01,-6.485377489047921586e-03,-7.019767334850367593e-03,-1.353456144574433778e-02
3.400000000000000244e-02,1.001583465430374797e+00,9.999698672907533226e-01,1.001496900636530851e+00,1.003310652286432347e+00,-3.931694439832728039e-02,1.004080717426765190e+00,9.983327466694462693e-01,-7.677203095307220081e-03,-8.408950146479545612e-03,-1.611046641319353531e-02
3.500000000000000333e-02,9.996190608695322277e-01,9.979083133626107660e-01,9.974689171875779081e-01,1.002259176293523124e+00,-3.928056974178242150e-02,1.003028623531657004e+00,9.982293015341787701e-01,-7.655204712238531696e-03,-8.696517951882920539e-03,-1.634589033006818640e-02
3.600000000000000422e-02,9.977803388005531682e-01,9.953804905546216331e-01,9.930966729822280348e-01,1.001804390502192277e+00,-3.997548490513652686e-02,1.002601653810160975e+00,9.975200715014997943e-01,-8.311634543644523532e-03,-9.193392659504383280e-03,-1.746812917774788823e-02
3.699999999999999817e-02,9.989884541252277428e-01,9.960506812711155122e-01,9.949661620420989783e-01,1.002540413597071467e+00,-4.214593475638592907e-02,1.003425911919697544e+00,9.969821282230556525e-01,-8.602126440658320466e-03,-9.642641877898917163e-03,-1.822736542752660324e-02
3.799999999999999906e-02,9.979017562271395025e-01,9.944642261445267861e-01,9.922998847872104289e-01,1.001876942944281534e+00,-4.251330819202104455e-02,1.002778534960142132e+00,9.964772018369497664e-01,-8.396440399731822102e-03,-9.329354700310887177e-03,-1.769055954247684623e-02
3.899999999999999994e-02,9.972608992737741485e-01,9.936775565191142690e-01,9.908826591747782464e-01,1.001501605808294393e+00,-4.295727951623186380e-02,1.002422462986553464e+00,9.963332985352127968e-01,-7.956085149033684592e-03,-8.600995028773122941e-03,-1.651349514058754464e-02
4.000000000000000083e-02,9.981133015385228457e-01,9.949296023441046577e-01,9.929782822483854687e-01,1.001730439174030263e+00,-4.446573865100751644e-02,1.002716846712757182e+00,9.967358140904859498e-01,-8.257194761334874303e-03,-9.281920355990708194e-03,-1.750795744402092527e-02
4.100000000000000172e-02,9.977983162292010100e-01,9.954134244871226667e-01,9.931556834370049991e-01,1.001211633374996746e+00,-4.498415865604641489e-02,1.002221686721765925e+00,9.975433981545072104e-01,-7.804145740906697284e-03,-8.338233357908713533e-03,-1.610801457677000365e-02
4.200000000000000261e-02,9.977396973422376636e-01,9.963600295006567187e-01,9.940608419677907648e-01,1.000365837717006601e+00,-4.512281480710385317e-02,1.001382982523352450e+00,9.985698806163575414e-01,-6.632785478840117280e-03,-7.047397512170731557e-03,-1.365019878571846826e-02
4.300000000000000350e-02,9.988410314404770896e-01,9.975672558422887803e-01,9.963416112575621542e-01,1.001362868791698002e+00,-4.737689584910060453e-02,1.002482999983060008e+00,9.986550895571433273e-01,-8.247377360449845499e-03,-9.302866869486975387e-03,-1.753112732781825917e-02
4.399999999999999745e-02,9.984426884324335560e-01,9.972070402950539147e-01,9.955984476655126425e-01,1.000620374839382931e+00,-4.764258080481516971e-02,1.001753936877440188e+00,9.987066203278068821e-01,-7.328456951724612867e-03,-8.117179772320622794e-03,-1.542281134247856962e-02
4.499999999999999833e-02,9.991461799212364436e-01,9.991186660870627900e-01,9.981974992600441965e-01,1.000986885659830961e+00,-4.918266348295806389e-02,1.002194432059091644e+00,9.999042469669247035e-01,-8.250803414328123156e-03,-9.336316394000281071e-03,-1.757303040508623876e-02
4.599999999999999922e-02,9.989414386250673461e-01,9.995103686566549905e-01,9.983872989953780364e-01,1.000477431471211931e+00,-5.007600184958856115e-02,1.001729852227871698e+00,1.000504368437781677e+00,-8.101162788689959121e-03,-9.714264068915710176e-03,-1.779827570156537059e-02
4.700000000000000011e-02,9.978002672117541882e-01,9.988769767086281837e-01,9.966348935366420303e-01,9.989707167932669885e-01,-4.972574100224141924e-02,1.000207549625914183e+00,1.001034064616822539e+00,-6.869440157691356595e-03,-8.987742148205263987e-03,-1.582696044039308761e-02
4.800000000000000100e-02,9.982577815406064037e-01,1.000746772664671269e+00,9.989419178187669557e-01,9.989827930174715043e-01,-5.089742796756524523e-02,1.000278545665507002e+00,1.002431785434079403e+00,-8.103808467069954433e-03,-1.162806252505333218e-02,-1.970363378271784704e-02
4.900000000000000189e-02,9.977647393048354463e-01,9.999094458428169352e-01,9.975990159125159851e-01,9.990581178375455007e-01,-5.209817286090064753e-02,1.000415584860883333e+00,1.002073801525024788e+00,-8.953525870386145474e-03,-1.306860315980002893e-02,-2.198210210126374728e-02
5.000000000000000278e-02,9.993212714032770894e-01,1.000795267637327068e+00,1.000044284350328105e+00,9.995684216616219642e-01,-5.406053087624362180e-02,1.001029255607311041e+00,1.001403184988413297e+00,-8.527330343308282476e-03,-1.252058732473886396e-02,-2.103634218213173285e-02
5.100000000000000366e-02,9.994323285947674940e-01,1.000188985380063844e+00,9.995323308132200157e-01,1.000106730998290949e+00,-5.602435007854766891e-02,1.001674698287728260e+00,1.000668109691096097e+00,-9.450154095867691062e-03,-1.270146749224940891e-02,-2.214089242360656878e-02
5.200000000000000455e-02,9.994525613906213302e-01,1.000601968916068785e+00,9.999748218921495901e-01,9.997137590344002955e-01,-5.686137771632467780e-02,1.001329524321783682e+00,1.001070571245104679e+00,-8.944724901945611331e-03,-1.149231832795885588e-02,-2.042724985438127208e-02
5.299999999999999850e-02,9.979049901427502478e-01,9.984915556559833538e-01,9.963311914716584949e-01,9.988651133081493105e-01,-5.669459596775662524e-02,1.000472784135605142e+00,1.000518994438885700e+00,-8.351251006707560362e-03,-1.072224503816678054e-02,-1.903850413851550585e-02
5.399999999999999939e-02,9.962096349784480553e-01,9.950438775477314923e-01,9.911763734835885575e-01,9.988733671690902538e-01,-5.775401017315266727e-02,1.000541617990374776e+00,9.987331512217503260e-01,-9.565872128950644870e-03,-1.093051998576426154e-02,-2.042387582047848135e-02
