time,mean_particle_number,variance,factorial_second_moment,g1_real,g1_imag,g1_magnitude,g2
0.000000000000000000e+00,9.993677770439552077e+00,9.872480365591968621e+00,9.975239797453008350e+01,3.138183423562632690e+00,0.000000000000000000e+00,3.138183423562632690e+00,9.987864920213676001e-01
1.000000000000000021e-03,9.993677770884636047e+00,9.872480368725376820e+00,9.975239798611445963e+01,3.138014153952894958e+00,-3.114998495983290969e-02,3.138168757726662150e+00,9.987864920483929820e-01
2.000000000000000042e-03,9.993677772278507732e+00,9.872480378664448608e+00,9.975239802251945775e+01,3.137506369692687702e+00,-6.229601196147919323e-02,3.138124760580511374e+00,9.987864921342916036e-01
3.000000000000000062e-03,9.993677777391555495e+00,9.872480414589432485e+00,9.975239815552770040e+01,3.136660144452924737e+00,-9.343412379492092856e-02,3.138051433180910621e+00,9.987864924440426062e-01
4.000000000000000083e-03,9.993677781807443594e+00,9.872480445543757810e+00,9.975239827032805806e+01,3.135475601231490828e+00,-1.245603648673104108e-01,3.137948777531885725e+00,9.987864927108353053e-01
5.000000000000000104e-03,9.993677782218581385e+00,9.872480448432796152e+00,9.975239828102351680e+01,3.133952912104745803e+00,-1.556707812086415010e-01,3.137816796342948855e+00,9.987864927357454903e-01
6.000000000000000125e-03,9.993677782811609234e+00,9.872480452680321150e+00,9.975239829653106938e+01,3.132092298020777932e+00,-1.867614211421295412e-01,3.137655492839853455e+00,9.987864927724806607e-01
7.000000000000000146e-03,9.993677785677592240e+00,9.872480472856054234e+00,9.975239837112424368e+01,3.129894029045457771e+00,-2.178283364565551383e-01,3.137464871073115003e+00,9.987864929464933539e-01
8.000000000000000167e-03,9.993677789569723302e+00,9.872480500139872106e+00,9.975239847230933776e+01,3.127358424333571474e+00,-2.488675829330584677e-01,3.137244935940625368e+00,9.987864931816514691e-01
9.000000000000001055e-03,9.993677790180116816e+00,9.872480504414639313e+00,9.975239848817386701e+01,3.124485852057235391e+00,-2.798752208110710238e-01,3.136995693164061905e+00,9.987864932184898903e-01
1.000000000000000021e-02,9.993677790647826242e+00,9.872480507758538693e+00,9.975239850039832845e+01,3.121276729079454970e+00,-3.108473151297241333e-01,3.136717148997706595e+00,9.987864932474017632e-01
1.099999999999999936e-02,9.993677792826925810e+00,9.872480523134839814e+00,9.975239855714995940e+01,3.117731521086744451e+00,-3.417799369167725532e-01,3.136409310478576629e+00,9.987864933800699729e-01
1.200000000000000025e-02,9.993677796894047560e+00,9.872480551651960923e+00,9.975239866289098245e+01,3.113850742533039728e+00,-3.726691636905503646e-01,3.136072185447805971e+00,9.987864936258671333e-01
1.300000000000000114e-02,9.993677797916500793e+00,9.872480558828570452e+00,9.975239868948126798e+01,3.109634956623127167e+00,-4.035110800460472991e-01,3.135705782622541182e+00,9.987864936877348665e-01
1.400000000000000029e-02,9.993677798318447714e+00,9.872480561674194632e+00,9.975239869995880326e+01,3.105084774934431469e+00,-4.343017779137873235e-01,3.135310111269487443e+00,9.987864937123003273e-01
1.499999999999999944e-02,9.993677799953170293e+00,9.872480573253895386e+00,9.975239874257755446e+01,3.100200857441450797e+00,-4.650373577417252213e-01,3.134885181402360832e+00,9.987864938122728020e-01
1.600000000000000033e-02,9.993677804044066804e+00,9.872480601945980538e+00,9.975239884894494935e+01,3.094983912441838569e+00,-4.957139289798982995e-01,3.134431003812091721e+00,9.987864940595896357e-01
1.700000000000000122e-02,9.993677805662940727e+00,9.872480613301490848e+00,9.975239889103859525e+01,3.089434696553922333e+00,-5.263276106902592399e-01,3.133947590188154830e+00,9.987864941574723376e-01
1.800000000000000211e-02,9.993677805996414421e+00,9.872480615653842051e+00,9.975239889972273488e+01,3.083554014338574234e+00,-5.568745318234343822e-01,3.133434952817292451e+00,9.987864941777676586e-01
1.899999999999999953e-02,9.993677807182391959e+00,9.872480624080807843e+00,9.975239893066827790e+01,3.077342718172192182e+00,-5.873508323372387263e-01,3.132893104677314522e+00,9.987864942505572108e-01
2.000000000000000042e-02,9.993677811078715223e+00,9.872480651435537879e+00,9.975239903200389335e+01,3.070801708188354517e+00,-6.177526636956857109e-01,3.132322059513617418e+00,9.987864944863844574e-01
2.100000000000000130e-02,9.993677813406833366e+00,9.872480667751545980e+00,9.975239909252469772e+01,3.063931932254034152e+00,-6.480761894473090479e-01,3.131721831966320035e+00,9.987864946270057498e-01
2.199999999999999872e-02,9.993677813680566402e+00,9.872480669680697929e+00,9.975239909965132767e+01,3.056734385624592321e+00,-6.783175855809904231e-01,3.131092437340069701e+00,9.987864946436474378e-01
