time,mean_particle_number,variance
0.000000000000000000e+00,9.995479440520730341e-01,9.954453899482077484e-01
1.000000000000000021e-03,9.985489020240595481e-01,9.944545519318620519e-01
2.000000000000000042e-03,9.975549303068999007e-01,9.934890479026193821e-01
3.000000000000000062e-03,9.965578924220782620e-01,9.925001532179978936e-01
4.000000000000000083e-03,9.955658742657031990e-01,9.915363562588048740e-01
5.000000000000000104e-03,9.945628701965723018e-01,9.905014964186700244e-01
6.000000000000000125e-03,9.935728497744004128e-01,9.895396368816694599e-01
7.000000000000000146e-03,9.925837908140346943e-01,9.885785709237321361e-01
8.000000000000000167e-03,9.915917808013453572e-01,9.875946923830840607e-01
9.000000000000001055e-03,9.905968896346478703e-01,9.865883448625824004e-01
1.000000000000000021e-02,9.896107806461933443e-01,9.856300023820064871e-01
1.099999999999999936e-02,9.886217882309931149e-01,9.846491883347306961e-01
1.200000000000000025e-02,9.876376175614671737e-01,9.836925441579499330e-01
1.300000000000000114e-02,9.866544031384052449e-01,9.827366922021576467e-01
1.400000000000000029e-02,9.856683721248943320e-01,9.817587065576216521e-01
1.499999999999999944e-02,9.846870907019671382e-01,9.808045510553913271e-01
1.600000000000000033e-02,9.836918574819921712e-01,9.797603760346276225e-01
1.700000000000000122e-02,9.827088696983425908e-01,9.787856561566022906e-01
1.800000000000000211e-02,9.817305599229357860e-01,9.778344290575323727e-01
1.899999999999999953e-02,9.807532009772406134e-01,9.768839918539291567e-01
2.000000000000000042e-02,9.797767920713624790e-01,9.759343445979109521e-01
2.100000000000000130e-02,9.788013324153970185e-01,9.749854873380612297e-01
2.199999999999999872e-02,9.778196370641710766e-01,9.739933318225353354e-01
2.299999999999999961e-02,9.768461175426933485e-01,9.730462712011840321e-01
2.400000000000000050e-02,9.758699965036836677e-01,9.720781717132159772e-01
2.500000000000000139e-02,9.748948649117274989e-01,9.711110762440114952e-01
2.600000000000000228e-02,9.739207216556455826e-01,9.701449835192715865e-01
2.699999999999999969e-02,9.729510487690301579e-01,9.692013996037511792e-01
2.800000000000000058e-02,9.719684723602816101e-01,9.681729985827249862e-01
2.900000000000000147e-02,9.710007704987856370e-01,9.672314134175404865e-01
2.999999999999999889e-02,9.700340098258770638e-01,9.662906146403110741e-01
3.099999999999999978e-02,9.690579958127628624e-01,9.652873451343443323e-01
3.200000000000000067e-02,9.680898014212404590e-01,9.643274508950833157e-01
3.300000000000000155e-02,9.671259433560961405e-01,9.633894271558144373e-01
3.400000000000000244e-02,9.661596878251406117e-01,9.624314142085939050e-01
3.500000000000000333e-02,9.651977249631565892e-01,9.614950630885308325e-01
3.600000000000000422e-02,9.642366980563080725e-01,9.605594963273732523e-01
3.699999999999999817e-02,9.632766063202128359e-01,9.596247139329030507e-01
3.799999999999999906e-02,9.623174489705411672e-01,9.586907159091215824e-01
3.899999999999999994e-02,9.613527603125444632e-01,9.577169767451325644e-01
4.000000000000000083e-02,9.603955098267253909e-01,9.567847494458798785e-01
4.100000000000000172e-02,9.594391911725705935e-01,9.558533056767396507e-01
4.200000000000000261e-02,9.584806314750236034e-01,9.549026843769623518e-01
4.300000000000000350e-02,9.575198897120870134e-01,9.539331847269479914e-01
4.399999999999999745e-02,9.565632889643689296e-01,9.529846274828076558e-01
4.499999999999999833e-02,9.556076560598476544e-01,9.520370503259362183e-01
4.599999999999999922e-02,9.546560829256699465e-01,9.511100166242735243e-01
4.700000000000000011e-02,9.537054364302613996e-01,9.501837643168906666e-01
4.800000000000000100e-02,9.527526617371748774e-01,9.492389245895282990e-01
4.900000000000000189e-02,9.518008507776563043e-01,9.482950607939998333e-01
5.000000000000000278e-02,9.508500024787133187e-01,9.473521716913583246e-01
5.100000000000000366e-02,9.499031121295042901e-01,9.464293341945947402e-01
5.200000000000000455e-02,9.489541669014172065e-01,9.454882946895394324e-01
5.299999999999999850e-02,9.480091396008412108e-01,9.445671129474100258e-01
5.399999999999999939e-02,9.470650330879264445e-01,9.436467107803757637e-01
5.500000000000000028e-02,9.461218465831279234e-01,9.427270881481045750e-01
5.600000000000000117e-02,9.451795793070287832e-01,9.418082450068416822e-01
5.700000000000000205e-02,9.442187346403682069e-01,9.408081398638673543e-01
5.800000000000000294e-02,9.432532422390598192e-01,9.397725244633103880e-01
5.900000000000000383e-02,9.423082355194933868e-01,9.388201025923740284e-01
5.999999999999999778e-02,9.413670457427202320e-01,9.378870575385102049e-01
6.099999999999999867e-02,9.404239965096083953e-01,9.369368386118872571e-01
6.199999999999999956e-02,9.394875175154765445e-01,9.360238506715483631e-01
6.300000000000000044e-02,9.385491769594537237e-01,9.350936864171623952e-01
6.400000000000000133e-02,9.376117840408286774e-01,9.341644799909820662e-01
6.500000000000000222e-02,9.366753377107694956e-01,9.332362301774442814e-01
6.600000000000000311e-02,9.357398369221705536e-01,9.323089357621986428e-01
6.700000000000000400e-02,9.348052806294551154e-01,9.313825955332593054e-01
6.800000000000000488e-02,9.338689822924262085e-01,9.304397098512623421e-01
6.900000000000000577e-02,9.329336612846430565e-01,9.294979548510868828e-01
7.000000000000000666e-02,9.320046176290219808e-01,9.285919679927546744e-01
7.100000000000000755e-02,9.310738461775488473e-01,9.276695211355638904e-01
7.200000000000000844e-02,9.301440139294798737e-01,9.267480220570524230e-01
7.299999999999999545e-02,9.292177189359608347e-01,9.258445244310110622e-01
7.399999999999999634e-02,9.282871629022840798e-01,9.249078624404598603e-01
7.499999999999999722e-02,9.273627071973936653e-01,9.240060795776551261e-01
7.599999999999999811e-02,9.264340562811277380e-01,9.230714795697992914e-01
7.699999999999999900e-02,9.255114360896180559e-01,9.221714081760068460e-01
7.799999999999999989e-02,9.245897155729905226e-01,9.212721051610651690e-01
7.900000000000000078e-02,9.236486502604813742e-01,9.202807782616512222e-01
8.000000000000000167e-02,9.227288198104194317e-01,9.193833530718040770e-01
8.100000000000000255e-02,9.218098863863912751e-01,9.184866950051631118e-01
8.200000000000000344e-02,9.208869511126679397e-01,9.175582441774777775e-01
8.300000000000000433e-02,9.199649763017935244e-01,9.166308974376009555e-01
8.400000000000000522e-02,9.190265953041059088e-01,9.156296676517937660e-01
8.500000000000000611e-02,9.181090134193061747e-01,9.147208032356385354e-01
8.600000000000000699e-02,9.171923559524278735e-01,9.138128691096092382e-01
8.700000000000000788e-02,9.162789905699523230e-01,9.129217262496103213e-01
8.799999999999999489e-02,9.153665159303792098e-01,9.120313463235226736e-01
8.899999999999999578e-02,9.144502570486603421e-01,9.111103342553606987e-01
8.999999999999999667e-02,9.135395929286528327e-01,9.102216434858396710e-01
9.099999999999999756e-02,9.126298171003680570e-01,9.093337146211285527e-01
9.199999999999999845e-02,9.117140576824489528e-01,9.084001880817453856e-01
9.299999999999999933e-02,9.108015524906668547e-01,9.074832800801131416e-01
9.400000000000000022e-02,9.098945136491721764e-01,9.065980382616301014e-01
9.500000000000000111e-02,9.089883596519515718e-01,9.057135561477156482e-01
9.600000000000000200e-02,9.080830897395760770e-01,9.048298336214252169e-01
9.700000000000000289e-02,9.071742749692255359e-01,9.039167647230230695e-01
9.800000000000000377e-02,9.062708009828012168e-01,9.030347190510061850e-01
9.900000000000000466e-02,9.053616562370500054e-01,9.021087461752446135e-01
1.000000000000000056e-01,9.044599893699999393e-01,9.012284524567661936e-01
1.010000000000000064e-01,9.035592024011128709e-01,9.003489159984797707e-01
1.020000000000000073e-01,9.026571547819585151e-01,8.994554753975142480e-01
1.030000000000000082e-01,9.017560147992075281e-01,8.985629464279777379e-01
1.040000000000000091e-01,9.008557814644121420e-01,8.976713279470890372e-01
1.049999999999999961e-01,8.999585499350007955e-01,8.967950491674774316e-01
1.059999999999999970e-01,8.990621942902237151e-01,8.959195259799425104e-01
1.069999999999999979e-01,8.981667137747511021e-01,8.950447582468770147e-01
1.079999999999999988e-01,8.972700544474025985e-01,8.941565434129816747e-01
1.089999999999999997e-01,8.963763360928513890e-01,8.932833614817846657e-01
1.100000000000000006e-01,8.954814656019043362e-01,8.923968821255835460e-01
1.110000000000000014e-01,8.945874951810041109e-01,8.915113066258960606e-01
1.120000000000000023e-01,8.936964208163802326e-01,8.906405369995826771e-01
1.130000000000000032e-01,8.928062168291344136e-01,8.897705209679400706e-01
1.140000000000000041e-01,8.919149131663023367e-01,8.888875029121225957e-01
1.150000000000000050e-01,8.910264613956645485e-01,8.880190669640306567e-01
1.160000000000000059e-01,8.901369357399939730e-01,8.871377747351584242e-01
1.170000000000000068e-01,8.892502328814190227e-01,8.862709169506646223e-01
1.180000000000000077e-01,8.883643964897531831e-01,8.854048113311004942e-01
1.190000000000000085e-01,8.874775243927206514e-01,8.845260657884532751e-01
1.199999999999999956e-01,8.865896559147848910e-01,8.836348953904868964e-01
1.209999999999999964e-01,8.857064542742653090e-01,8.827712595805524698e-01
1.219999999999999973e-01,8.848241158799434736e-01,8.819083743198613545e-01
1.229999999999999982e-01,8.839426399815564217e-01,8.810462394386702201e-01
1.239999999999999991e-01,8.830620258289191282e-01,8.801848547646682341e-01
1.250000000000000000e-01,8.821822726720200958e-01,8.793242201234242605e-01
1.260000000000000009e-01,8.813033797611018461e-01,8.784643353376447861e-01
1.270000000000000018e-01,8.804235498079974187e-01,8.775923734758166450e-01
1.280000000000000027e-01,8.795463879347041880e-01,8.767340571052218978e-01
1.290000000000000036e-01,8.786700839899249660e-01,8.758764897357935730e-01
1.300000000000000044e-01,8.777911205007508100e-01,8.749944312820727710e-01
1.310000000000000053e-01,8.769148095688248379e-01,8.741259463673234364e-01
1.320000000000000062e-01,8.760411124770273172e-01,8.732708289335695540e-01
1.330000000000000071e-01,8.751682701159975153e-01,8.724164588320487690e-01
1.340000000000000080e-01,8.742945733207919679e-01,8.715504873748257664e-01
1.350000000000000089e-01,8.734234504972927526e-01,8.706976784698545746e-01
1.360000000000000098e-01,8.725481285445600976e-01,8.698089722508977051e-01
1.370000000000000107e-01,8.716770747036587386e-01,8.689457074872315445e-01
1.380000000000000115e-01,8.708068958282905170e-01,8.680833202969385765e-01
1.390000000000000124e-01,8.699375909752903313e-01,8.672218095885977363e-01
1.400000000000000133e-01,8.690691592028378931e-01,8.663611742730461529e-01
1.410000000000000142e-01,8.681897561032199118e-01,8.654517596610535879e-01
1.420000000000000151e-01,8.673247292049089952e-01,8.646048456357046108e-01
1.430000000000000160e-01,8.664589488844346432e-01,8.637469186741446592e-01
1.440000000000000169e-01,8.655940378003171842e-01,8.628898627747749739e-01
1.449999999999999900e-01,8.647315715830568017e-01,8.620453035901612937e-01
1.459999999999999909e-01,8.638699495406612083e-01,8.612014855863304730e-01
1.469999999999999918e-01,8.630091709321733306e-01,8.603584085530872061e-01
1.479999999999999927e-01,8.621346529053910412e-01,8.594446164555433754e-01
1.489999999999999936e-01,8.612725693426983575e-01,8.585805523565370745e-01
1.499999999999999944e-01,8.604128913036236392e-01,8.577287889171993918e-01
1.509999999999999953e-01,8.595540758944895110e-01,8.568778890143823324e-01
1.519999999999999962e-01,8.586961221899723773e-01,8.560278515801642563e-01
1.529999999999999971e-01,8.578390292660100780e-01,8.551786755485649705e-01
1.539999999999999980e-01,8.569813217323554166e-01,8.543192975106290721e-01
1.549999999999999989e-01,8.561259586360089324e-01,8.534719023920693814e-01
1.559999999999999998e-01,8.552729059576483772e-01,8.526363052386203290e-01
1.570000000000000007e-01,8.543410260897755792e-01,8.515581296080105833e-01
1.580000000000000016e-01,8.534870312512105039e-01,8.507029172222322355e-01
1.590000000000000024e-01,8.526367525464697561e-01,8.498701975790103891e-01
1.600000000000000033e-01,8.517873061392332579e-01,8.490382114222154719e-01
1.610000000000000042e-01,8.509386912964816974e-01,8.482069585232647757e-01
1.620000000000000051e-01,8.500895193851228937e-01,8.473658587258042774e-01
1.630000000000000060e-01,8.492425760246984368e-01,8.465361307469247976e-01
1.640000000000000069e-01,8.483964619721232614e-01,8.457071350568026169e-01
1.650000000000000078e-01,8.475511764956646932e-01,8.448788714195721861e-01
1.660000000000000087e-01,8.467053728161330062e-01,8.440409944367680550e-01
1.670000000000000095e-01,8.458617526144072141e-01,8.432142522092550552e-01
1.680000000000000104e-01,8.450176332656226252e-01,8.423780116543096996e-01
1.690000000000000113e-01,8.441743599135120846e-01,8.415426168904822646e-01
1.700000000000000122e-01,8.433306265301031557e-01,8.406979521790801657e-01
1.710000000000000131e-01,8.424890525523708318e-01,8.398643028307642977e-01
1.720000000000000140e-01,8.416496068192184099e-01,8.390414969507048459e-01
1.730000000000000149e-01,8.408097084422871959e-01,8.382094749665209843e-01
1.740000000000000158e-01,8.399719166799088921e-01,8.373881820500279627e-01
1.750000000000000167e-01,8.391234545143690937e-01,8.365131935060478030e-01
1.759999999999999898e-01,8.382861128086747105e-01,8.356837784883061060e-01
1.769999999999999907e-01,8.374508455268646623e-01,8.348649224986443018e-01
1.779999999999999916e-01,8.366163966872791624e-01,8.340467927052396258e-01
1.789999999999999925e-01,8.357815491982004685e-01,8.332197773260122675e-01
1.799999999999999933e-01,8.349463310889270184e-01,8.323840399632735920e-01
1.809999999999999942e-01,8.341131645631699731e-01,8.315587477822327100e-01
1.819999999999999951e-01,8.332820201421674566e-01,8.307437366673287027e-01
1.829999999999999960e-01,8.324516903212668684e-01,8.299294494463546057e-01
1.839999999999999969e-01,8.316210053931957225e-01,8.291065448983674369e-01
1.849999999999999978e-01,8.307923119174261961e-01,8.282937580425749902e-01
1.859999999999999987e-01,8.299621300044237593e-01,8.274632250563697111e-01
1.869999999999999996e-01,8.291339377796229648e-01,8.266428077386906992e-01
1.880000000000000004e-01,8.283065746940079244e-01,8.258232174773643131e-01
1.890000000000000013e-01,8.274800398686333880e-01,8.250044532655143037e-01
1.900000000000000022e-01,8.266543324259536529e-01,8.241865140979452997e-01
1.910000000000000031e-01,8.258305563784639203e-01,8.233783716386887663e-01
1.920000000000000040e-01,8.250064921257854733e-01,8.225620279225795972e-01
1.930000000000000049e-01,8.241843397275609995e-01,8.217553761376044097e-01
1.940000000000000058e-01,8.233525035558085792e-01,8.208987172851045511e-01
1.950000000000000067e-01,8.225320136895722944e-01,8.200936924204578204e-01
1.960000000000000075e-01,8.217019397467983932e-01,8.192390370659954346e-01
1.970000000000000084e-01,8.208727704606328945e-01,8.183854754058584868e-01
1.980000000000000093e-01,8.200547926775215712e-01,8.175829786484731798e-01
1.990000000000000102e-01,8.192355475075976390e-01,8.167640650510685774e-01
