time,mean_particle_number,variance
0.000000000000000000e+00,9.745893364799335101e-01,-5.372330495270771777e-02
1.000000000000000021e-03,9.736152342757324885e-01,-5.264283712893103040e-02
2.000000000000000042e-03,9.726421056868429504e-01,-5.156550072348964342e-02
3.000000000000000062e-03,9.716699497401429797e-01,-5.049128850765505216e-02
4.000000000000000083e-03,9.706987654634731122e-01,-4.942019326810498381e-02
5.000000000000000104e-03,9.697285518856491038e-01,-4.835220780690363540e-02
6.000000000000000125e-03,9.687593080364584885e-01,-4.728732494146625775e-02
7.000000000000000146e-03,9.677910329466566930e-01,-4.622553750452651489e-02
8.000000000000000167e-03,9.668237256479678132e-01,-4.516683834410650800e-02
9.000000000000001055e-03,9.658573851730866133e-01,-4.411122032348713251e-02
1.000000000000000021e-02,9.648920105556693105e-01,-4.305867632116922028e-02
1.099999999999999936e-02,9.639276008303432342e-01,-4.200919923085133512e-02
1.200000000000000025e-02,9.629641550327007193e-01,-4.096278196139646610e-02
1.300000000000000114e-02,9.620016721992902253e-01,-3.991941743679017218e-02
1.400000000000000029e-02,9.610401513676334329e-01,-3.887909859612670438e-02
1.499999999999999944e-02,9.600795915762092569e-01,-3.784181839356581811e-02
1.600000000000000033e-02,9.591199918644537359e-01,-3.680756979830179798e-02
1.700000000000000122e-02,9.581613512727717996e-01,-3.577634579454169739e-02
1.800000000000000211e-02,9.572036688425216155e-01,-3.474813938146448233e-02
1.899999999999999953e-02,9.562469436160188074e-01,-3.372294357319338687e-02
2.000000000000000042e-02,9.552911746365418955e-01,-3.270075139876982284e-02
2.100000000000000130e-02,9.543363609483170862e-01,-3.168155590211130246e-02
2.199999999999999872e-02,9.533825015965323724e-01,-3.066535014199411879e-02
2.299999999999999961e-02,9.524295956273295394e-01,-2.965212719201626435e-02
2.400000000000000050e-02,9.514776420878007235e-01,-2.864188014056268106e-02
2.500000000000000139e-02,9.505266400259949622e-01,-2.763460209078516527e-02
2.600000000000000228e-02,9.495765884909062038e-01,-2.663028616055906905e-02
2.699999999999999969e-02,9.486274865324869632e-01,-2.562892548246731295e-02
2.800000000000000058e-02,9.476793332016346660e-01,-2.463051320375830855e-02
2.900000000000000147e-02,9.467321275501900946e-01,-2.363504248631509430e-02
2.999999999999999889e-02,9.457858686309547069e-01,-2.264250650664167974e-02
3.099999999999999978e-02,9.448405554976667675e-01,-2.165289845581253036e-02
3.200000000000000067e-02,9.438961872050125601e-01,-2.066621153945347178e-02
3.300000000000000155e-02,9.429527628086254998e-01,-1.968243897771104756e-02
3.400000000000000244e-02,9.420102813650782503e-01,-1.870157400521599289e-02
3.500000000000000333e-02,9.410687419318911617e-01,-1.772360987106369468e-02
3.600000000000000422e-02,9.401281435675244991e-01,-1.674853983877666597e-02
3.699999999999999817e-02,9.391884853313805515e-01,-1.577635718627823369e-02
3.799999999999999906e-02,9.382497662837986363e-01,-1.480705520585801072e-02
3.899999999999999994e-02,9.373119854860633149e-01,-1.384062720415246694e-02
4.000000000000000083e-02,9.363751420003890713e-01,-1.287706650209918813e-02
4.100000000000000172e-02,9.354392348899372989e-01,-1.191636643492821612e-02
