time,density_n_site_1,positive_p_n_site_1
0.000000000000000000e+00,1.000000000000000000e+00,1.000996393774797655e+00
2.000000000000000042e-03,9.980019986625470185e-01,9.989436215323440615e-01
4.000000000000000083e-03,9.960079893425592967e-01,9.967486045862565813e-01
6.000000000000000125e-03,9.940179640556887630e-01,9.947065355138152709e-01
8.000000000000000167e-03,9.920319148467442449e-01,9.927737211807133866e-01
1.000000000000000021e-02,9.900498337738465882e-01,9.904723254977767510e-01
1.200000000000000025e-02,9.880717129700790080e-01,9.888648735870340101e-01
1.400000000000000029e-02,9.860975445454870369e-01,9.865202389635462366e-01
1.600000000000000033e-02,9.841273206070283441e-01,9.849923935882659576e-01
1.800000000000000211e-02,9.821610332616605987e-01,9.830470933787862631e-01
2.000000000000000042e-02,9.801986746163415809e-01,9.815175476171655866e-01
2.199999999999999872e-02,9.782402367780287378e-01,9.804453141080763379e-01
2.400000000000000050e-02,9.762857118536798495e-01,9.777333613763852238e-01
2.600000000000000228e-02,9.743350919502525853e-01,9.761678941855049807e-01
2.800000000000000058e-02,9.723883692239282395e-01,9.739465554420784210e-01
2.999999999999999889e-02,9.704455361999415608e-01,9.717017954482508602e-01
3.200000000000000067e-02,9.685065851671246229e-01,9.698839133161153425e-01
3.400000000000000244e-02,9.665715083394995633e-01,9.677494251359781696e-01
3.600000000000000422e-02,9.646402979310887416e-01,9.661045504299269338e-01
3.799999999999999906e-02,9.627129461559141843e-01,9.628652014369480927e-01
4.000000000000000083e-02,9.607894452279985842e-01,9.615518185099506399e-01
4.200000000000000261e-02,9.588697873613636347e-01,9.598340194647100310e-01
4.399999999999999745e-02,9.569539647700320284e-01,9.580182934044402243e-01
4.599999999999999922e-02,9.550419696757529442e-01,9.560263938732541655e-01
4.800000000000000100e-02,9.531337946171857256e-01,9.543648321386934974e-01
5.000000000000000278e-02,9.512294320925015478e-01,9.514276318857571857e-01
5.200000000000000455e-02,9.493288744830657988e-01,9.498822058921174705e-01
5.399999999999999939e-02,9.474321141855419626e-01,9.479060240635923673e-01
5.600000000000000117e-02,9.455391436118912862e-01,9.467826202393265778e-01
5.800000000000000294e-02,9.436499551893732241e-01,9.450156085315242205e-01
5.999999999999999778e-02,9.417645413605449933e-01,9.434208342014619442e-01
6.199999999999999956e-02,9.398828945832616855e-01,9.413421504683694430e-01
6.400000000000000133e-02,9.380050073306765990e-01,9.397384359463242243e-01
6.600000000000000311e-02,9.361308720912407955e-01,9.373604759870266534e-01
6.800000000000000488e-02,9.342604813687032106e-01,9.352241412392023889e-01
7.000000000000000666e-02,9.323938276821109872e-01,9.344980999529231003e-01
7.200000000000000844e-02,9.305309035658089201e-01,9.326178316883740882e-01
