time,density_n_site_1,positive_p_n_site_1,density_n_site_2,positive_p_n_site_2
0.000000000000000000e+00,1.000000000000000000e+00,9.949129132132320530e-01,0.000000000000000000e+00,-6.816142662997310558e-03
2.000000000000000042e-03,9.979980066834601704e-01,9.917439252603278410e-01,3.991980432024875050e-06,-7.165910349530082123e-03
4.000000000000000083e-03,9.959920533154787980e-01,9.902770418056703328e-01,1.593602660825310481e-05,-8.049744391614776368e-03
6.000000000000000125e-03,9.939821798403649655e-01,9.883201485500079375e-01,3.578421529406168702e-05,-8.014625565132462576e-03
8.000000000000000167e-03,9.919684261411447768e-01,9.865289412714818296e-01,6.348870179638246771e-05,-7.993366767319173491e-03
1.000000000000000021e-02,9.899508319728890227e-01,9.841560448372159708e-01,9.900181049438906071e-05,-8.269903688479351977e-03
1.200000000000000025e-02,9.879294370860046692e-01,9.816927035369729104e-01,1.422758719318111789e-04,-7.282784590986296838e-03
1.400000000000000029e-02,9.859042812460679928e-01,9.799695289456796798e-01,1.932631966021429275e-04,-6.675219133945064706e-03
1.600000000000000033e-02,9.838754042186551585e-01,9.779910312655684113e-01,2.519160949988783166e-04,-6.588004752575049756e-03
1.800000000000000211e-02,9.818428457629769790e-01,9.755292483632563849e-01,3.181868858627368230e-04,-6.543620806156761130e-03
2.000000000000000042e-02,9.798066452309180940e-01,9.736613438403801668e-01,3.920284156786169559e-04,-6.292399347469186839e-03
2.199999999999999872e-02,9.777668419844657288e-01,9.713415923741770541e-01,4.733935178433575086e-04,-6.429735515970083290e-03
2.400000000000000050e-02,9.757234755717665298e-01,9.693907035531013072e-01,5.622347845587505376e-04,-6.386895927102547582e-03
2.600000000000000228e-02,9.736765855409674764e-01,9.665639654737775421e-01,6.585048080265878826e-04,-5.910442123380698146e-03
2.800000000000000058e-02,9.716262114402154371e-01,9.651217122660202818e-01,7.621561804486614916e-04,-5.307117352761174522e-03
2.999999999999999889e-02,9.695723925856277736e-01,9.626049822163573744e-01,8.731417896643497729e-04,-6.405674950223357554e-03
3.200000000000000067e-02,9.675151679480195055e-01,9.610817913063484097e-01,9.914149634751036593e-04,-6.367295093864822411e-03
3.400000000000000244e-02,9.654545766933865236e-01,9.592955826848839074e-01,1.116928780995552623e-03,-5.676072541109682124e-03
3.600000000000000422e-02,9.633906579355215882e-01,9.577395267015558211e-01,1.249636387853988008e-03,-5.350891894360332302e-03
3.799999999999999906e-02,9.613234507314216692e-01,9.551921766183585349e-01,1.389491002045294783e-03,-4.828797518402321194e-03
4.000000000000000083e-02,9.592529940812858369e-01,9.536223946193688183e-01,1.536445913930950015e-03,-4.801285932281751552e-03
4.200000000000000261e-02,9.571793269285180372e-01,9.520761818896030793e-01,1.690454486239025261e-03,-4.488423972628105725e-03
4.399999999999999745e-02,9.551024881597245386e-01,9.510213207866216045e-01,1.851470154064182878e-03,-4.640212558073219910e-03
4.599999999999999922e-02,9.530225166025557693e-01,9.488253884587476428e-01,2.019446426915161904e-03,-4.313654983333243056e-03
4.800000000000000100e-02,9.509394509889076419e-01,9.470829907088285093e-01,2.194336923598928096e-03,-4.224367566471168289e-03
5.000000000000000278e-02,9.488533300035078000e-01,9.452335903246880111e-01,2.376095326161371292e-03,-3.556045126066649607e-03
5.200000000000000455e-02,9.467641922829657108e-01,9.434269517494520141e-01,2.564675380788171161e-03,-3.466831369650268373e-03
5.399999999999999939e-02,9.446720764046331320e-01,9.406685754812038613e-01,2.760030908364663558e-03,-3.516633626054836356e-03
5.600000000000000117e-02,9.425770208866040001e-01,9.384669284842650505e-01,2.962115804475847890e-03,-3.077741030015724005e-03
5.800000000000000294e-02,9.404790641877149859e-01,9.359846740376711605e-01,3.170884039406379317e-03,-2.849694576956272093e-03
5.999999999999999778e-02,9.383782447075449396e-01,9.336483888754650851e-01,3.386289658140571347e-03,-2.895116707067092038e-03
6.199999999999999956e-02,9.362746007864150011e-01,9.312671332211908126e-01,3.608286780362398877e-03,-2.771713990309693058e-03
6.400000000000000133e-02,9.341681706596987045e-01,9.291129198285060786e-01,3.836829643769730167e-03,-2.561039589272254887e-03
6.600000000000000311e-02,9.320589923947280031e-01,9.269748378436294400e-01,4.071872663886449972e-03,-1.892702823745490235e-03
