time,density_n_site_1,positive_p_n_site_1,density_n_site_2,positive_p_n_site_2
0.000000000000000000e+00,1.000000000000000000e+00,9.949129132132320530e-01,0.000000000000000000e+00,-6.816142662997310558e-03
2.000000000000000042e-03,9.979980066834601704e-01,9.925536900626701353e-01,3.991980432024875050e-06,-6.922312058888830354e-03
4.000000000000000083e-03,9.959920533154787980e-01,9.907281062483848100e-01,1.593602660825310481e-05,-7.198677762818948313e-03
6.000000000000000125e-03,9.939821798403649655e-01,9.887525511361765496e-01,3.578421529406168702e-05,-7.169601485471064663e-03
8.000000000000000167e-03,9.919684261411447768e-01,9.868515778976835184e-01,6.348870179638246771e-05,-7.154181311080133783e-03
1.000000000000000021e-02,9.899508319728890227e-01,9.847492375598314585e-01,9.900181049438906071e-05,-7.233674707071032633e-03
1.200000000000000025e-02,9.879294370860046692e-01,9.826406798163649370e-01,1.422758719318111789e-04,-6.886612788113703060e-03
1.400000000000000029e-02,9.859042812460679928e-01,9.807092742961628362e-01,1.932631966021429275e-04,-6.644334667562633648e-03
1.600000000000000033e-02,9.838754042186551585e-01,9.787339765645370893e-01,2.519160949988783166e-04,-6.587031805908225707e-03
1.800000000000000211e-02,9.818428457629769790e-01,9.765521546827360400e-01,3.181868858627368230e-04,-6.526877262306270827e-03
2.000000000000000042e-02,9.798066452309180940e-01,9.745537996048860840e-01,3.920284156786169559e-04,-6.394481644685885875e-03
2.199999999999999872e-02,9.777668419844657288e-01,9.724575402983717254e-01,4.733935178433575086e-04,-6.374265362355024077e-03
2.400000000000000050e-02,9.757234755717665298e-01,9.704568592930037374e-01,5.622347845587505376e-04,-6.311792426417950526e-03
2.600000000000000228e-02,9.736765855409674764e-01,9.681807118659349065e-01,6.585048080265878826e-04,-6.094597651039914028e-03
2.800000000000000058e-02,9.716262114402154371e-01,9.663592382411287929e-01,7.621561804486614916e-04,-5.839482116853411502e-03
2.999999999999999889e-02,9.695723925856277736e-01,9.642043995918573307e-01,8.731417896643497729e-04,-6.066493157040063304e-03
3.200000000000000067e-02,9.675151679480195055e-01,9.622721722082719920e-01,9.914149634751036593e-04,-5.959516236238289986e-03
3.400000000000000244e-02,9.654545766933865236e-01,9.603277072154285943e-01,1.116928780995552623e-03,-5.646615158898611944e-03
3.600000000000000422e-02,9.633906579355215882e-01,9.584011691625667906e-01,1.249636387853988008e-03,-5.475150524297349268e-03
3.799999999999999906e-02,9.613234507314216692e-01,9.562325620593251640e-01,1.389491002045294783e-03,-5.213917603679967330e-03
4.000000000000000083e-02,9.592529940812858369e-01,9.543801901891160178e-01,1.536445913930950015e-03,-5.084951682703703346e-03
4.200000000000000261e-02,9.571793269285180372e-01,9.524471080112494326e-01,1.690454486239025261e-03,-4.866623492155281415e-03
4.399999999999999745e-02,9.551024881597245386e-01,9.506913632875946263e-01,1.851470154064182878e-03,-4.784013125039051316e-03
4.599999999999999922e-02,9.530225166025557693e-01,9.486080604115367798e-01,2.019446426915161904e-03,-4.512918738581062073e-03
4.800000000000000100e-02,9.509394509889076419e-01,9.466345475022187594e-01,2.194336923598928096e-03,-4.364199997321368749e-03
5.000000000000000278e-02,9.488533300035078000e-01,9.446212188027546253e-01,2.376095326161371292e-03,-3.990275172136587695e-03
5.200000000000000455e-02,9.467641922829657108e-01,9.426890360248662004e-01,2.564675380788171161e-03,-3.806956241778479844e-03
5.399999999999999939e-02,9.446720764046331320e-01,9.404222864480530353e-01,2.760030908364663558e-03,-3.759505588868939513e-03
5.600000000000000117e-02,9.425770208866040001e-01,9.383176958294775494e-01,2.962115804475847890e-03,-3.456752076110766563e-03
5.800000000000000294e-02,9.404790641877149859e-01,9.361541490386302566e-01,3.170884039406379317e-03,-3.302137492440209397e-03
5.999999999999999778e-02,9.383782447075449396e-01,9.340289992106358685e-01,3.386289658140571347e-03,-3.185370612495367661e-03
6.199999999999999956e-02,9.362746007864150011e-01,9.318503593554295916e-01,3.608286780362398877e-03,-3.007981424829868182e-03
6.400000000000000133e-02,9.341681706596987045e-01,9.297466957093332152e-01,3.836829643769730167e-03,-2.848482858217718950e-03
6.600000000000000311e-02,9.320589923947280031e-01,9.275606699285843249e-01,4.071872663886449972e-03,-2.447468192846664371e-03
6.800000000000000488e-02,9.299471040825935120e-01,9.253786618383028628e-01,4.313370252237271399e-03,-2.405942888442503483e-03
7.000000000000000666e-02,9.278325437547322307e-01,9.233096686135375819e-01,4.561276895421980879e-03,-2.057282317959684744e-03
7.200000000000000844e-02,9.257153493766655528e-01,9.211125410147521508e-01,4.815547161051640657e-03,-1.716690944239977973e-03
7.399999999999999634e-02,9.235955588479993761e-01,9.193292933731967986e-01,5.076135697748576647e-03,-1.669207456672191408e-03
7.599999999999999811e-02,9.214732100024242145e-01,9.172082090341143745e-01,5.342997235146392312e-03,-1.305816675422729906e-03
7.799999999999999989e-02,9.193483406077150866e-01,9.151808368973539665e-01,5.616086583889960855e-03,-9.144960822891643002e-04
8.000000000000000167e-02,9.172209883657315155e-01,9.131547275751489279e-01,5.895358635635421750e-03,-7.548286808397526625e-04
8.200000000000000344e-02,9.150911909124177512e-01,9.109330531974344503e-01,6.180768363050192886e-03,-5.188744398980726187e-04
8.400000000000000522e-02,9.129589858178021045e-01,9.086737997263240052e-01,6.472270819812954955e-03,-3.910434911196021155e-04
8.600000000000000699e-02,9.108244105859979456e-01,9.065237419011520359e-01,6.769821140613664461e-03,-1.596343025801163140e-04
8.799999999999999489e-02,9.086875026552028167e-01,9.042556396895112814e-01,7.073374541153547648e-03,2.575511496543152136e-04
8.999999999999999667e-02,9.065482993976989867e-01,9.021339119860007916e-01,7.382886318145103106e-03,6.219160654168720331e-04
9.199999999999999845e-02,9.044068381198532292e-01,9.000169320387874095e-01,7.698311849312098297e-03,7.881817768605424695e-04
9.400000000000000022e-02,9.022631560621166003e-01,8.978854838937397886e-01,8.019606593389572158e-03,1.069350609863262700e-03
